fid,tariff,x,y,lon,lat,plot_name,plot_class,moh_class,build_st,E,N,cl,osm_near
10214,CRT Seasonal,56.5,23.2,56.497205,23.217314,Primary Account Tariff,Residential,0.0,EXisting,448555.1980143573,2567665.678192588,135,Omantel [office=telecommunication] 16m | Omantel [office=telecommunication] 16m | ? [amenity=shelter] 52m
10215,CRT Seasonal,56.5,23.2,56.497205,23.217314,Primary Account Tariff,Residential,0.0,EXisting,448555.1980143573,2567665.678192588,135,Omantel [office=telecommunication] 16m | Omantel [office=telecommunication] 16m | ? [amenity=shelter] 52m
10216,CRT Seasonal,56.5,23.2,56.497205,23.217314,Primary Account Tariff,Residential,0.0,EXisting,448555.1980143573,2567665.678192588,135,Omantel [office=telecommunication] 16m | Omantel [office=telecommunication] 16m | ? [amenity=shelter] 52m
10217,CRT Seasonal,56.5,23.2,56.497205,23.217314,Primary Account Tariff,Residential,0.0,EXisting,448555.1980143573,2567665.678192588,135,Omantel [office=telecommunication] 16m | Omantel [office=telecommunication] 16m | ? [amenity=shelter] 52m
10218,CRT Seasonal,56.5,23.2,56.497205,23.217314,Primary Account Tariff,Residential,0.0,EXisting,448555.1980143573,2567665.678192588,135,Omantel [office=telecommunication] 16m | Omantel [office=telecommunication] 16m | ? [amenity=shelter] 52m
10219,CRT Seasonal,56.5,23.2,56.497205,23.217314,Primary Account Tariff,Residential,0.0,EXisting,448555.1980143573,2567665.678192588,135,Omantel [office=telecommunication] 16m | Omantel [office=telecommunication] 16m | ? [amenity=shelter] 52m
10222,CRT Seasonal,56.5,23.2,56.497205,23.217314,Primary Account Tariff,Residential,0.0,EXisting,448555.1980143573,2567665.678192588,135,Omantel [office=telecommunication] 16m | Omantel [office=telecommunication] 16m | ? [amenity=shelter] 52m
10296,CRT Seasonal,56.5,23.2,56.494515,23.216746,CRT Seasonal,Residential,0.0,EXisting,448279.7398978282,2567603.75207778,139,Muscat Bank [amenity=bank] 35m | ? [amenity=shelter] 54m
10501,CRT Seasonal,56.5,23.3,56.499849,23.258018,CRT Seasonal,Residential,0.0,EXisting,448841.2507942266,2572170.9205405246,-1,
10715,CRT Seasonal,56.6,23.3,56.556799,23.250585,CRT Seasonal,Commercial,3.0,EXisting,454664.0456832693,2571329.1091915304,30,
10718,CRT Seasonal,56.6,23.3,56.556799,23.250585,CRT Seasonal,Commercial,3.0,EXisting,454664.0456832693,2571329.1091915304,30,
10722,CRT Seasonal,56.6,23.3,56.556799,23.250585,CRT Seasonal,Commercial,3.0,EXisting,454664.0456832693,2571329.1091915304,30,
10724,CRT Seasonal,56.6,23.3,56.556799,23.250585,CRT Seasonal,Commercial,3.0,EXisting,454664.0456832693,2571329.1091915304,30,
10725,CRT Seasonal,56.6,23.3,56.556799,23.250585,CRT Seasonal,Commercial,3.0,EXisting,454664.0456832693,2571329.1091915304,30,
10780,CRT Seasonal,56.5,23.2,56.50032,23.218979,Commercial,Residential,99.0,EXisting,448874.5568635403,2567848.903944196,-1,المه‍ا [amenity=fuel] 18m | ? [amenity=parking] 18m | Mira Cafe [amenity=cafe] 33m
10848,CRT Seasonal,56.5,23.2,56.498186,23.2174,Additional Account Tariff,Residential,0.0,EXisting,448655.6062831836,2567674.8519697418,135,Oxygen Pharmacy - Ibri [amenity=pharmacy;healthcare=pharmacy] 20m
10987,CRT Seasonal,56.6,23.3,56.612464,23.321579,Commercial,Residential-Commercial,2.0,EXisting,460379.2145291633,2579172.2383506177,1,? [amenity=veterinary] 9m | Maqniyat Road [] 56m
10990,CRT Seasonal,56.6,23.3,56.612464,23.321579,Commercial,Residential-Commercial,2.0,EXisting,460379.2145291633,2579172.2383506177,1,? [amenity=veterinary] 9m | Maqniyat Road [] 56m
11127,CRT Seasonal,56.6,23.3,56.609308,23.319044,Commercial,Residential,5.0,EXisting,460055.79136796034,2578892.4662066856,-1,نفط عمان [amenity=fuel] 35m
11475,CRT Seasonal,56.5,23.2,56.488368,23.197366,Commercial,Residential,1.0,EXisting,447643.2294017393,2565460.476835464,-1,? [amenity=place_of_worship] 13m
11658,CRT Seasonal,56.5,23.3,56.499016,23.255389,Primary Account Tariff (with National Subsidy),Residential,99.0,EXisting,448755.0396789552,2571880.1677741427,-1,
11676,CRT Time of Use,56.5,23.2,56.482067,23.21559,CRT Time of Use,Residential,0.0,EXisting,447005.6044699502,2567480.260438847,127,
11677,CRT Time of Use,56.5,23.2,56.482067,23.21559,CRT Time of Use,Residential,0.0,EXisting,447005.6044699502,2567480.260438847,127,
11678,CRT Time of Use,56.5,23.2,56.482067,23.21559,CRT Time of Use,Residential,0.0,EXisting,447005.6044699502,2567480.260438847,127,
11679,CRT Time of Use,56.5,23.2,56.482067,23.21559,CRT Time of Use,Residential,0.0,EXisting,447005.6044699502,2567480.260438847,127,
11680,CRT Time of Use,56.5,23.2,56.482067,23.21559,CRT Time of Use,Residential,0.0,EXisting,447005.6044699502,2567480.260438847,127,
11681,CRT Time of Use,56.5,23.2,56.482067,23.21559,CRT Time of Use,Residential,0.0,EXisting,447005.6044699502,2567480.260438847,127,
11682,CRT Time of Use,56.5,23.2,56.482067,23.21559,CRT Time of Use,Residential,0.0,EXisting,447005.6044699502,2567480.260438847,127,
11683,CRT Time of Use,56.5,23.2,56.482067,23.21559,CRT Time of Use,Residential,0.0,EXisting,447005.6044699502,2567480.260438847,127,
11684,CRT Time of Use,56.5,23.2,56.482067,23.21559,CRT Time of Use,Residential,0.0,EXisting,447005.6044699502,2567480.260438847,127,
11685,CRT Time of Use,56.5,23.2,56.482067,23.21559,CRT Time of Use,Residential,0.0,EXisting,447005.6044699502,2567480.260438847,127,
11686,CRT Time of Use,56.5,23.2,56.482067,23.21559,CRT Time of Use,Residential,0.0,EXisting,447005.6044699502,2567480.260438847,127,
11687,CRT Time of Use,56.5,23.2,56.482067,23.21559,CRT Time of Use,Residential,0.0,EXisting,447005.6044699502,2567480.260438847,127,
11688,CRT Time of Use,56.5,23.2,56.482067,23.21559,CRT Time of Use,Residential,0.0,EXisting,447005.6044699502,2567480.260438847,127,
11689,CRT Time of Use,56.5,23.2,56.482067,23.21559,CRT Time of Use,Residential,0.0,EXisting,447005.6044699502,2567480.260438847,127,
11721,CRT Time of Use,56.5,23.2,56.485712,23.214292,CRT Time of Use,Residential,0.0,EXisting,447378.055826904,2567335.2399370205,132,منزل . ابراهيم حامد دعدير [amenity=library] 56m
11722,CRT Time of Use,56.5,23.2,56.485712,23.214292,CRT Time of Use,Residential,0.0,EXisting,447378.055826904,2567335.2399370205,132,منزل . ابراهيم حامد دعدير [amenity=library] 56m
11723,CRT Time of Use,56.5,23.2,56.485712,23.214292,CRT Time of Use,Residential,0.0,EXisting,447378.055826904,2567335.2399370205,132,منزل . ابراهيم حامد دعدير [amenity=library] 56m
11724,CRT Time of Use,56.5,23.2,56.485712,23.214292,CRT Time of Use,Residential,0.0,EXisting,447378.055826904,2567335.2399370205,132,منزل . ابراهيم حامد دعدير [amenity=library] 56m
11725,CRT Time of Use,56.5,23.2,56.485712,23.214292,CRT Time of Use,Residential,0.0,EXisting,447378.055826904,2567335.2399370205,132,منزل . ابراهيم حامد دعدير [amenity=library] 56m
11726,CRT Time of Use,56.5,23.2,56.485712,23.214292,CRT Time of Use,Residential,0.0,EXisting,447378.055826904,2567335.2399370205,132,منزل . ابراهيم حامد دعدير [amenity=library] 56m
11727,CRT Time of Use,56.5,23.2,56.485712,23.214292,CRT Time of Use,Residential,0.0,EXisting,447378.055826904,2567335.2399370205,132,منزل . ابراهيم حامد دعدير [amenity=library] 56m
11728,CRT Time of Use,56.5,23.2,56.485712,23.214292,CRT Time of Use,Residential,0.0,EXisting,447378.055826904,2567335.2399370205,132,منزل . ابراهيم حامد دعدير [amenity=library] 56m
11828,CRT Time of Use,56.5,23.2,56.472184,23.216657,Commercial,Residential-Commercial,2.0,EXisting,445994.79492421553,2567602.0216235626,-1,Dhofar Insurance Company Ibri Branch [office=insurance] 34m
11992,CRT Seasonal,56.5,23.2,56.469835,23.216765,CRT Seasonal,Residential-Commercial,2.0,EXisting,445754.48823816585,2567614.8526763963,120,مطعم و مشاوي الفوار [amenity=restaurant;building=yes] 10m | Bake it Bakery [shop=bakery;building=yes] 73m
11993,CRT Seasonal,56.5,23.2,56.469835,23.216765,CRT Seasonal,Residential-Commercial,2.0,EXisting,445754.48823816585,2567614.8526763963,120,مطعم و مشاوي الفوار [amenity=restaurant;building=yes] 10m | Bake it Bakery [shop=bakery;building=yes] 73m
11994,CRT Seasonal,56.5,23.2,56.469835,23.216765,CRT Seasonal,Residential-Commercial,2.0,EXisting,445754.48823816585,2567614.8526763963,120,مطعم و مشاوي الفوار [amenity=restaurant;building=yes] 10m | Bake it Bakery [shop=bakery;building=yes] 73m
11998,CRT Seasonal,56.5,23.2,56.469835,23.216765,CRT Seasonal,Residential-Commercial,2.0,EXisting,445754.48823816585,2567614.8526763963,120,مطعم و مشاوي الفوار [amenity=restaurant;building=yes] 10m | Bake it Bakery [shop=bakery;building=yes] 73m
11999,CRT Seasonal,56.5,23.2,56.469835,23.216765,CRT Seasonal,Residential-Commercial,2.0,EXisting,445754.48823816585,2567614.8526763963,120,مطعم و مشاوي الفوار [amenity=restaurant;building=yes] 10m | Bake it Bakery [shop=bakery;building=yes] 73m
12038,CRT Seasonal,56.5,23.2,56.486851,23.217098,Commercial,Residential,0.0,EXisting,447495.6971949224,2567645.4685603264,-1,مقهى الرونق الذهبي [amenity=fast_food] 12m | أحلام الواعدة للمواد الغذائية [shop=yes] 18m | الربيع للحلاقة [shop=hairdresser] 21m
12734,CRT Seasonal,56.5,23.2,56.484712,23.218928,CRT Seasonal,Residential,5.0,EXisting,447277.5535351791,2567848.8346698508,136,
12966,CRT Seasonal,56.5,23.2,56.472914,23.162785,CRT Seasonal,Agricultural,4.0,EXisting,446047.88369741343,2561637.817141741,-1,? [amenity=school] 50m
13030,CRT Time of Use,56.5,23.2,56.468894,23.161742,Commercial,Industrial,7.0,EXisting,445635.9704287264,2561523.846241102,-1,
13476,CRT Seasonal,56.5,23.2,56.4687,23.224243,CRT Seasonal,Residential,0.0,EXisting,445641.3815936912,2568443.137021734,-1,
13477,CRT Seasonal,56.5,23.2,56.468669,23.224283,CRT Seasonal,Residential,0.0,EXisting,445638.2260376308,2568447.5768666,-1,
13512,CRT Fixed Rate,56.5,23.2,56.511372,23.24143,CRT Seasonal,Agricultural,4.0,EXisting,450013.73722404457,2570330.5132086435,-1,
13715,CRT Seasonal,56.5,23.2,56.467135,23.15895,CRT Seasonal,Industrial,7.0,EXisting,445454.7848884434,2561215.4146612845,35,
13757,CRT Seasonal,56.5,23.2,56.468181,23.16501,CRT Seasonal,Industrial,7.0,EXisting,445564.3072219716,2561885.8974992507,-1,
