PIPE_ID,CATCH,TIER,ROLE,DN_MM,LEN_M,SLOPE_PCT,Q_LOW_LS,V_LOW_MS,S_MARA_PCT,CONNECTED_2030,WHY
P01445,C01,secondary main sewer,lateral,200,224.7,0.5,0.432,0.284,0.829,8.9,below Mara's slope
P01446,C02,secondary main sewer,lateral,200,73.9,0.5,0.235,0.234,1.097,3.4,below Mara's slope
P01447,C01,secondary main sewer,lateral,200,43.2,0.5,0.876,0.355,0.598,23.6,below Mara's slope
P01448,C16,secondary main sewer,lateral,200,314.7,0.5,0.069,0.155,1.935,0.6,below Mara's slope
P01449,C01,secondary main sewer,lateral,200,93.0,0.5,0.219,0.228,1.134,3.0,below Mara's slope
P01450,C01,secondary header,sub main,200,159.9,0.5,0.283,0.248,1.007,4.3,below Mara's slope
P01451,C02,secondary main sewer,lateral,200,70.8,1.05,0.14,0.254,1.395,1.3,below Mara's slope
P01452,C02,secondary main sewer,lateral,200,134.2,0.5,0.278,0.247,1.015,4.3,below Mara's slope
P01453,C02,secondary header,sub main,200,104.4,0.5,0.403,0.278,0.855,8.0,below Mara's slope
P01454,C02,secondary main sewer,lateral,200,334.0,0.5,0.0,0.0,,0.0,no flow in 2030
P01455,C01,secondary header,sub main,200,99.6,0.75,0.269,0.281,1.031,4.2,below Mara's slope
P01456,C02,secondary header,sub main,200,99.7,0.5,0.642,0.322,0.69,12.7,below Mara's slope
P01458,C01,secondary main sewer,lateral,200,28.7,0.5,0.076,0.161,1.85,0.4,below Mara's slope
P01459,C01,secondary main sewer,lateral,200,81.0,0.5,0.699,0.331,0.664,16.9,below Mara's slope
P01460,C01,secondary main sewer,lateral,200,232.2,0.5,0.357,0.268,0.905,6.5,below Mara's slope
P01464,C01,secondary main sewer,lateral,200,138.4,0.5,0.659,0.325,0.682,15.5,below Mara's slope
P01465,C02,secondary main sewer,lateral,200,138.2,0.5,0.272,0.245,1.026,4.3,below Mara's slope
P01468,C01,secondary main sewer,lateral,200,38.2,0.5,0.07,0.156,1.922,0.3,below Mara's slope
P01470,C01,secondary main sewer,lateral,200,84.5,0.5,0.213,0.226,1.148,2.7,below Mara's slope
P01471,C01,secondary main sewer,lateral,200,108.0,0.5,0.365,0.27,0.895,6.3,below Mara's slope
P01472,C02,secondary main sewer,lateral,200,101.5,0.5,0.818,0.348,0.617,21.9,below Mara's slope
P01473,C01,secondary main sewer,lateral,200,56.2,0.5,0.158,0.205,1.317,1.7,below Mara's slope
P01474,C02,secondary header,sub main,200,190.2,0.5,0.653,0.324,0.685,16.2,below Mara's slope
P01475,C02,secondary main sewer,lateral,200,102.4,0.5,0.333,0.261,0.935,5.8,below Mara's slope
P01476,C02,secondary main sewer,lateral,200,104.2,0.5,0.68,0.328,0.672,16.9,below Mara's slope
P01477,C02,secondary main sewer,lateral,200,120.3,1.25,0.116,0.253,1.52,1.0,below Mara's slope
P01479,C02,secondary main sewer,lateral,200,36.8,0.5,0.602,0.316,0.711,14.2,below Mara's slope
P01480,C01,secondary main sewer,lateral,200,65.0,0.5,0.123,0.189,1.478,1.1,below Mara's slope
P01481,C01,secondary main sewer,lateral,200,84.9,0.5,0.145,0.2,1.371,1.4,below Mara's slope
P01482,C01,secondary main sewer,lateral,200,80.7,0.5,0.52,0.301,0.761,10.9,below Mara's slope
P01483,C01,secondary main sewer,lateral,200,44.1,0.5,0.37,0.271,0.89,6.4,below Mara's slope
P01484,C08,secondary header,sub main,200,596.4,1.2,0.05,0.188,2.241,0.2,below Mara's slope
P01487,C01,secondary main sewer,lateral,200,140.0,0.5,0.108,0.181,1.572,0.7,below Mara's slope
P01488,C01,secondary header,sub main,200,52.1,0.5,0.762,0.34,0.638,18.7,below Mara's slope
P01490,C01,secondary main sewer,lateral,200,67.1,0.5,0.378,0.272,0.882,6.6,below Mara's slope
P01491,C02,secondary header,sub main,200,109.6,0.5,0.902,0.358,0.59,24.0,below Mara's slope
P01492,C02,secondary main sewer,lateral,200,146.1,0.5,0.523,0.302,0.759,11.4,below Mara's slope
P01493,C02,secondary main sewer,lateral,200,91.0,0.5,0.258,0.241,1.051,3.9,below Mara's slope
P01494,C02,secondary main sewer,lateral,200,209.9,0.55,0.28,0.256,1.011,4.6,below Mara's slope
P01498,C01,secondary main sewer,lateral,200,151.6,0.5,0.408,0.279,0.851,7.8,below Mara's slope
P01499,C01,secondary main sewer,lateral,200,86.2,0.5,0.461,0.29,0.805,9.1,below Mara's slope
P01500,C02,secondary main sewer,lateral,200,135.0,0.5,0.602,0.316,0.711,14.2,below Mara's slope
P01501,C01,secondary header,sub main,200,80.0,0.5,0.159,0.206,1.315,1.6,below Mara's slope
P01502,C02,secondary main sewer,lateral,200,71.0,0.5,0.162,0.207,1.304,1.7,below Mara's slope
P01503,C01,secondary header,sub main,200,165.7,1.0,0.095,0.22,1.666,0.6,below Mara's slope
P01506,C02,secondary header,sub main,200,108.9,0.5,0.93,0.362,0.582,24.9,below Mara's slope
P01507,C02,secondary header,sub main,200,111.5,0.5,0.447,0.287,0.816,9.3,below Mara's slope
P01508,C01,secondary main sewer,lateral,200,83.7,0.5,0.346,0.265,0.918,6.1,below Mara's slope
P01510,C02,secondary header,sub main,200,55.2,0.5,0.651,0.324,0.686,16.1,below Mara's slope
P01513,C01,secondary main sewer,lateral,200,64.9,0.5,0.122,0.188,1.487,0.9,below Mara's slope
P01514,C02,secondary main sewer,lateral,200,99.4,0.5,0.621,0.319,0.701,15.0,below Mara's slope
P01515,C08,secondary main sewer,lateral,200,51.7,2.85,0.018,0.175,3.59,0.0,below Mara's slope
P01516,C06,secondary main sewer,lateral,200,84.0,0.5,0.043,0.132,2.412,0.2,below Mara's slope
P01517,C01,secondary header,sub main,200,85.5,0.5,0.34,0.263,0.926,5.5,below Mara's slope
P01519,C02,secondary main sewer,lateral,200,141.9,0.85,0.0,0.0,,0.0,no flow in 2030
P01520,C02,secondary main sewer,lateral,200,170.8,0.7,0.2,0.249,1.182,2.5,below Mara's slope
P01521,C01,secondary main sewer,lateral,200,41.2,0.5,0.379,0.273,0.88,6.9,below Mara's slope
P01523,C01,secondary header,sub main,200,48.4,0.5,0.209,0.225,1.157,2.3,below Mara's slope
P01524,C01,secondary header,sub main,200,197.3,0.5,0.162,0.207,1.301,1.5,below Mara's slope
P01525,C01,secondary main sewer,lateral,200,26.8,0.5,0.49,0.296,0.782,10.3,below Mara's slope
P01527,C01,secondary main sewer,lateral,200,84.3,0.5,0.55,0.307,0.741,12.1,below Mara's slope
P01528,C01,secondary main sewer,lateral,200,52.1,0.5,0.54,0.305,0.748,11.6,below Mara's slope
P01529,C01,secondary main sewer,lateral,200,59.5,0.5,0.118,0.186,1.509,1.0,below Mara's slope
