fid,NDVI_MEAN,NDVI_SHARE,GREEN_M2,NDVI_PX
296,0.107,0.0,0.0,14
297,0.139,0.0,0.0,12
298,0.142,0.0,0.0,14
299,0.136,0.0,0.0,11
300,0.14,0.0,0.0,12
301,0.12,0.0,0.0,14
302,0.109,0.0,0.0,13
303,0.107,0.0,0.0,14
304,0.1,0.0,0.0,11
305,0.101,0.0,0.0,12
306,0.068,0.0,0.0,12
307,0.041,0.0,0.0,11
308,0.03,0.0,0.0,14
309,0.037,0.0,0.0,14
310,0.056,0.0,0.0,13
311,0.078,0.0,0.0,12
312,0.072,0.0,0.0,12
313,0.08,0.0,0.0,12
314,0.075,0.0,0.0,13
315,0.061,0.0,0.0,11
316,0.059,0.0,0.0,14
317,0.066,0.0,0.0,13
318,0.061,0.0,0.0,12
319,0.089,0.0,0.0,13
320,0.089,0.0,0.0,15
321,0.095,0.0,0.0,15
322,0.088,0.0,0.0,13
323,0.086,0.0,0.0,12
324,0.091,0.0,0.0,13
325,0.093,0.0,0.0,14
326,0.095,0.0,0.0,12
327,0.087,0.0,0.0,12
328,0.098,0.0,0.0,12
329,0.087,0.0,0.0,15
330,0.08,0.0,0.0,13
331,0.083,0.0,0.0,13
332,0.101,0.0,0.0,13
333,0.098,0.0,0.0,12
334,0.095,0.0,0.0,13
335,0.099,0.0,0.0,13
336,0.088,0.0,0.0,13
337,0.096,0.0,0.0,12
338,0.094,0.0,0.0,13
339,0.099,0.0,0.0,11
340,0.081,0.0,0.0,12
341,0.12,0.0,0.0,11
342,0.122,0.0,0.0,12
343,0.106,0.0,0.0,13
344,0.101,0.0,0.0,13
345,0.096,0.0,0.0,12
346,0.065,0.0,0.0,14
347,0.066,0.0,0.0,11
348,0.064,0.0,0.0,12
349,0.061,0.0,0.0,13
350,0.109,0.0,0.0,12
351,0.135,0.0,0.0,11
352,0.107,0.0,0.0,12
353,0.093,0.0,0.0,12
354,0.123,0.0,0.0,12
355,0.094,0.0,0.0,12
356,0.076,0.0,0.0,13
357,0.121,0.0,0.0,13
358,0.061,0.0,0.0,13
359,0.123,0.0,0.0,12
360,0.116,0.0,0.0,12
361,0.126,0.0,0.0,14
362,0.118,0.0,0.0,12
363,0.075,0.0,0.0,64
364,0.165,0.0,0.0,12
365,0.14,0.0,0.0,12
366,0.171,0.0,0.0,13
367,0.167,0.0,0.0,13
368,0.147,0.0,0.0,14
369,0.13,0.0,0.0,14
370,0.17,0.0,0.0,15
371,0.225,0.0,0.0,14
372,0.183,0.0,0.0,14
373,0.149,0.0,0.0,14
374,0.123,0.0,0.0,15
375,0.139,0.0,0.0,15
376,0.143,0.0,0.0,13
377,0.144,0.0,0.0,15
378,0.14,0.0,0.0,13
379,0.135,0.0,0.0,13
380,0.132,0.0,0.0,14
381,0.127,0.0,0.0,14
382,0.133,0.0,0.0,13
383,0.141,0.0,0.0,15
384,0.144,0.0,0.0,14
385,0.138,0.0,0.0,14
386,0.142,0.0,0.0,13
387,0.133,0.0,0.0,13
388,0.132,0.0,0.0,12
389,0.125,0.0,0.0,15
390,0.137,0.0,0.0,13
391,0.122,0.0,0.0,13
392,0.126,0.0,0.0,14
393,0.125,0.0,0.0,13
394,0.128,0.0,0.0,15
395,0.119,0.0,0.0,12
396,0.115,0.0,0.0,14
397,0.106,0.0,0.0,13
398,0.102,0.0,0.0,13
399,0.099,0.0,0.0,13
400,0.099,0.0,0.0,12
401,0.105,0.0,0.0,12
402,0.122,0.0,0.0,13
