NODE,SUBNET,WAS_M,DIVERT_AT,DIVERT_DOWN_M,TO_NODE,TO_SUBNET,EXTRA_M,DEF_M,RESCUED
N002397,S003,13.55,N003270,1909.6,N003298,S160,116.2,13.71,0
N008849,S012,13.55,N008125,3823.0,N008145,S104,63.1,13.77,0
N007677,S018,13.54,N007641,1343.1,N007605,S143,183.7,13.96,0
N008605,S013,13.54,N007765,4409.8,N007736,S006,161.9,15.28,0
N008871,S012,13.54,N008125,4103.2,N008145,S104,63.1,13.76,0
N001339,S021,13.53,N001886,1270.6,N001826,S040,222.7,13.59,0
N000857,S004,13.51,N001038,3430.5,N000999,S156,85.0,14.02,0
N008548,S013,13.51,N007765,4155.0,N007736,S006,161.9,15.24,0
N002349,S003,13.5,N003270,1762.7,N003298,S160,116.2,13.66,0
N007535,S006,13.5,N007488,1956.0,N007474,S170,75.7,12.78,0
N008813,S012,13.5,N008125,3796.6,N008145,S104,63.1,13.72,0
N001224,S016,13.49,N001230,233.8,N001280,S007,192.2,11.73,0
N007929,S006,13.49,N007488,3343.7,N007474,S170,75.7,12.77,0
N000980,S007,13.48,N001688,1950.1,N001734,S066,179.3,15.74,0
N006521,S001,13.48,N005298,6649.9,N004766,S002,1536.5,14.35,0
N001243,S016,13.47,N001505,605.8,N001604,S040,282.5,12.1,0
N007913,S006,13.47,N007488,3282.9,N007474,S170,75.7,12.75,0
N006888,S035,13.46,N007077,1380.8,N007007,S037,417.4,14.2,0
N008353,S012,13.46,N008125,2274.0,N008145,S104,63.1,13.68,0
N007486,S006,13.45,N007488,1822.8,N007474,S170,75.7,12.73,0
N008464,S013,13.43,N007765,3878.0,N007736,S006,161.9,15.17,0
N007369,S006,13.42,N007488,1472.8,N007474,S170,75.7,12.7,0
N007685,S006,13.42,N007488,2475.1,N007474,S170,75.7,12.7,0
N007758,S018,13.41,N007641,1482.5,N007605,S143,183.7,13.83,0
N000846,S004,13.4,N001038,3396.7,N000999,S156,85.0,13.91,0
N000997,S007,13.4,N001688,2165.9,N001734,S066,179.3,15.65,0
N007572,S006,13.39,N007488,2033.3,N007474,S170,75.7,12.67,0
N007667,S006,13.39,N007488,2409.8,N007474,S170,75.7,12.67,0
N007735,S018,13.39,N007641,2512.3,N007605,S143,183.7,13.81,0
N002381,S003,13.37,N003270,1865.8,N003298,S160,116.2,13.54,0
N007256,S014,13.37,N007524,1755.9,N007564,S006,102.0,14.88,0
N006408,S001,13.36,N005298,6386.8,N004766,S002,1536.5,14.23,0
N001423,S021,13.33,N001886,1401.1,N001826,S040,222.7,13.39,0
N007681,S018,13.32,N007641,1312.7,N007605,S143,183.7,13.74,0
N005255,S001,13.31,N005298,3963.0,N004766,S002,1536.5,14.18,0
N001404,S021,13.3,N001886,1337.8,N001826,S040,222.7,13.36,0
N002787,S011,13.3,N001615,2308.2,N001264,S004,586.3,11.94,0
N003030,S011,13.3,N001615,2713.0,N001264,S004,586.3,11.95,0
N008538,S013,13.3,N007765,4064.1,N007736,S006,161.9,15.04,0
N008853,S012,13.3,N008125,3930.3,N008145,S104,63.1,13.52,0
X000115,S006,13.29,N007488,4912.9,N007474,S170,75.7,12.57,0
N002450,S011,13.28,N002450,0.0,N002307,S004,555.6,11.79,0
N008471,S012,13.28,N008125,2588.7,N008145,S104,63.1,13.5,0
N002771,S011,13.25,N001615,2283.9,N001264,S004,586.3,11.89,0
