NODE,SUBNET,WAS_M,DIVERT_AT,DIVERT_DOWN_M,TO_NODE,TO_SUBNET,EXTRA_M,DEF_M,RESCUED
N000691,S007,36.12,N000691,0.0,N000769,S004,254.9,9.13,1
N006289,S001,35.98,N006289,0.0,N006292,S010,153.1,7.78,1
N006278,S001,35.25,N006324,83.8,N006330,S010,374.7,8.08,1
N006136,S001,35.04,N006365,635.8,N006337,S010,1065.6,9.98,1
N006155,S001,35.0,N006365,546.3,N006337,S010,1065.6,9.93,1
N000678,S007,34.63,N000692,114.4,N000749,S004,185.6,7.3,1
N006324,S001,34.51,N006324,0.0,N006330,S010,374.7,7.34,1
N000693,S007,34.28,N000692,83.4,N000749,S004,185.6,6.95,1
N006191,S001,34.09,N006365,458.7,N006337,S010,1065.6,9.02,1
N006309,S001,33.77,N006365,282.5,N006337,S010,1065.6,8.71,1
N006256,S001,33.73,N006365,625.5,N006337,S010,1065.6,8.66,1
N000692,S007,33.66,N000692,0.0,N000749,S004,185.6,6.33,1
N006216,S001,33.4,N006365,552.6,N006337,S010,1065.6,8.33,1
N006250,S001,33.4,N006365,278.2,N006337,S010,1065.6,8.33,1
N000659,S007,33.37,N000659,0.0,N000792,S004,405.4,7.56,1
N006237,S001,33.34,N006365,369.0,N006337,S010,1065.6,8.27,1
N006297,S001,33.06,N006365,194.2,N006337,S010,1065.6,7.99,1
N000658,S007,32.57,N000659,78.3,N000792,S004,405.4,6.76,1
N006365,S001,32.29,N006365,0.0,N006337,S010,1065.6,7.22,1
N006343,S001,32.22,N006365,94.0,N006337,S010,1065.6,7.15,1
N006327,S001,32.0,N006365,208.0,N006337,S010,1065.6,6.94,1
N006415,S001,31.46,N006415,0.0,N006401,S010,1063.8,7.9,1
N009262,S008,28.57,N009270,491.6,N009224,S020,1201.8,10.57,1
N009270,S008,25.62,N009270,0.0,N009224,S020,1201.8,7.62,1
N003942,S001,25.05,N003942,0.0,N003590,S002,384.6,6.15,1
N003868,S001,24.74,N003868,0.0,N003558,S002,383.8,5.84,1
N003801,S001,24.02,N003801,0.0,N003526,S002,382.9,5.1,1
N004212,S001,23.07,N004363,171.4,N003556,S002,864.3,7.57,1
N004363,S001,22.95,N004363,0.0,N003556,S002,864.3,7.46,1
X000100,S001,22.8,X000100,0.0,N003510,S002,372.3,3.78,1
N003940,S001,22.66,N004363,476.0,N003556,S002,864.3,7.17,1
N000721,S007,22.32,N000922,701.3,N000925,S004,274.9,10.65,1
N004100,S001,21.86,N004363,326.6,N003556,S002,864.3,6.36,1
N004307,S001,21.19,N004363,82.9,N003556,S002,864.3,5.69,1
N000746,S007,21.1,N000922,801.5,N000925,S004,274.9,9.42,1
N000655,S007,20.94,N000922,974.7,N000925,S004,274.9,9.27,1
N000654,S007,20.91,N000922,1044.3,N000925,S004,274.9,9.23,1
N000787,S007,20.82,N000922,521.7,N000925,S004,274.9,9.15,1
N000656,S007,20.48,N000922,1086.4,N000925,S004,274.9,8.8,1
N000653,S007,20.34,N000922,877.7,N000925,S004,274.9,8.66,1
N003862,S001,20.27,N004363,563.3,N003556,S002,864.3,4.78,1
N000764,S007,20.11,N000922,892.4,N000925,S004,274.9,8.43,1
N000796,S007,19.53,N000922,525.3,N000925,S004,274.9,7.85,1
N000744,S007,19.3,N000744,0.0,N000754,S004,95.9,5.12,1
N004190,S001,19.16,N004363,238.3,N003556,S002,864.3,3.66,1
N004115,S001,19.07,N004363,328.1,N003556,S002,864.3,3.58,1
N000688,S007,18.87,N000922,808.9,N000925,S004,274.9,7.2,1
N000795,S007,18.74,N000795,0.0,N000861,S004,188.5,2.93,1
N000818,S007,18.44,N000922,250.0,N000925,S004,274.9,6.76,1
N000856,S007,18.17,N000922,165.4,N000925,S004,274.9,6.49,1
N000789,S007,18.15,N000922,417.2,N000925,S004,274.9,6.47,1
N000819,S007,18.03,N000922,332.4,N000925,S004,274.9,6.36,1
N000830,S007,18.0,N000922,470.0,N000925,S004,274.9,6.33,1
N007321,S006,17.22,N007321,0.0,N007156,S035,1101.3,9.1,1
N000889,S007,16.97,N000922,80.0,N000925,S004,274.9,5.29,1
N001882,S021,15.83,N001853,281.2,N002010,S046,248.0,10.39,1
N001906,S021,15.82,N001906,0.0,N002005,S046,171.9,9.56,1
N001852,S021,15.41,N001853,183.9,N002010,S046,248.0,9.97,1
X000099,S001,15.34,N004363,417.3,N003556,S002,864.3,-0.16,1
N001884,S021,15.28,N001853,195.5,N002010,S046,248.0,9.84,1
N001820,S021,15.26,N001853,138.9,N002010,S046,248.0,9.83,1
N000922,S007,15.25,N000922,0.0,N000925,S004,274.9,3.58,1
N009327,S008,15.13,N009327,0.0,N009318,S034,169.6,1.64,1
N001885,S021,14.97,N001853,149.7,N002010,S046,248.0,9.54,1
N001883,S021,14.75,N001853,93.1,N002010,S046,248.0,9.32,1
N001850,S021,14.66,N001853,35.2,N002010,S046,248.0,9.22,1
N009340,S008,14.56,N009320,557.5,N009271,S034,1376.8,3.99,1
N001853,S021,14.44,N001853,0.0,N002010,S046,248.0,9.0,1
N009341,S008,14.33,N009320,525.4,N009271,S034,1376.8,3.75,1
N000868,S007,14.18,N000922,430.7,N000925,S004,274.9,2.51,1
N002379,S011,13.69,N002346,74.9,N002137,S004,687.0,9.65,1
N009331,S008,13.33,N009320,255.3,N009271,S034,1376.8,2.76,1
N009335,S008,13.15,N009320,276.0,N009271,S034,1376.8,2.57,1
N002346,S011,12.93,N002346,0.0,N002137,S004,687.0,8.9,1
N009320,S008,12.58,N009320,0.0,N009271,S034,1376.8,2.01,1
N001299,S016,12.02,N001299,0.0,N001330,S007,82.1,10.2,1
N002329,S011,12.02,N001615,1707.4,N001264,S004,586.3,10.67,1
N001228,S016,11.82,N001505,713.8,N001604,S040,282.5,10.45,1
N001916,S011,11.81,N001916,0.0,N001675,S004,359.4,6.18,1
N001327,S016,11.77,N001505,440.1,N001604,S040,282.5,10.41,1
N002489,S011,11.77,N001615,1856.4,N001264,S004,586.3,10.42,1
N001938,S011,11.73,N001615,1185.1,N001264,S004,586.3,10.38,1
N001958,S011,11.71,N001615,1150.8,N001264,S004,586.3,10.36,1
N002491,S011,11.69,N001615,1834.5,N001264,S004,586.3,10.33,1
N002707,S011,11.67,N001615,2181.0,N001264,S004,586.3,10.32,1
N002991,S011,11.67,N001615,3106.0,N001264,S004,586.3,10.32,1
N002943,S011,11.66,N001615,3182.9,N001264,S004,586.3,10.31,1
N002751,S011,11.64,N001615,2970.2,N001264,S004,586.3,10.29,1
N002752,S011,11.55,N001615,2831.3,N001264,S004,586.3,10.2,1
N002356,S011,11.54,N001615,1762.8,N001264,S004,586.3,10.18,1
N006437,S026,11.45,N006333,712.1,N006269,S077,139.4,7.29,1
N008930,S012,11.44,N008930,0.0,N008951,S027,525.4,10.26,1
N003130,S011,11.4,N001615,3523.8,N001264,S004,586.3,10.05,1
N008081,S006,11.4,N007488,3324.6,N007474,S170,75.7,10.68,1
N007768,S006,11.38,N007488,2380.7,N007474,S170,75.7,10.66,1
N008233,S006,11.38,N007488,3673.1,N007474,S170,75.7,10.66,1
N008956,S012,11.36,N008956,0.0,N009044,S027,435.3,7.39,1
N003160,S011,11.29,N002820,546.3,N002842,S030,89.6,9.61,1
N007837,S006,11.29,N007488,2637.3,N007474,S170,75.7,10.57,1
N008032,S006,11.29,N007488,3151.5,N007474,S170,75.7,10.57,1
N008196,S006,11.29,N007931,965.7,N007915,S013,87.4,8.17,1
N002795,S011,11.27,N001615,2783.6,N001264,S004,586.3,9.92,1
N008110,S006,11.27,N007488,3323.0,N007474,S170,75.7,10.55,1
N007659,S006,11.26,N007488,1856.8,N007474,S170,75.7,10.54,1
N008066,S006,11.26,N007488,3236.3,N007474,S170,75.7,10.54,1
N008170,S006,11.26,N007488,3497.7,N007474,S170,75.7,10.54,1
N007673,S006,11.24,N007488,1897.4,N007474,S170,75.7,10.52,1
N008128,S006,11.24,N007488,3413.4,N007474,S170,75.7,10.52,1
N002577,S011,11.23,N001615,1825.7,N001264,S004,586.3,9.87,1
N007411,S006,11.22,N007488,1243.7,N007474,S170,75.7,10.5,1
N002551,S011,11.18,N001615,2528.9,N001264,S004,586.3,9.83,1
N002663,S011,11.15,N001615,2077.3,N001264,S004,586.3,9.8,1
N008151,S006,11.15,N007488,3412.8,N007474,S170,75.7,10.43,1
N007551,S006,11.13,N007488,1528.6,N007474,S170,75.7,10.41,1
N007606,S006,11.13,N007488,1700.0,N007474,S170,75.7,10.41,1
N007636,S006,11.13,N007488,1776.7,N007474,S170,75.7,10.41,1
N007714,S006,11.1,N007488,2093.8,N007474,S170,75.7,10.38,1
N008140,S006,11.1,N007931,793.3,N007915,S013,87.4,7.98,1
N003146,S011,11.09,N001615,3603.9,N001264,S004,586.3,9.74,1
N007632,S006,11.08,N007488,1754.6,N007474,S170,75.7,10.36,1
N001953,S011,11.07,N001615,1469.1,N001264,S004,586.3,9.72,1
N002961,S011,11.07,N001615,2689.2,N001264,S004,586.3,9.72,1
N002803,S011,11.05,N001615,2917.7,N001264,S004,586.3,9.7,1
N008180,S006,11.05,N007931,881.1,N007915,S013,87.4,7.93,1
N001375,S016,11.04,N001505,339.1,N001604,S040,282.5,9.68,1
N007408,S006,11.02,N007488,1160.0,N007474,S170,75.7,10.3,1
N002391,S011,11.01,N001999,794.0,N001980,S043,95.8,8.47,1
N003225,S011,10.97,N001615,3766.9,N001264,S004,586.3,9.61,1
N007979,S006,10.97,N007931,281.7,N007915,S013,87.4,7.85,1
N007826,S006,10.96,N007488,2554.7,N007474,S170,75.7,10.24,1
N007905,S006,10.94,N007488,2731.5,N007474,S170,75.7,10.22,1
N008075,S006,10.94,N007931,626.1,N007915,S013,87.4,7.82,1
N008039,S006,10.93,N007488,3068.7,N007474,S170,75.7,10.21,1
N008115,S006,10.93,N007931,709.7,N007915,S013,87.4,7.81,1
N007997,S006,10.92,N007488,2982.8,N007474,S170,75.7,10.2,1
N007949,S006,10.9,N007488,2814.8,N007474,S170,75.7,10.18,1
N007817,S006,10.88,N007488,2469.3,N007474,S170,75.7,10.16,1
N007876,S006,10.88,N007488,2646.5,N007474,S170,75.7,10.16,1
N002890,S011,10.87,N001615,3021.9,N001264,S004,586.3,9.51,1
N008009,S006,10.85,N007488,2983.7,N007474,S170,75.7,10.13,1
N007846,S006,10.84,N007488,2562.7,N007474,S170,75.7,10.12,1
N009135,S028,10.84,N009081,1751.1,X000144,S108,142.1,10.41,1
N006407,S026,10.82,N006333,728.1,N006269,S077,139.4,6.66,1
N001321,S016,10.79,N001505,533.3,N001604,S040,282.5,9.43,1
N002899,S011,10.79,N001615,2604.1,N001264,S004,586.3,9.43,1
N007988,S006,10.78,N007488,2897.9,N007474,S170,75.7,10.06,1
N007941,S006,10.77,N007488,2728.2,N007474,S170,75.7,10.05,1
N007895,S006,10.76,N007488,2646.5,N007474,S170,75.7,10.04,1
N002383,S011,10.75,N001615,1652.0,N001264,S004,586.3,9.4,1
N002412,S011,10.75,N001615,1629.6,N001264,S004,586.3,9.39,1
N008163,S006,10.75,N007931,798.7,N007915,S013,87.4,7.63,1
N007712,S006,10.73,N007488,2004.5,N007474,S170,75.7,10.01,1
N002508,S011,10.72,N001615,1729.6,N001264,S004,586.3,9.37,1
N001653,S011,10.71,N001615,746.4,N001264,S004,586.3,9.36,1
N007406,S006,10.71,N007488,1060.2,N007474,S170,75.7,9.99,1
N007507,S006,10.71,N007488,1353.5,N007474,S170,75.7,9.99,1
N007807,S006,10.71,N007488,2386.4,N007474,S170,75.7,9.99,1
N007883,S006,10.71,N007488,2559.8,N007474,S170,75.7,9.99,1
N000017,S003,95.65,N003270,14548.1,N003298,S160,116.2,95.81,0
N000018,S003,93.45,N003270,14351.6,N003298,S160,116.2,93.61,0
N000023,S003,91.95,N003270,14406.7,N003298,S160,116.2,92.11,0
N000026,S003,91.92,N003270,14504.5,N003298,S160,116.2,92.09,0
N000025,S003,90.8,N003270,14326.0,N003298,S160,116.2,90.96,0
N000020,S003,90.15,N003270,14131.8,N003298,S160,116.2,90.31,0
N000021,S003,89.86,N003270,14108.3,N003298,S160,116.2,90.03,0
N000028,S003,89.79,N003270,14241.9,N003298,S160,116.2,89.95,0
N000024,S003,89.19,N003270,14110.0,N003298,S160,116.2,89.36,0
N000022,S003,89.03,N003270,14023.3,N003298,S160,116.2,89.19,0
N000027,S003,86.77,N003270,13852.9,N003298,S160,116.2,86.93,0
N000029,S003,86.54,N003270,13942.9,N003298,S160,116.2,86.7,0
N000033,S003,86.54,N003270,14073.3,N003298,S160,116.2,86.7,0
N000030,S003,86.41,N003270,13769.1,N003298,S160,116.2,86.57,0
N000035,S003,84.9,N003270,13941.1,N003298,S160,116.2,85.06,0
N000032,S003,84.49,N003270,13690.1,N003298,S160,116.2,84.65,0
N000031,S003,84.34,N003270,13645.7,N003298,S160,116.2,84.5,0
N000036,S003,84.28,N003270,13822.9,N003298,S160,116.2,84.44,0
N000034,S003,84.07,N003270,13778.6,N003298,S160,116.2,84.24,0
N000040,S003,83.97,N003270,13937.8,N003298,S160,116.2,84.13,0
N000037,S003,83.92,N003270,13864.2,N003298,S160,116.2,84.09,0
N000038,S003,83.6,N003270,13912.2,N003298,S160,116.2,83.76,0
N000039,S003,83.23,N003270,13910.6,N003298,S160,116.2,83.39,0
N000041,S003,82.9,N003270,13994.2,N003298,S160,116.2,83.06,0
N000043,S003,81.92,N003270,14165.8,N003298,S160,116.2,82.08,0
N000044,S003,80.67,N003270,14252.2,N003298,S160,116.2,80.83,0
N000042,S003,79.23,N003270,13190.8,N003298,S160,116.2,79.39,0
N000064,S003,77.48,N003270,14399.9,N003298,S160,116.2,77.64,0
N000061,S003,77.05,N003270,14384.8,N003298,S160,116.2,77.21,0
N000070,S003,76.83,N003270,14274.3,N003298,S160,116.2,76.99,0
N000050,S003,76.04,N003270,13797.9,N003298,S160,116.2,76.21,0
N000054,S003,75.82,N003270,14119.5,N003298,S160,116.2,75.99,0
N000058,S003,75.56,N003270,14036.7,N003298,S160,116.2,75.72,0
N000045,S003,75.49,N003270,13482.6,N003298,S160,116.2,75.65,0
N000053,S003,75.35,N003270,13954.9,N003298,S160,116.2,75.52,0
N000062,S003,75.33,N003270,14327.0,N003298,S160,116.2,75.49,0
N000047,S003,75.21,N003270,13569.5,N003298,S160,116.2,75.37,0
N000072,S003,74.35,N003270,14421.1,N003298,S160,116.2,74.51,0
N000049,S003,73.79,N003270,13728.5,N003298,S160,116.2,73.95,0
N000048,S003,73.65,N003270,13643.8,N003298,S160,116.2,73.81,0
N000059,S003,73.01,N003270,12560.7,N003298,S160,116.2,73.17,0
N000056,S003,72.87,N003270,13965.4,N003298,S160,116.2,73.03,0
N000060,S003,72.34,N003270,12541.5,N003298,S160,116.2,72.5,0
N000068,S003,72.18,N003270,14229.2,N003298,S160,116.2,72.34,0
N000065,S003,71.88,N003270,14151.5,N003298,S160,116.2,72.04,0
N000052,S003,71.68,N003270,12353.7,N003298,S160,116.2,71.85,0
N000051,S003,71.62,N003270,12360.8,N003298,S160,116.2,71.78,0
N000057,S003,71.58,N003270,12458.0,N003298,S160,116.2,71.74,0
N000046,S007,71.4,N000275,4192.3,X000008,S004,1253.5,58.76,0
N000055,S003,71.3,N003270,12301.1,N003298,S160,116.2,71.46,0
N000069,S003,70.83,N003270,12689.7,N003298,S160,116.2,70.99,0
N000063,S003,70.54,N003270,12456.6,N003298,S160,116.2,70.71,0
N000073,S003,70.48,N003270,12788.3,N003298,S160,116.2,70.64,0
N000079,S003,69.76,N003270,12927.5,N003298,S160,116.2,69.92,0
N000086,S007,68.87,N000275,4310.5,X000008,S004,1253.5,56.23,0
N000071,S003,68.65,N003270,12351.3,N003298,S160,116.2,68.81,0
N000106,S003,68.29,N003270,11765.5,N003298,S160,116.2,68.45,0
N000121,S003,68.08,N003270,11637.7,N003298,S160,116.2,68.24,0
N000067,S007,68.0,N000275,3770.4,X000008,S004,1253.5,55.37,0
N000198,S003,67.97,N003270,10015.9,N003298,S160,116.2,68.13,0
N000077,S003,67.88,N003270,12431.9,N003298,S160,116.2,68.04,0
N000066,S003,67.7,N003270,12051.4,N003298,S160,116.2,67.86,0
N000081,S003,67.23,N003270,12571.4,N003298,S160,116.2,67.39,0
N000133,S003,67.23,N003270,10171.2,N003298,S160,116.2,67.39,0
N000076,S003,67.19,N003270,12271.1,N003298,S160,116.2,67.36,0
N000129,S003,67.16,N003270,11557.1,N003298,S160,116.2,67.32,0
N000170,S003,67.12,N003270,9755.5,N003298,S160,116.2,67.28,0
N000107,S003,67.05,N003270,11717.9,N003298,S160,116.2,67.21,0
N000171,S003,67.04,N003270,9882.7,N003298,S160,116.2,67.2,0
N000217,S003,66.94,N003270,9599.0,N003298,S160,116.2,67.1,0
N000119,S003,66.82,N003270,11620.5,N003298,S160,116.2,66.99,0
N000137,S003,66.81,N003270,9966.1,N003298,S160,116.2,66.97,0
N000221,S003,66.79,N003270,9750.8,N003298,S160,116.2,66.96,0
N000215,S003,65.99,N003270,9664.9,N003298,S160,116.2,66.15,0
N000085,S003,65.79,N003270,12295.8,N003298,S160,116.2,65.95,0
N000183,S003,65.77,N003270,10220.4,N003298,S160,116.2,65.93,0
N000075,S003,65.71,N003270,11845.2,N003298,S160,116.2,65.87,0
N000154,S003,65.63,N003270,10254.4,N003298,S160,116.2,65.79,0
X000054,S003,65.63,N003270,12564.3,N003298,S160,116.2,65.79,0
N000231,S003,65.38,N003270,9891.7,N003298,S160,116.2,65.55,0
N000117,S003,65.19,N003270,10243.0,N003298,S160,116.2,65.35,0
N000145,S003,65.16,N003270,9546.9,N003298,S160,116.2,65.32,0
N000208,S003,65.14,N003270,9559.7,N003298,S160,116.2,65.3,0
N000108,S003,65.05,N003270,9895.0,N003298,S160,116.2,65.21,0
N000122,S003,65.0,N003270,10324.5,N003298,S160,116.2,65.16,0
N000222,S003,64.96,N003270,9794.5,N003298,S160,116.2,65.12,0
N000156,S003,64.92,N003270,9643.6,N003298,S160,116.2,65.08,0
N000141,S003,64.86,N003270,9884.7,N003298,S160,116.2,65.02,0
N000158,S003,64.85,N003270,9787.0,N003298,S160,116.2,65.01,0
N000114,S003,64.77,N003270,9998.2,N003298,S160,116.2,64.93,0
N000102,S003,64.74,N003270,9966.3,N003298,S160,116.2,64.9,0
N000155,S003,64.74,N003270,10218.0,N003298,S160,116.2,64.9,0
N000195,S003,64.69,N003270,9803.6,N003298,S160,116.2,64.85,0
N000139,S003,64.6,N003270,10044.1,N003298,S160,116.2,64.76,0
N000080,S003,64.57,N003270,11636.1,N003298,S160,116.2,64.73,0
N000161,S003,64.57,N003270,10192.0,N003298,S160,116.2,64.73,0
N000189,S003,64.55,N003270,9286.8,N003298,S160,116.2,64.71,0
N000213,S003,64.53,N003270,9760.3,N003298,S160,116.2,64.69,0
N000194,S003,64.48,N003270,9363.7,N003298,S160,116.2,64.64,0
N000109,S003,64.47,N003270,10159.2,N003298,S160,116.2,64.63,0
N000095,S003,64.46,N003270,10247.2,N003298,S160,116.2,64.62,0
N000112,S003,64.46,N003270,10026.6,N003298,S160,116.2,64.62,0
N000185,S003,64.46,N003270,10145.9,N003298,S160,116.2,64.62,0
N000187,S003,64.46,N003270,9839.0,N003298,S160,116.2,64.62,0
N000203,S003,64.46,N003270,9529.1,N003298,S160,116.2,64.62,0
N000136,S003,64.42,N003270,11393.7,N003298,S160,116.2,64.58,0
N000211,S003,64.42,N003270,9665.8,N003298,S160,116.2,64.58,0
N000094,S003,64.37,N003270,10208.7,N003298,S160,116.2,64.53,0
N000078,S003,64.32,N003270,11924.7,N003298,S160,116.2,64.48,0
N000207,S003,64.32,N003270,9583.7,N003298,S160,116.2,64.48,0
N000123,S003,64.31,N003270,11513.8,N003298,S160,116.2,64.47,0
N000153,S003,64.3,N003270,9893.2,N003298,S160,116.2,64.46,0
N000193,S003,64.19,N003270,10105.9,N003298,S160,116.2,64.36,0
N000179,S003,64.15,N003270,10179.7,N003298,S160,116.2,64.31,0
N000201,S003,64.12,N003270,10028.8,N003298,S160,116.2,64.29,0
N000216,S003,64.12,N003270,9902.1,N003298,S160,116.2,64.28,0
N000172,S003,64.1,N003270,10105.8,N003298,S160,116.2,64.26,0
N000178,S003,64.1,N003270,10464.0,N003298,S160,116.2,64.26,0
N000084,S003,64.05,N003270,11520.1,N003298,S160,116.2,64.21,0
N000110,S003,64.05,N003270,11620.2,N003298,S160,116.2,64.21,0
N000083,S003,63.97,N003270,11708.7,N003298,S160,116.2,64.13,0
N000234,S003,63.82,N003270,9051.1,N003298,S160,116.2,63.99,0
N000151,S003,63.8,N003270,9963.9,N003298,S160,116.2,63.96,0
N000225,S003,63.74,N003270,8887.1,N003298,S160,116.2,63.9,0
N000090,S003,63.71,N003270,11965.4,N003298,S160,116.2,63.87,0
N000135,S003,63.61,N003270,10340.3,N003298,S160,116.2,63.77,0
N000143,S003,63.61,N003270,10030.7,N003298,S160,116.2,63.77,0
N000126,S003,63.51,N003270,10169.4,N003298,S160,116.2,63.67,0
N000147,S003,63.37,N003270,10202.0,N003298,S160,116.2,63.53,0
N000144,S003,63.32,N003270,10077.0,N003298,S160,116.2,63.48,0
N000140,S003,63.27,N003270,11312.8,N003298,S160,116.2,63.43,0
N000082,S007,63.25,N000275,3440.6,X000008,S004,1253.5,50.61,0
N000116,S003,63.23,N003270,10252.2,N003298,S160,116.2,63.39,0
N000087,S003,63.11,N003270,11327.8,N003298,S160,116.2,63.27,0
N000089,S007,63.09,N000275,3248.4,X000008,S004,1253.5,50.46,0
N000131,S003,63.08,N003270,11400.6,N003298,S160,116.2,63.24,0
N000191,S003,62.76,N003270,10498.4,N003298,S160,116.2,62.92,0
N000298,S003,62.75,N003270,9527.9,N003298,S160,116.2,62.91,0
N000088,S003,62.72,N003270,11374.5,N003298,S160,116.2,62.88,0
N000149,S003,62.71,N003270,10298.2,N003298,S160,116.2,62.87,0
N000164,S003,62.68,N003270,10388.1,N003298,S160,116.2,62.85,0
N000162,S003,62.58,N003270,10664.6,N003298,S160,116.2,62.74,0
N006214,S014,62.4,N006214,0.0,N005475,S005,1465.2,30.21,0
N000146,S003,62.38,N003270,11220.0,N003298,S160,116.2,62.54,0
N000165,S003,62.06,N003270,10464.8,N003298,S160,116.2,62.23,0
N006305,S014,62.06,N007524,8319.2,N007564,S006,102.0,63.57,0
N006375,S014,62.01,N007524,8250.0,N007564,S006,102.0,63.52,0
N000261,S003,61.74,N003270,8967.8,N003298,S160,116.2,61.9,0
N006435,S014,61.69,N007524,8319.7,N007564,S006,102.0,63.19,0
N006271,S014,61.53,N007524,8353.2,N007564,S006,102.0,63.03,0
N000256,S003,61.4,N003270,8842.0,N003298,S160,116.2,61.56,0
N000258,S003,61.4,N003270,8923.5,N003298,S160,116.2,61.56,0
N000214,S003,61.32,N003270,10347.1,N003298,S160,116.2,61.48,0
N000125,S003,61.28,N003270,11392.7,N003298,S160,116.2,61.44,0
N006390,S014,61.28,N007524,8201.7,N007564,S006,102.0,62.79,0
N006417,S014,61.05,N007524,8156.3,N007564,S006,102.0,62.56,0
N000091,S003,60.95,N003270,11857.5,N003298,S160,116.2,61.11,0
N000263,S003,60.92,N003270,8715.5,N003298,S160,116.2,61.08,0
N000148,S003,60.83,N003270,10745.5,N003298,S160,116.2,61.0,0
N006296,S014,60.81,N007524,8233.8,N007564,S006,102.0,62.32,0
N000266,S003,60.69,N003270,8693.9,N003298,S160,116.2,60.85,0
N000257,S003,60.67,N003270,8497.4,N003298,S160,116.2,60.83,0
N000268,S003,60.55,N003270,8797.6,N003298,S160,116.2,60.71,0
N003789,S005,60.51,N003789,0.0,N003719,S004,683.5,50.89,0
N000271,S003,60.46,N003270,8753.0,N003298,S160,116.2,60.62,0
N000306,S003,60.32,N003270,9304.5,N003298,S160,116.2,60.48,0
N006369,S014,60.25,N007524,8189.7,N007564,S006,102.0,61.76,0
N000274,S003,60.23,N003270,9049.0,N003298,S160,116.2,60.39,0
N000273,S003,60.22,N003270,8852.7,N003298,S160,116.2,60.38,0
N006363,S014,59.89,N007524,8108.2,N007564,S006,102.0,61.4,0
N000265,S003,59.87,N003270,8396.9,N003298,S160,116.2,60.03,0
N000282,S003,59.84,N003270,8969.8,N003298,S160,116.2,60.0,0
N000252,S004,59.83,N001038,8243.6,N000999,S156,85.0,60.34,0
N000307,S003,59.82,N003270,9329.1,N003298,S160,116.2,59.98,0
N000278,S003,59.8,N003270,8598.2,N003298,S160,116.2,59.96,0
N000280,S003,59.79,N003270,8907.0,N003298,S160,116.2,59.95,0
N000300,S003,59.77,N003270,9222.2,N003298,S160,116.2,59.93,0
N000281,S003,59.71,N003270,8660.0,N003298,S160,116.2,59.87,0
N006430,S014,59.67,N007524,8068.7,N007564,S006,102.0,61.18,0
N000299,S003,59.64,N003270,9329.7,N003298,S160,116.2,59.8,0
N000287,S003,59.55,N003270,8739.9,N003298,S160,116.2,59.71,0
N000092,S003,59.45,N003270,12047.5,N003298,S160,116.2,59.61,0
N000301,S003,59.45,N003270,9410.6,N003298,S160,116.2,59.61,0
N000294,S003,59.39,N003270,9135.9,N003298,S160,116.2,59.55,0
N000289,S003,59.25,N003270,8841.9,N003298,S160,116.2,59.41,0
N000291,S003,59.25,N003270,8812.4,N003298,S160,116.2,59.42,0
N000303,S003,59.2,N003270,9273.0,N003298,S160,116.2,59.36,0
N000159,S003,59.15,N003270,11072.3,N003298,S160,116.2,59.31,0
N006403,S014,59.03,N007524,8026.7,N007564,S006,102.0,60.54,0
N000184,S003,58.89,N003270,10850.1,N003298,S160,116.2,59.06,0
N003781,S005,58.88,N002822,9352.9,N002836,S092,81.5,59.43,0
N000229,S004,58.85,N001038,8421.1,N000999,S156,85.0,59.37,0
N006394,S014,58.85,N007524,7923.1,N007564,S006,102.0,60.36,0
N000130,S003,58.84,N003270,11290.2,N003298,S160,116.2,59.0,0
N000249,S004,58.73,N001038,8146.7,N000999,S156,85.0,59.24,0
N001821,S004,58.64,N001038,8425.4,N000999,S156,85.0,59.15,0
N000219,S004,58.52,N001038,8417.3,N000999,S156,85.0,59.04,0
N000296,S003,58.27,N003270,8198.0,N003298,S160,116.2,58.43,0
N000309,S003,58.23,N003270,9537.6,N003298,S160,116.2,58.39,0
N000239,S004,58.22,N001038,8152.1,N000999,S156,85.0,58.73,0
N000248,S004,57.99,N001038,8053.9,N000999,S156,85.0,58.51,0
N000115,S003,57.98,N003270,11407.4,N003298,S160,116.2,58.15,0
N000174,S003,57.86,N003270,10918.6,N003298,S160,116.2,58.02,0
N006450,S014,57.81,N007524,7808.5,N007564,S006,102.0,59.32,0
N000212,S004,57.76,N001038,8549.4,N000999,S156,85.0,58.27,0
N006522,S014,57.71,N007524,7834.2,N007564,S006,102.0,59.22,0
N000228,S004,57.54,N001038,8471.4,N000999,S156,85.0,58.05,0
N000392,S003,57.48,N003270,8179.0,N003298,S160,116.2,57.65,0
N006552,S014,57.47,N007524,7757.3,N007564,S006,102.0,58.98,0
N000241,S004,57.3,N001038,8147.0,N000999,S156,85.0,57.81,0
N000166,S003,57.2,N003270,10965.0,N003298,S160,116.2,57.37,0
N003828,S005,57.16,N002822,8695.9,N002836,S092,81.5,57.71,0
N000302,S003,57.15,N003270,7994.8,N003298,S160,116.2,57.31,0
N000312,S003,57.06,N003270,8349.6,N003298,S160,116.2,57.22,0
N000310,S003,56.97,N003270,8040.7,N003298,S160,116.2,57.13,0
N000378,S003,56.96,N003270,8048.1,N003298,S160,116.2,57.12,0
N000322,S003,56.92,N003270,8428.0,N003298,S160,116.2,57.08,0
N000325,S003,56.84,N003270,7976.7,N003298,S160,116.2,57.0,0
N000383,S003,56.84,N003270,8130.2,N003298,S160,116.2,57.0,0
N000410,S003,56.77,N003270,8497.3,N003298,S160,116.2,56.93,0
