tree,arcs,km,uphill_pct,uphill_km,climb_m,descent_m,climb_per_km,ratio,worst_rise_m,joins,path_med_m,path_p95_m,path_max_m,def_p95_m,def_max_m,n_over_budget,n_over_floor,n_nodes,uphill_pct_all,weight,LAMBDA_SLOPE,LAMBDA_DETOUR,SHIPPED,PARETO
branching,9550,1139.060302070714,38.58473842250892,439.503438028625,2632.5200805664062,5443.544342041016,2.311133199691632,0.4836040482365875,20.725128173828125,193,2549.1299999999997,8522.666107732926,15008.459,44.78487630344525,97.74325325195312,3421,1098,9743,24.574701546410722,2417683.558173609,2.0,1.0,0,0
branching,9550,1163.7026250965935,39.80295101990138,463.1879858845037,2771.480712890625,5420.022247314453,2.381605620817928,0.5113412060741735,20.725128173828125,193,2414.193,7465.6735912691265,13976.562000000002,41.69328024804687,90.98666747070313,3302,1180,9743,25.89901586219997,3106016.837882939,3.0,2.0,0,1
branching,9550,1115.3995274494266,39.926296997522506,445.3377280384207,2698.4166564941406,5254.125640869141,2.4192377619744776,0.5135805347905169,20.725128173828125,193,2605.031000000001,8386.068484275178,15143.128999999997,43.95744157819997,96.45300325195313,3594,1128,9743,24.900924104234257,1771314.83220538,1.0,0.5,0,0
branching,9550,1179.6290492908954,39.993371613595436,471.7734293448307,2842.5072631835938,5452.0611572265625,2.4096619737300435,0.5213637890719413,20.725128173828125,193,2360.386,7406.564199999996,13693.003,39.83432284374999,90.98666747070313,3285,1183,9743,26.379068331476397,4444528.876867179,5.0,4.0,0,1
branching,9550,1163.9389935892543,41.30959880985537,480.8185286431892,2944.3909912109375,5236.8131103515625,2.529678108069289,0.5622486289210485,20.725128173828125,193,2356.055,7311.275899999996,13976.562000000002,40.23627800878905,90.98666747070313,3321,1187,9743,26.884822317638235,2504757.260279036,2.0,2.0,0,1
branching,9550,1188.225894211132,42.140395669251006,500.72309326506695,3047.521453857422,5246.945831298828,2.564766067382064,0.5808181658134326,20.725128173828125,193,2307.4239999999995,7199.2963,13661.927000000001,38.94497811914062,90.98666747070313,3800,1261,9743,27.99778001641745,3214545.1158357253,3.0,4.0,0,1
branching,9550,1140.7183435787958,42.46709206141562,484.4299091290626,3000.5789184570312,5082.229888916016,2.6304292688441056,0.5904059800602649,20.725128173828125,193,2372.1809999999996,7422.4809,14227.332000000002,41.5245611923828,90.98666747070313,3358,1194,9743,27.086751563081567,1828140.9594491937,1.0,1.0,0,0
branching,9550,1190.492979686642,43.46560588059196,517.4549865867115,3199.8493041992188,5106.549560546875,2.6878355091530852,0.6266167137437001,20.725128173828125,193,2283.1698175882957,7188.764213379786,13661.927000000001,38.94497811914062,90.98666747070313,3818,1277,9743,28.933338760918137,2573725.5137686743,2.0,4.0,0,1
branching,9550,1166.7940710952334,43.86384218967376,511.80071002368317,3215.9189453125,4997.220764160156,2.756200965517263,0.6435414997826245,20.725128173828125,193,2308.0899999999997,7224.232299999998,13876.615999999998,39.17411012389387,90.98666747070313,3422,1230,9743,28.61718160041775,1876995.609570542,1.0,2.0,0,0
branching,9550,1194.7830144296129,44.63871271088463,533.3357573296821,3344.44775390625,4995.112274169922,2.7992093237974953,0.6695440603408707,20.725128173828125,193,2278.5389999999998,7187.433120418084,13661.927000000001,38.72834782910156,90.98666747070313,3839,1273,9743,29.821307244363894,1914791.090727225,1.0,4.0,0,1
branching,9550,1149.835576706877,46.45901918246967,534.2023311491087,3568.6217041015625,4694.307525634766,3.1035930496446076,0.7602019434419164,20.725128173828125,193,2303.045,7246.465599999999,14165.094000000001,39.10711658329564,90.98666747070313,3478,1235,9743,29.869761456863035,1186513.1760099246,0.0,1.0,0,0
branching,9550,1117.0479320537863,46.5301678935538,519.7642782360975,3532.919219970703,4600.373748779297,3.162728400987355,0.7679635205526852,20.725128173828125,193,2416.84,7846.789299999999,14602.93,41.86958642382809,93.06371325195313,3916,1249,9743,29.062462103665652,1159310.528242033,0.0,0.5,0,0
A naive shortest-path tree (reference),9550,1270.9650372801152,46.62447648381989,592.5807949242401,3776.441864013672,4960.472320556641,2.971318449558074,0.7613069119171897,20.725128173828125,193,2265.7550000000006,7170.118899999999,13661.927000000001,38.64507982457602,90.98666747070313,3845,1254,9743,33.133975567330054,1270965.0372801153,0.0,0.0,0,1
branching,9550,1206.530860468268,46.73294441465855,563.8473963683371,3666.436981201172,4804.773681640625,3.0388256954970774,0.7630821395835735,20.725128173828125,193,2270.955,7187.314799999999,13661.927000000001,38.71050110702754,90.98666747070313,3855,1271,9743,31.52735629469675,1227157.4436771055,0.0,4.0,0,0
branching,9550,1180.3245836315123,46.77724705460765,552.1233465315815,3623.5227661132812,4744.442535400391,3.0699375547739294,0.7637404687856519,20.725128173828125,193,2280.3189999999995,7191.356213379785,13770.106,38.89303442240288,90.98666747070313,3883,1275,9743,30.871809601033007,1209335.828570101,0.0,2.0,0,0
branching,9550,1089.7295915206596,46.962981086520784,511.76950196006754,3518.1901245117188,4502.810272216797,3.228498291582843,0.7813320819266196,20.725128173828125,193,2578.0249999999996,8568.916046979006,17200.728999999996,45.08796475921643,97.93724825195312,4305,1408,9743,28.615436610998252,1130460.6231427402,0.0,0.25,0,0
branching,9550,1064.903036297286,47.63223990448445,507.2371689992624,3561.551483154297,4399.145111083984,3.344484297404171,0.8096008186183025,20.725128173828125,193,3751.0859999999993,12826.463929055555,18862.546000000002,55.02299172896627,117.01368825195311,5460,1223,9743,28.362012587012593,1064903.036297286,0.0,0.0,0,0
