MH_LABEL,LOADTYPE,BASEFLOW,PATTERN
MH-0955,Sanitary Pattern Load,0.0694,Fixed
MH-1194,Sanitary Pattern Load,0.0198,Fixed
MH-1164,Sanitary Pattern Load,0.0297,Fixed
MH-0984,Sanitary Pattern Load,0.0099,Fixed
MH-0937,Sanitary Pattern Load,0.0297,Fixed
MH-1128,Sanitary Pattern Load,0.0099,Fixed
MH-1219,Sanitary Pattern Load,0.0297,Fixed
MH-1232,Sanitary Pattern Load,0.0099,Fixed
MH-0936,Sanitary Pattern Load,0.0496,Fixed
MH-0902,Sanitary Pattern Load,0.0397,Fixed
MH-0880,Sanitary Pattern Load,0.0099,Fixed
MH-0900,Sanitary Pattern Load,0.0595,Fixed
MH-0869,Sanitary Pattern Load,0.0198,Fixed
MH-0817,Sanitary Pattern Load,0.0297,Fixed
MH-0851,Sanitary Pattern Load,0.0198,Fixed
MH-0685,Sanitary Pattern Load,0.0198,Fixed
MH-0718,Sanitary Pattern Load,0.0397,Fixed
MH-0658,Sanitary Pattern Load,0.0297,Fixed
MH-0699,Sanitary Pattern Load,0.0198,Fixed
MH-0753,Sanitary Pattern Load,0.0397,Fixed
MH-0670,Sanitary Pattern Load,0.0198,Fixed
MH-0712,Sanitary Pattern Load,0.0198,Fixed
MH-0886,Sanitary Pattern Load,0.0496,Fixed
MH-1152,Sanitary Pattern Load,0.0297,Fixed
MH-1176,Sanitary Pattern Load,0.0198,Fixed
MH-1207,Sanitary Pattern Load,0.0297,Fixed
MH-1234,Sanitary Pattern Load,0.0198,Fixed
MH-0841,Sanitary Pattern Load,0.0099,Fixed
MH-0793,Sanitary Pattern Load,0.0297,Fixed
MH-0791,Sanitary Pattern Load,0.0099,Fixed
MH-0650,Sanitary Pattern Load,0.0297,Fixed
MH-0679,Sanitary Pattern Load,0.0397,Fixed
MH-0609,Sanitary Pattern Load,0.0297,Fixed
MH-0732,Sanitary Pattern Load,0.0198,Fixed
MH-0714,Sanitary Pattern Load,0.0397,Fixed
MH-0736,Sanitary Pattern Load,0.0099,Fixed
MH-0749,Sanitary Pattern Load,0.0099,Fixed
MH-0737,Sanitary Pattern Load,0.0397,Fixed
MH-0759,Sanitary Pattern Load,0.0099,Fixed
MH-0757,Sanitary Pattern Load,0.0198,Fixed
MH-0751,Sanitary Pattern Load,0.0198,Fixed
MH-0721,Sanitary Pattern Load,0.0397,Fixed
MH-0725,Sanitary Pattern Load,0.0297,Fixed
MH-0644,Sanitary Pattern Load,0.0892,Fixed
MH-0616,Sanitary Pattern Load,0.0198,Fixed
MH-0773,Sanitary Pattern Load,0.0099,Fixed
MH-0754,Sanitary Pattern Load,0.0198,Fixed
MH-0780,Sanitary Pattern Load,0.0397,Fixed
MH-0728,Sanitary Pattern Load,0.0099,Fixed
MH-0755,Sanitary Pattern Load,0.0099,Fixed
MH-0707,Sanitary Pattern Load,0.0198,Fixed
MH-0689,Sanitary Pattern Load,0.0198,Fixed
MH-0734,Sanitary Pattern Load,0.0198,Fixed
MH-0703,Sanitary Pattern Load,0.0397,Fixed
MH-0614,Sanitary Pattern Load,0.0793,Fixed
MH-0667,Sanitary Pattern Load,0.0297,Fixed
MH-0564,Sanitary Pattern Load,0.0198,Fixed
MH-0572,Sanitary Pattern Load,0.0297,Fixed
