LABEL,DIA_MM,SLOPE_PMIL,OUR_Q_LS,OUR_V_MS,OUR_DOD,SG_Q_LS,SG_V_MS,SG_DOD,DQ_PCT,DV_PCT
P-0345,200,44.51,0.0,0.046,0.004,,,,,
P-0346,200,5.0,0.11,0.181,0.055,,,,,
P-0347,200,12.645,0.0,0.033,0.005,,,,,
P-0348,200,5.0,0.57,0.31,0.117,,,,,
P-0349,200,5.0,0.57,0.31,0.117,,,,,
P-0350,200,9.582,0.04,0.156,0.029,,,,,
P-0351,200,20.784,0.14,0.323,0.045,,,,,
P-0352,200,5.0,6.02,0.628,0.376,,,,,
P-0353,200,5.0,6.04,0.629,0.377,,,,,
P-0354,200,5.0,9.0,0.7,0.47,,,,,
P-0355,200,5.0,9.0,0.7,0.47,,,,,
P-0356,200,5.0,8.81,0.696,0.464,,,,,
P-0357,200,5.0,1.42,0.412,0.181,,,,,
P-0358,200,7.151,0.0,0.008,0.002,,,,,
P-0359,200,5.0,0.0,0.02,0.005,,,,,
P-0360,200,5.0,0.04,0.125,0.034,,,,,
P-0361,200,5.0,1.31,0.402,0.175,,,,,
P-0362,200,5.0,0.64,0.322,0.124,,,,,
P-0363,200,9.65,0.14,0.249,0.053,,,,,
P-0364,200,5.0,0.21,0.227,0.075,,,,,
P-0365,200,5.0,1.35,0.405,0.177,,,,,
P-0366,200,5.0,0.11,0.18,0.055,,,,,
P-0367,200,19.564,0.0,0.033,0.004,,,,,
P-0368,200,12.327,0.04,0.169,0.027,,,,,
P-0369,200,5.0,0.78,0.343,0.136,,,,,
P-0370,200,8.513,0.21,0.272,0.066,,,,,
P-0371,200,5.0,0.21,0.227,0.075,,,,,
P-0372,200,11.458,0.82,0.464,0.114,,,,,
P-0373,200,5.0,0.82,0.347,0.139,,,,,
P-0374,200,5.275,0.21,0.231,0.074,,,,,
P-0375,200,5.375,1.1,0.391,0.158,,,,,
P-0376,200,32.166,0.25,0.451,0.052,,,,,
P-0377,200,18.931,0.04,0.225,0.023,,,,,
P-0378,200,10.471,0.25,0.307,0.067,,,,,
P-0379,200,5.0,0.67,0.327,0.127,,,,,
P-0380,200,7.657,0.07,0.183,0.041,,,,,
P-0381,200,5.0,2.42,0.484,0.236,,,,,
P-0382,200,5.0,2.74,0.502,0.251,,,,,
P-0383,200,5.0,0.39,0.275,0.099,,,,,
P-0384,200,5.0,0.25,0.238,0.08,,,,,
P-0385,200,5.0,0.14,0.198,0.062,,,,,
P-0386,200,15.037,0.11,0.262,0.042,,,,,
P-0387,200,5.0,0.39,0.275,0.099,,,,,
P-0388,200,27.499,0.32,0.463,0.06,,,,,
P-0389,200,13.813,0.28,0.249,0.085,,,,,
P-0390,200,12.864,0.39,0.382,0.079,,,,,
P-0391,200,17.629,0.0,0.023,0.003,,,,,
P-0392,200,5.0,3.02,0.516,0.263,,,,,
P-0393,200,5.0,7.75,0.673,0.432,,,,,
P-0394,200,5.0,7.75,0.673,0.432,,,,,
P-0395,200,5.0,0.0,0.019,0.005,,,,,
P-0396,200,5.0,0.11,0.18,0.055,,,,,
P-0397,200,5.0,0.21,0.227,0.075,,,,,
P-0398,200,5.0,4.56,0.581,0.325,,,,,
P-0399,200,5.0,4.83,0.591,0.335,,,,,
P-0400,200,5.0,0.53,0.304,0.114,,,,,
P-0401,200,5.0,0.61,0.316,0.121,,,,,
P-0402,200,5.0,0.0,0.029,0.007,,,,,
P-0403,200,5.0,0.0,0.033,0.008,,,,,
P-0404,200,21.374,0.46,0.479,0.076,,,,,
P-0405,200,35.047,0.71,0.652,0.082,,,,,
P-0406,200,5.0,0.04,0.125,0.034,,,,,
