PIPE_ID,CATCH,TIER,ROLE,DN_MM,LEN_M,SLOPE_PCT,Q_LOW_LS,V_LOW_MS,S_MARA_PCT,CONNECTED_2030,WHY
P08240,C05,secondary main sewer,lateral,200,30.5,1.05,0.228,0.299,1.114,4.8,below Mara's slope
P08241,C126,secondary main sewer,lateral,200,116.7,0.5,0.05,0.14,2.239,0.2,below Mara's slope
P08242,C05,secondary main sewer,lateral,200,160.7,0.5,0.261,0.242,1.045,6.1,below Mara's slope
P08243,C01,secondary main sewer,lateral,200,104.5,0.5,0.415,0.281,0.844,8.3,below Mara's slope
P08244,C03,secondary main sewer,lateral,200,240.1,0.55,0.176,0.22,1.254,2.0,below Mara's slope
P08245,C01,secondary header,sub main,200,753.5,0.5,0.066,0.153,1.969,0.4,below Mara's slope
P08246,C36,secondary main sewer,lateral,200,97.3,0.55,0.204,0.231,1.17,0.7,below Mara's slope
P08248,C36,secondary header,sub main,200,50.7,0.5,0.218,0.228,1.136,4.3,below Mara's slope
P08249,C01,secondary main sewer,lateral,200,85.8,0.5,0.799,0.345,0.624,22.1,below Mara's slope
P08250,C184,secondary main sewer,lateral,200,84.8,0.5,0.068,0.155,1.949,0.4,below Mara's slope
P08251,C184,secondary main sewer,lateral,200,236.2,0.5,0.073,0.158,1.886,0.4,below Mara's slope
P08252,C03,secondary main sewer,lateral,200,27.4,0.5,0.064,0.152,1.999,0.3,below Mara's slope
P08254,C01,secondary main sewer,lateral,200,123.2,0.5,0.177,0.213,1.251,0.2,below Mara's slope
P08255,C01,secondary main sewer,lateral,200,11.7,0.5,0.758,0.339,0.64,18.5,below Mara's slope
P08256,C29,secondary header,sub main,200,671.9,0.5,0.532,0.304,0.753,9.6,below Mara's slope
P08258,C03,secondary main sewer,lateral,200,175.8,0.75,0.152,0.233,1.341,1.4,below Mara's slope
P08259,C21,secondary main sewer,lateral,200,87.7,0.5,0.437,0.285,0.824,9.1,below Mara's slope
P08260,C03,secondary main sewer,lateral,200,335.5,0.5,0.516,0.301,0.764,10.7,below Mara's slope
P08261,C05,secondary main sewer,lateral,200,176.1,0.5,0.17,0.21,1.274,3.0,below Mara's slope
P08262,C01,secondary main sewer,lateral,200,143.8,0.5,0.543,0.306,0.746,10.9,below Mara's slope
P08263,C01,secondary main sewer,lateral,200,128.9,0.5,0.708,0.332,0.66,16.7,below Mara's slope
P08264,C01,secondary main sewer,lateral,200,154.4,0.5,0.979,0.368,0.568,27.3,below Mara's slope
P08265,C01,secondary main sewer,lateral,200,39.8,0.5,0.9,0.358,0.591,24.2,below Mara's slope
P08266,C21,secondary header,sub main,200,106.6,0.5,1.174,0.389,0.523,33.4,below Mara's slope
P08267,C21,secondary main sewer,lateral,200,121.5,0.5,0.552,0.307,0.74,10.0,below Mara's slope
P08268,C01,secondary main sewer,lateral,200,93.7,0.5,0.099,0.176,1.638,1.1,below Mara's slope
P08269,C01,secondary main sewer,lateral,200,24.8,0.9,0.028,0.14,2.913,0.1,below Mara's slope
P08270,C36,secondary header,sub main,200,151.0,0.5,0.742,0.337,0.646,17.1,below Mara's slope
P08271,C01,secondary header,sub main,200,59.3,0.5,0.099,0.176,1.633,0.7,below Mara's slope
P08272,C01,secondary header,sub main,200,59.3,0.5,0.099,0.176,1.633,0.7,below Mara's slope
P08273,C36,secondary main sewer,lateral,200,47.1,1.35,0.043,0.185,2.412,0.2,below Mara's slope
P08274,C36,secondary header,sub main,200,46.1,0.5,0.217,0.228,1.138,4.3,below Mara's slope
P08275,C126,secondary main sewer,lateral,200,32.3,0.5,0.028,0.115,2.908,0.1,below Mara's slope
P08276,C126,secondary header,sub main,200,83.2,0.5,0.098,0.175,1.641,0.8,below Mara's slope
P08277,C36,secondary main sewer,lateral,200,36.7,2.0,0.02,0.16,3.452,0.0,below Mara's slope
