fid,Name,Classes,Build,SETTLE,AREA_M2,PROPS,POP,G_NDOM,G_GOV,G_SPEC,WORKERS,W_DOM,W_NDOM,W_GOV,W_SPEC,S_DOM,S_NDOM,S_GOV,S_SPEC,QADF,FUT_CAP,FUT_PROPS
32359,NULL,Residential-Commercial,Future,AL AKHEEDAR,3723.3,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
32360,NULL,Residential,Future,HIJAR,600.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.66
32361,Commercial,Residential-Commercial,EXisting,IBRI,453.3,2,10.64,6,0,0,0.0,1.745,2.6813,0.0,0.0,1.4832,1.4479,0.0,0.0,2.9311,0,0.0
32362,Additional Account Tariff,Residential-Commercial,EXisting,IBRI,596.3,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32363,Primary Account Tariff,Residential-Commercial,EXisting,AL AKHEEDAR,930.3,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32364,NULL,Residential,Future,IBRI,1.8,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32365,Primary Account Tariff,Residential,EXisting,IBRI,2272.2,5,26.6,0,0,0,0.0,4.3624,0.0,0.0,0.0,3.708,0.0,0.0,0.0,3.708,0,0.0
32366,NULL,Residential,Future,IBRI,1550.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32367,Primary Account Tariff,Residential,EXisting,IBRI,1567.0,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32368,Primary Account Tariff (with National Subsidy),Residential,EXisting,IBRI,1566.8,1,5.32,1,0,0,0.0,0.8725,0.4469,0.0,0.0,0.7416,0.2413,0.0,0.0,0.9829,0,0.0
32369,Primary Account Tariff,Residential,EXisting,IBRI,1450.9,2,10.64,0,0,0,0.0,1.745,0.0,0.0,0.0,1.4832,0.0,0.0,0.0,1.4832,0,0.0
32370,NULL,Residential,Future,IBRI,63.1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32371,NULL,Residential,Future,IBRI,586.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32372,NULL,Residential,Future,IBRI,1875.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32373,Primary Account Tariff,Residential,EXisting,IBRI,462.1,2,10.64,1,0,0,0.0,1.745,0.4469,0.0,0.0,1.4832,0.2413,0.0,0.0,1.7245,0,0.0
32374,Primary Account Tariff,Residential,EXisting,IBRI,1630.8,2,10.64,0,0,0,0.0,1.745,0.0,0.0,0.0,1.4832,0.0,0.0,0.0,1.4832,0,0.0
32375,Government,Agricultural,EXisting,IBRI,1009.2,0,0.0,2,2,0,0.0,0.0,0.8938,5.8567,0.0,0.0,0.4826,3.1626,0.0,3.6453,0,0.0
32376,Commercial,Residential,EXisting,IBRI,625.7,0,0.0,1,0,0,0.0,0.0,0.4469,0.0,0.0,0.0,0.2413,0.0,0.0,0.2413,0,0.0
