fid,Name,SETTLE,Buiding_St,Classes,DERIVED,CLASS2,GREEN,VEGFRAC,HIGH,G_DOM,G_NDOM,G_GOV,G_SPEC,G_AGR
135,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.201,0,0,0,0,0,0
136,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.417,0,0,0,0,0,0
137,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.201,0,0,0,0,0,0
138,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.443,0,0,0,0,0,0
139,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.235,0,0,0,0,0,0
140,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.091,0,0,0,0,0,0
141,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.219,0,0,0,0,0,0
142,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.272,0,0,0,0,0,0
143,Primary Account Tariff (with National Subsidy),AT TAYYIB,EXisting,Residential,Residential,Residential,0,0.127,0,1,0,0,0,0
144,,AT TAYYIB,Future,Residential-Commercial,Unmetered,Unmetered,0,0.072,0,0,0,0,0,0
145,,AT TAYYIB,Future,Residential-Commercial,Unmetered,Unmetered,0,0.372,0,0,0,0,0,0
146,,AT TAYYIB,Future,Residential-Commercial,Unmetered,Unmetered,0,0.023,0,0,0,0,0,0
147,,AT TAYYIB,Future,Residential-Commercial,Unmetered,Unmetered,0,0.185,0,0,0,0,0,0
148,Additional Account Tariff,AT TAYYIB,EXisting,Residential,Residential,Residential,0,,0,1,0,0,0,0
149,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.669,0,0,0,0,0,0
150,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.658,0,0,0,0,0,0
151,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.854,0,0,0,0,0,0
152,,AT TAYYIB,Future,Residential-Commercial,Unmetered,Unmetered,0,0.379,0,0,0,0,0,0
153,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
154,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
155,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
156,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
157,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.104,0,0,0,0,0,0
158,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.054,0,0,0,0,0,0
159,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
160,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.008,0,0,0,0,0,0
161,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
162,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
163,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.054,0,0,0,0,0,0
164,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.151,0,0,0,0,0,0
165,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
166,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.005,0,0,0,0,0,0
167,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.335,0,0,0,0,0,0
168,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.07,0,0,0,0,0,0
169,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
170,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
171,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.036,0,0,0,0,0,0
172,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.006,0,0,0,0,0,0
173,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.231,0,0,0,0,0,0
