CH_M,GROUND_M
6210.0,331.51
6220.0,331.44
6230.0,331.45
6240.0,331.37
6250.0,331.37
6260.0,331.27
6270.0,331.27
6280.0,331.29
6290.0,331.26
6300.0,331.27
6310.0,331.25
6320.0,331.26
6330.0,331.31
6340.0,331.24
6350.0,331.23
6360.0,331.21
6370.0,331.25
6380.0,331.39
6390.0,331.41
6400.0,331.43
6410.0,331.36
6420.0,331.44
6430.0,331.47
6440.0,331.49
6450.0,331.49
6460.0,331.47
6470.0,331.43
6480.0,331.38
6490.0,331.32
6500.0,331.33
6510.0,331.31
6520.0,331.31
6530.0,331.22
6540.0,331.16
6550.0,331.05
6560.0,331.05
6570.0,331.0
6580.0,330.95
6590.0,330.89
6600.0,330.78
6610.0,330.72
6620.0,330.69
6630.0,330.65
6640.0,330.74
6650.0,330.72
6660.0,330.66
6670.0,330.57
6680.0,330.51
6690.0,330.4
6700.0,330.35
6710.0,330.29
6720.0,330.26
6730.0,330.26
6740.0,330.25
6750.0,330.2
6760.0,330.15
6770.0,330.07
6780.0,330.02
6790.0,329.95
6800.0,329.87
6810.0,329.79
6820.0,329.82
6830.0,329.73
6840.0,329.74
6850.0,329.72
6860.0,329.76
6870.0,329.8
6880.0,329.7
6890.0,329.64
6900.0,329.61
6910.0,329.59
6920.0,329.57
6930.0,329.56
6940.0,329.52
6950.0,329.5
6960.0,329.46
6970.0,329.4
6980.0,329.39
6990.0,329.27
7000.0,329.24
7010.0,329.19
7020.0,329.11
7030.0,329.04
7040.0,328.88
7050.0,328.68
7060.0,328.55
7070.0,328.51
7080.0,328.46
7090.0,328.46
7100.0,328.38
7110.0,328.33
7120.0,328.24
7130.0,328.14
7140.0,328.12
7150.0,328.05
7160.0,328.06
7170.0,328.05
7180.0,327.91
7190.0,328.05
7200.0,328.15
7210.0,328.21
7220.0,328.03
7230.0,327.84
7240.0,327.79
7250.0,327.89
7260.0,327.88
7270.0,327.93
7280.0,327.89
7290.0,327.84
7300.0,327.92
7310.0,327.88
7320.0,327.89
7330.0,327.92
7340.0,327.98
7350.0,327.87
7360.0,327.95
7370.0,327.89
7380.0,327.97
7390.0,328.01
7400.0,328.09
7410.0,328.14
7420.0,328.28
7430.0,328.37
7440.0,328.43
7450.0,328.43
7460.0,328.48
7470.0,328.43
7480.0,328.42
7490.0,328.39
7500.0,328.39
7510.0,328.39
7520.0,328.38
7530.0,328.3
7540.0,328.19
7550.0,328.12
7560.0,327.96
7570.0,327.85
7580.0,327.86
7590.0,327.78
7600.0,327.83
7610.0,327.83
7620.0,327.82
7630.0,327.87
7640.0,327.91
7650.0,328.02
7660.0,328.07
7670.0,328.12
7680.0,328.26
7690.0,328.42
7700.0,328.64
7710.0,328.84
7720.0,329.08
7730.0,329.28
7740.0,329.47
7750.0,329.84
7760.0,330.35
7770.0,330.95
7780.0,331.6
7790.0,331.71
7800.0,332.07
7810.0,333.07
7820.0,333.82
7830.0,334.4
7840.0,334.39
7850.0,333.49
7860.0,332.16
7870.0,331.35
7880.0,330.71
7890.0,330.6
7900.0,330.15
7910.0,329.81
7920.0,329.44
7930.0,329.12
7940.0,328.93
7950.0,328.76
7960.0,328.55
7970.0,328.43
7980.0,328.35
7990.0,328.36
8000.0,328.25
8010.0,328.24
8020.0,328.32
8030.0,328.36
8040.0,328.39
8050.0,328.29
8060.0,328.18
8070.0,328.25
8080.0,328.08
8090.0,328.28
8100.0,328.19
8110.0,328.1
8120.0,328.09
8130.0,328.18
8140.0,328.11
8150.0,328.14
8160.0,328.21
8170.0,328.31
8180.0,328.56
8190.0,328.65
8200.0,328.96
8210.0,329.11
8220.0,329.2
8230.0,329.42
8240.0,329.38
8250.0,329.3
8260.0,329.06
8270.0,329.06
8280.0,328.98
8290.0,329.07
8300.0,329.13
8310.0,328.99
8320.0,328.53
8330.0,327.9
8340.0,327.54
8350.0,327.44
8360.0,327.55
8370.0,327.68
