SID,village,plots,props,people,q,pipe_km_exclusive,m_per_property,m_per_m3d,km_to_core,km_to_built_net,G201_remote,pkg_eligible,TRANCHE,SOLUTION
98,-,12,9.81,44.05,11.24,1.5,152.9,133.5,0.62,4.21,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
113,-,5,5.9,23.24,8.34,0.92,156.0,110.4,0.08,1.53,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
82,-,1,1.0,5.32,0.74,0.16,160.0,215.7,2.44,4.77,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
34,-,3,3.0,15.96,2.22,0.48,160.0,215.7,2.08,4.1,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
26,HAI AL SAADAH -S2,94,72.44,108.44,141.84,11.81,163.0,83.3,4.58,13.09,True,True,3 - do not sewer,"package plant 50-5,000 pe (G201 p83, G203 p96)"
110,-,6,6.37,28.56,4.54,1.09,171.2,239.9,0.03,0.27,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
159,AL WAHRAH,2,3.99,7.75,6.74,0.69,173.1,102.4,7.9,18.69,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
83,-,1,1.0,5.32,0.74,0.19,190.0,256.2,0.68,2.24,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
93,-,1,1.0,5.32,0.74,0.22,220.0,296.7,0.01,1.73,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
14,-,4,6.43,10.64,3.98,1.68,261.1,421.9,1.45,2.95,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
173,-,9,2.46,13.07,1.82,0.69,280.9,378.8,1.55,23.69,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
55,-,1,1.0,5.32,0.74,0.3,300.0,404.5,0.54,3.04,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
134,-,2,2.91,15.49,2.16,1.01,346.8,467.7,6.52,14.97,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
38,-,2,2.0,10.64,1.48,0.71,355.0,478.7,1.51,3.77,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
25,HAI AL SAADAH -S2,1,1.53,0.0,5.1,0.57,372.5,111.8,3.91,11.09,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
33,-,1,1.0,5.32,0.74,0.39,390.0,525.9,2.46,4.35,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
56,-,2,2.0,10.64,1.48,0.92,460.0,620.3,0.3,2.89,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
80,-,1,1.0,5.32,0.74,0.56,560.0,755.1,0.68,2.46,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
158,-,1,1.46,7.75,1.08,0.82,563.2,759.4,8.16,18.95,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
20,-,1,1.46,7.75,1.08,0.91,625.0,842.8,0.44,5.31,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
8,ALSHARYAH,10,7.28,38.73,5.4,6.41,880.5,1187.3,2.71,6.08,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
131,-,1,1.53,0.0,5.1,1.66,1085.0,325.7,0.42,8.7,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
