node,depth,recover_m,best_depth,q
10959,13.79591279544212,141.42160677232712,1.6,171.62295848570972
11127,12.208368000718053,188.45240190464304,1.6,218.45498586323657
735,13.073528430011379,838.4889542802614,1.6,279.26190951847315
9210,12.520178870479185,86.32046614676976,1.6,72.345343616
9243,12.04759456264668,69.30065142505357,1.6,44.24541655538996
9163,12.503659866854093,194.7532452295794,1.6,236.01943037325304
22202,12.343708876927167,3.999999999803737,1.6,13.85686714180105
2254,12.53973272965004,178.9200008868009,1.6,227.41003101620373
57987,12.592668654536567,1704.1346234376422,1.6,193.49998829351543
8475,12.011368517670576,24.481051214172876,1.6,275.7460503981696
57359,12.56386803709637,237.81294165497147,1.65,417.2505409697738
8100,13.187742154245143,62.951982111158586,1.6,17.20451452792647
18377,12.250278460675815,33.369807984686666,1.1735269443442462,1424.4206204985715
7877,12.460340540599475,61.84885034248919,1.6,20.51984578894632
8601,12.173703782355176,441.29392094945024,1.715,843.3293628983206
7864,18.97184852981087,149.39681162015964,1.8,1290.9917462496041
17583,12.126905336569848,31.680947246850714,1.6,62.728218702443634
7487,12.65553729494576,454.9189101706858,1.6,282.90468801447315
12831,13.21883598660446,7.088396681766567,1.65,466.0336137259869
7377,13.394292875302881,364.41724800572416,1.8,1310.2021218284444
7246,12.211769884223372,2824.2133594677625,1.6,93.56127843906422
7275,14.77511342819821,115.30408216504617,1.6,93.56127843906422
7167,12.39858095304453,59.17492223404858,1.6,208.31715127553895
7070,12.635957567386924,46.352500386925556,1.6,214.31713413160816
8327,12.040428552474054,184.4907694694925,1.6,125.80604452489482
6322,12.566499449609182,134.07573426678158,1.6,13.520914954176943
6642,13.51697251797873,159.3259597622741,0.9410272834338116,75.47622122438625
15391,12.743681542969796,93.7908777776029,1.65,516.855002769665
5601,20.52170508187271,417.43690187549697,1.65,724.9838739666112
8543,13.042732123971291,1256.5583054854542,1.2182365361197185,17720.729035474567
5105,12.126090587311467,59.85868979086626,0.7643103903350834,368.2079731032155
5443,12.239432607630704,149.93845835711033,1.6,161.89476322888095
5001,12.543953133169168,40.31777981507141,0.9005926993759203,61.732169662388
4508,12.124305806913014,75.22747579707585,1.6,347.5391589395173
8145,12.036203458970306,115.60604565792434,1.6,286.24318230020873
