NODE,X,Y,GROUND,DEPTH_M,LIFT_M,PLOTS_UP,QADF_M3D,QPK_LS,P_KW,EXC_M,EXC_REACHES,STATUS,MAXDEPTH_NOPS,GROUND_RECOV_M,GROUND_FULL_M,DM_M2,DIG_B1,DIG_B15,DIG_B2,PS_CAPEX,PS_OPEX_YR,PS_KWH_YR,PS_LCC,PS_LCC_NOSTAFF,ELIMINABLE,WIN_STAFFED_B1.0,WIN_STAFFED_B1.5,WIN_STAFFED_B2.0,WIN_UNSTAFFED_B1.0,WIN_UNSTAFFED_B1.5,WIN_UNSTAFFED_B2.0
18545,474304.66213750053,2572209.200389102,492.94,12.727,11.127,199,144.39,5.597,0.611,684.1,2,REBREACH,12.73,548.7,,6790.0,244440.0,304635.0,400930.0,24248.0,12267.0,2458.0,197144.0,28017.0,0,1,1,1,1,1,1
13343,444469.9117408549,2559672.705876188,327.18,14.97,13.37,53,48.23,1.992,0.261,505.9,1,REBREACH,20.63,,,6764.5,243523.0,369546.0,604490.0,15418.0,12158.0,987.0,186779.0,17652.0,0,1,1,1,1,1,1
21378,469478.1170991566,2564248.040277295,417.06,14.395,12.795,44,36.53,1.509,0.189,575.8,1,REBREACH,18.74,,,6762.7,243457.0,359829.0,570725.0,12989.0,12131.0,715.0,183965.0,14838.0,0,1,1,1,1,1,1
15,447424.2222644796,2558681.299532391,318.05,12.275,10.675,94,89.57,3.679,0.385,612.8,1,REBREACH,14.9,612.8,,6541.4,235489.0,314459.0,444102.0,18964.0,12200.0,1463.0,190909.0,21782.0,0,1,1,1,1,1,1
41,445184.8894299174,2559857.614312346,324.66,17.205,15.605,137,184.41,6.94,1.062,417.6,1,REBREACH,25.34,,,6517.4,234628.0,386834.0,697455.0,32563.0,12381.0,4404.0,207062.0,37935.0,0,1,1,1,1,1,1
2933,450278.5330031363,2567506.825662057,354.07,12.003,10.403,36974,42753.88,832.453,84.954,1208.2,8,CONVERGED,12.0,168.4,,6438.0,231767.0,279448.0,346826.0,336332.0,28639.0,680576.0,739962.0,570834.0,1,0,0,0,0,0,0
21418,469419.7222139025,2564952.8292961717,414.74,12.468,10.868,144,132.78,5.2,0.554,589.4,1,REBREACH,18.18,,,6405.4,230595.0,332359.0,513513.0,23024.0,12251.0,2208.0,195694.0,26567.0,0,1,1,1,1,1,1
18919,464017.83701992314,2576436.2878823914,436.23,12.293,10.693,147,117.56,4.672,0.49,574.7,1,REBREACH,12.59,574.7,,6145.0,221222.0,275746.0,363842.0,21560.0,12233.0,1924.0,193964.0,24837.0,0,1,1,1,1,1,1
19391,458175.6432001358,2567544.0351695158,373.75,12.314,10.714,432,446.31,15.093,1.586,568.9,1,REBREACH,20.34,,,6027.3,216984.0,326130.0,532695.0,40318.0,12509.0,7317.0,216622.0,47495.0,0,1,1,1,1,1,1
18925,462793.9985200707,2576022.425178716,429.2,14.506,12.906,5761,5940.42,146.865,18.595,710.6,1,REBREACH,14.83,,,5657.2,203658.0,281690.0,417968.0,149681.0,15694.0,117320.0,370864.0,201737.0,0,1,1,1,1,1,1
57325,442578.78725777165,2568782.363606158,333.73,12.343,10.743,276,685.33,22.003,2.319,481.2,1,REBREACH,15.11,,,5169.6,186105.0,249861.0,355006.0,49358.0,12670.0,11266.0,227922.0,58795.0,0,1,1,1,1,1,1
7487,439140.7846936702,2572245.583398606,336.53,12.656,11.056,271,285.4,10.188,1.105,454.9,1,REBREACH,17.72,,,5029.4,181057.0,258506.0,394533.0,33250.0,12396.0,4828.0,207956.0,38829.0,0,1,1,1,1,1,1
20379,438698.19349119347,2568287.986195203,322.99,14.731,13.131,0,1.45,0.06,0.05,499.8,1,REBREACH,16.46,,,4871.3,175366.0,252143.0,388486.0,6388.0,12058.0,29.0,176334.0,7207.0,0,1,1,1,1,1,1
22339,457700.5999931048,2567919.959048684,375.01,17.174,15.574,567,584.12,19.12,2.921,313.2,1,REBREACH,22.18,,,4748.4,170944.0,268613.0,456595.0,55821.0,12781.0,13920.0,235953.0,66826.0,0,1,1,1,1,1,1
3183,444834.5320493912,2567741.610734838,336.15,14.889,13.289,765,1924.25,54.525,7.108,356.9,1,REBREACH,17.22,,,4742.6,170732.0,240968.0,363183.0,89661.0,13590.0,39128.0,281191.0,112064.0,0,1,1,1,1,1,1
8055,457581.9726357283,2576920.815777298,411.9,12.34,10.74,448,496.18,16.565,1.745,430.6,1,REBREACH,14.64,,,4624.5,166481.0,220733.0,309381.0,42423.0,12545.0,8154.0,219230.0,50102.0,0,1,1,1,1,1,1
1741,441418.2050843001,2568733.3092765803,331.01,57.093,55.493,11,14.6,0.603,0.328,80.3,1,REBREACH,58.28,,,4447.9,160125.0,375765.0,1027606.0,17412.0,12182.0,1240.0,189098.0,19970.0,0,1,1,1,1,1,1
5443,449075.1823109407,2569179.04206753,360.2,12.239,10.639,135,163.3,6.237,0.651,464.1,2,REBREACH,12.37,149.9,,4311.5,155214.0,191188.0,247583.0,25081.0,12279.0,2659.0,198139.0,29012.0,0,1,1,1,1,1,1
191,446978.7655208381,2562531.213024779,329.81,12.103,10.503,40,39.67,1.638,0.169,404.5,1,REBREACH,15.01,,,4248.6,152951.0,204807.0,290071.0,12217.0,12123.0,638.0,183074.0,13946.0,0,1,1,1,1,1,1
18687,462911.89918428846,2577362.500199983,429.1,14.088,12.488,1410,1587.51,46.043,5.641,339.6,1,REBREACH,15.61,,,4241.6,152699.0,207174.0,299157.0,79267.0,13320.0,30337.0,267001.0,97873.0,0,1,1,1,1,1,1
23369,461677.17240231857,2576658.9140876383,425.95,17.969,16.369,119,86.38,3.563,0.572,257.1,1,REBREACH,19.8,,,4209.0,151523.0,225674.0,362999.0,23415.0,12254.0,2164.0,196122.0,26994.0,0,1,1,1,1,1,1
18692,463167.8305162238,2578196.710899893,431.42,12.765,11.165,505,546.85,18.043,1.976,374.2,1,REBREACH,14.1,,,4177.9,150406.0,196259.0,271027.0,45328.0,12595.0,9343.0,222838.0,53711.0,0,1,1,1,1,1,1
8601,449674.4260830781,2573573.331900645,378.76,12.174,10.574,706,859.82,26.858,2.786,441.3,1,REBREACH,15.34,,,4159.9,149757.0,205377.0,298895.0,54429.0,12768.0,13912.0,234382.0,65255.0,0,1,1,1,1,1,1
7377,454033.5919089858,2571668.344981199,378.07,13.394,11.794,928,1325.32,39.287,4.546,364.4,1,REBREACH,13.98,,,4121.4,148370.0,195395.0,272314.0,70654.0,13114.0,23919.0,255486.0,86358.0,0,1,1,1,1,1,1
18495,448784.91590938345,2571504.243402222,368.73,14.727,13.127,1109,1354.08,40.036,5.156,303.9,1,REBREACH,16.05,,,3989.5,143623.0,196855.0,287983.0,75560.0,13224.0,27200.0,261939.0,92811.0,0,1,1,1,1,1,1
8707,446730.9970829194,2567629.533542639,342.45,13.189,11.589,2328,3212.69,85.56,9.727,340.3,1,REBREACH,15.21,,,3944.1,141988.0,190937.0,272276.0,105975.0,14093.0,56972.0,304604.0,135477.0,0,1,1,1,1,1,1
19261,438528.2249956634,2569193.8009688165,323.44,19.143,17.543,0,2.47,0.102,0.05,213.2,1,REBREACH,20.8,,,3917.8,141041.0,209652.0,340999.0,6388.0,12059.0,66.0,176345.0,7217.0,0,1,1,1,1,1,1
3447,444874.7567096287,2567783.194796029,336.57,13.599,11.999,1925,2682.65,73.02,8.595,346.3,1,REBREACH,15.73,,,3869.8,139314.0,192962.0,283494.0,99215.0,13878.0,49257.0,294811.0,125684.0,0,1,1,1,1,1,1
18930,454516.0035088882,2565251.3915770743,365.73,22.08,20.48,26,10.79,0.446,0.09,253.9,1,REBREACH,22.08,,,3858.0,138889.0,228331.0,408406.0,8713.0,12085.0,338.0,179041.0,9914.0,0,1,1,1,1,1,1
6642,447085.2774000484,2570013.073283823,382.45,13.517,11.917,48,76.52,3.16,0.369,1189.5,10,CONVERGED,13.52,159.3,655.2,3824.5,137683.0,142935.0,158384.0,18544.0,12195.0,1395.0,190417.0,21290.0,1,0,0,0,1,1,1
4508,443613.5539068123,2568700.719397482,337.73,12.124,10.524,271,354.11,12.315,1.271,485.2,6,REBREACH,12.19,75.2,,3816.9,137410.0,174768.0,232676.0,35833.0,12437.0,5703.0,211113.0,41986.0,0,1,1,1,1,1,1
