zone,pkg,tier,pipes,chambers,len_m,median_pipe_m,props_direct,internal_junctions,head_chambers,outlets,simple_path,hull_ha,long_side_m,short_side_m,elongation,props_at_outlet,len_at_outlet_m,pipes_at_outlet,ds_zone,ds_tier,mh_lo,mh_hi,mh_span,has_levels,dia_max,mh_contiguous,chain_to_main
5A-1-A57,5A-1,lateral,1,1,21.2,21.2,1,0,1,1,1,0.0,,,,8,99.8,4,5A-1-A60,lateral,,,,0,,0,21
5A-1-A58,5A-1,lateral,1,1,24.3,24.3,1,0,1,1,1,0.0,,,,5,45.0,2,5A-1-A57,lateral,,,,0,,0,22
5A-1-A59,5A-1,lateral,1,1,33.6,33.6,2,0,1,1,1,0.0,,,,2,33.6,1,5A-1-A57,lateral,,,,0,,0,22
5A-1-A6,5A-1,lateral,2,2,33.5,16.7,35,0,1,1,1,0.0,33.5,0.1,,35,33.5,2,5A-1-A5,lateral,1.0,2.0,2.0,0,,1,6
5A-1-A60,5A-1,lateral,1,1,42.5,42.5,0,0,1,1,1,0.0,,,,8,142.2,5,5A-1-A49,lateral,,,,0,,0,20
5A-1-A61,5A-1,lateral,1,1,20.7,20.7,4,0,1,1,1,0.0,,,,4,20.7,1,5A-1-A58,lateral,,,,0,,0,23
5A-1-A62,5A-1,lateral,3,3,106.6,38.6,5,0,1,1,1,0.068,102.4,12.9,7.95,35,609.4,22,5A-1-A39,lateral,1.0,2.0,2.0,0,,0,17
5A-1-A63,5A-1,lateral,3,3,59.9,21.9,2,0,1,1,1,0.035,47.0,15.0,3.14,2,59.9,3,5A-1-A62,lateral,1.0,2.0,2.0,0,,0,18
5A-1-A64,5A-1,lateral,2,2,69.0,34.5,3,0,1,1,1,0.0,69.0,0.0,,28,442.9,16,5A-1-A62,lateral,1.0,1.0,1.0,0,,0,18
5A-1-A65,5A-1,lateral,1,1,23.0,23.0,2,0,1,1,1,0.0,,,,2,23.0,1,5A-1-A64,lateral,,,,0,,0,19
5A-1-A66,5A-1,lateral,13,13,350.9,27.7,23,0,1,1,1,0.963,190.8,71.6,2.66,23,350.9,13,5A-1-A64,lateral,1.0,10.0,10.0,0,,0,19
5A-1-A67,5A-1,lateral,3,3,101.5,33.8,0,0,1,1,1,0.068,96.9,14.0,6.93,108,3674.8,118,5A-1-A35,lateral,1.0,2.0,2.0,0,,0,14
5A-1-A68,5A-1,lateral,2,2,74.0,37.0,3,0,1,1,1,0.015,73.6,4.0,18.62,3,74.0,2,5A-1-A67,lateral,1.0,1.0,1.0,0,,0,15
5A-1-A69,5A-1,lateral,3,3,96.9,30.0,0,0,1,1,1,0.0,96.9,0.0,,105,3499.3,113,5A-1-A67,lateral,1.0,2.0,2.0,0,,0,15
5A-1-A7,5A-1,lateral,2,2,69.8,34.9,1,0,1,1,1,0.006,69.7,1.8,38.98,385,7831.3,266,5A-1-A5,lateral,1.0,1.0,1.0,0,,0,6
5A-1-A70,5A-1,lateral,2,2,64.9,32.5,9,0,1,1,1,0.012,64.5,3.8,17.1,9,64.9,2,5A-1-A69,lateral,1.0,1.0,1.0,0,,0,16
5A-1-A71,5A-1,lateral,3,3,78.2,28.0,0,0,1,1,1,0.007,78.1,1.7,45.22,96,3337.5,108,5A-1-A69,lateral,1.0,2.0,2.0,0,,0,16
5A-1-A72,5A-1,lateral,3,3,63.8,17.8,5,0,1,1,1,0.041,49.9,16.3,3.07,18,241.3,9,5A-1-A71,lateral,1.0,2.0,2.0,0,,0,17
5A-1-A73,5A-1,lateral,2,2,80.0,40.0,5,0,1,1,1,0.0,80.0,0.0,,5,80.0,2,5A-1-A72,lateral,1.0,1.0,1.0,0,,0,18
5A-1-A74,5A-1,lateral,4,4,97.5,24.4,8,0,1,1,1,0.119,69.8,34.0,2.06,8,97.5,4,5A-1-A72,lateral,1.0,3.0,3.0,0,,0,18
5A-1-A75,5A-1,lateral,3,3,106.2,35.1,0,0,1,1,1,0.0,106.2,0.0,,78,3018.0,96,5A-1-A71,lateral,1.0,2.0,2.0,0,,0,17
5A-1-A76,5A-1,lateral,6,6,189.5,32.4,12,0,1,1,1,0.457,114.2,53.6,2.13,12,189.5,6,5A-1-A75,lateral,1.0,5.0,5.0,0,,0,18
5A-1-A77,5A-1,lateral,10,10,309.8,30.0,5,0,1,1,1,0.017,309.7,0.9,,37,1259.6,40,5A-1-A89,lateral,1.0,9.0,9.0,0,,0,20
5A-1-A78,5A-1,lateral,4,4,137.3,34.9,2,0,1,1,1,0.061,134.4,8.9,15.04,24,714.8,23,5A-1-A83,lateral,1.0,3.0,3.0,0,,0,22
5A-1-A79,5A-1,lateral,8,8,255.9,35.5,13,1,2,1,0,0.496,106.8,76.4,1.4,22,473.5,15,5A-1-A78,lateral,1.0,4.0,4.0,0,,0,23
5A-1-A79.1,5A-1,lateral,3,3,100.0,35.0,7,0,1,1,1,0.017,99.8,3.4,29.41,7,100.0,3,5A-1-A79,lateral,,,,0,,0,24
5A-1-A79.B,5A-1,lateral,3,3,94.8,31.0,2,0,1,1,1,0.07,87.1,16.0,5.46,2,94.8,3,5A-1-B79.A,lateral,1.0,2.0,2.0,0,,0,25
5A-1-A8,5A-1,lateral,1,1,15.5,15.5,10,0,1,1,1,0.0,,,,10,15.5,1,5A-1-A7,lateral,,,,0,,0,7
5A-1-A80,5A-1,lateral,4,4,104.0,26.5,0,0,1,1,1,0.074,99.5,14.9,6.67,0,104.0,4,5A-1-A78,lateral,1.0,3.0,3.0,0,,0,23
5A-1-A81,5A-1,lateral,6,6,212.6,35.8,8,0,1,1,1,0.1,203.0,9.4,21.52,8,212.6,6,5A-1-A83,lateral,1.0,5.0,5.0,0,,0,22
5A-1-A83,5A-1,lateral,1,1,22.5,22.5,0,0,1,1,1,0.0,,,,32,949.9,30,5A-1-A77,lateral,,,,0,,0,21
5A-1-A89,5A-1,lateral,14,14,444.8,30.0,4,0,1,1,1,1.401,419.7,66.7,6.29,41,1704.4,54,5A-1-A90,lateral,1.0,13.0,13.0,0,,0,19
5A-1-A9,5A-1,lateral,2,2,58.9,29.5,0,0,1,1,1,0.002,58.9,0.6,,374,7746.0,263,5A-1-A7,lateral,1.0,1.0,1.0,0,,0,7
5A-1-A90,5A-1,lateral,33,33,1018.0,30.0,25,2,3,1,0,1.757,564.6,35.4,15.95,66,2722.4,87,5A-1-A75,lateral,1.0,17.0,17.0,0,,0,18
5A-1-B100,5A-1,lateral,1,1,24.3,24.3,22,0,1,1,1,0.0,,,,22,24.3,1,5A-1-B98,lateral,,,,0,,0,24
5A-1-B101,5A-1,lateral,6,6,144.6,25.6,40,1,2,1,0,0.259,83.6,38.5,2.17,40,144.6,6,5A-1-B97,lateral,1.0,4.0,4.0,0,,0,23
5A-1-B102,5A-1,lateral,1,1,23.5,23.5,0,0,1,1,1,0.0,,,,266,1812.3,68,5A-1-B104,lateral,,,,0,,0,20
5A-1-B103,5A-1,lateral,3,3,78.9,23.8,6,0,1,1,1,0.003,78.8,0.8,,6,78.9,3,5A-1-B102,lateral,1.0,2.0,2.0,0,,0,21
5A-1-B104,5A-1,lateral,1,1,32.0,32.0,0,0,1,1,1,0.0,,,,560,5693.8,206,5A-1-B105,lateral,,,,0,,0,19
5A-1-B105,5A-1,lateral,3,3,107.6,34.8,0,0,1,1,1,0.016,107.4,3.1,34.99,575,5933.1,214,5A-1-B106,lateral,1.0,2.0,2.0,0,,0,18
5A-1-B106,5A-1,lateral,4,4,124.4,32.6,9,0,2,2,0,0.49,187.0,36.9,5.07,577,6034.2,217,5A-1-B107,lateral,1.0,1.0,1.0,0,,0,17
5A-1-B106.A,5A-1,lateral,3,3,88.5,31.6,8,0,1,1,1,0.083,72.0,18.4,3.93,15,131.6,5,5A-1-B105,lateral,1.0,2.0,2.0,0,,0,19
5A-1-B106A,5A-1,lateral,1,1,19.9,19.9,0,0,1,1,1,0.0,,,,7,43.1,2,5A-1-B106.A,lateral,,,,0,,0,20
5A-1-B107,5A-1,lateral,3,3,93.7,26.1,0,0,1,1,1,0.09,82.8,21.7,3.81,615,6251.6,223,5A-1-B109,lateral,1.0,2.0,2.0,0,,0,16
5A-1-B108,5A-1,lateral,3,3,123.7,38.0,38,0,1,1,1,0.002,123.7,0.2,,38,123.7,3,5A-1-B107,lateral,1.0,3.0,3.0,0,,1,17
5A-1-B109,5A-1,lateral,2,2,71.9,36.0,0,0,1,1,1,0.033,69.4,9.5,7.32,734,7887.7,277,5A-1-B221,lateral,1.0,1.0,1.0,0,,0,15
5A-1-B110,5A-1,lateral,1,1,22.5,22.5,0,0,1,1,1,0.0,,,,74,1246.0,42,5A-1-B127,lateral,,,,0,,0,17
5A-1-B111,5A-1,lateral,3,3,105.0,34.9,12,0,1,1,1,0.008,105.0,1.2,87.82,22,244.9,8,5A-1-B110,lateral,1.0,2.0,2.0,0,,0,18
5A-1-B112,5A-1,lateral,1,1,35.2,35.2,2,0,1,1,1,0.0,,,,5,85.3,3,5A-1-B111,lateral,,,,0,,0,19
5A-1-B113,5A-1,lateral,1,1,30.0,30.0,2,0,1,1,1,0.0,,,,2,30.0,1,5A-1-B112,lateral,,,,0,,0,20
5A-1-B114,5A-1,lateral,1,1,20.1,20.1,1,0,1,1,1,0.0,,,,1,20.1,1,5A-1-B112,lateral,,,,0,,0,20
