ZONE2,plots,landuses,pkg,len_m,chambers,props_direct
5A-1-B52,1,0,5A-1,22.5,1,1
5A-1-B53,2,0,5A-1,25.4,1,1
5A-1-B55,1,1,5A-1,63.9,3,6
5A-1-B56,1,0,5A-1,31.9,1,0
5A-1-B58,4,0,5A-1,74.3,2,9
5A-1-B59,23,1,5A-1,290.2,12,35
5A-1-B60,1,0,5A-1,90.8,3,5
5A-1-B61,1,0,5A-1,23.4,1,0
5A-1-B61.A,7,1,5A-1,122.9,5,6
5A-1-B62,2,0,5A-1,53.3,2,1
5A-1-B63,15,1,5A-1,192.4,6,12
5A-1-B64,1,0,5A-1,31.3,1,3
5A-1-B65,3,2,5A-1,55.3,2,5
5A-1-B66,4,1,5A-1,72.0,3,4
5A-1-B67,7,0,5A-1,92.0,4,9
5A-1-B68,10,0,5A-1,118.4,5,7
5A-1-B69,6,0,5A-1,269.5,10,8
5A-1-B71,4,0,5A-1,19.7,1,3
5A-1-B72,5,0,5A-1,136.0,6,7
5A-1-B73,2,1,5A-1,169.6,5,10
5A-1-B74,15,0,5A-1,205.4,7,36
5A-1-B75,1,0,5A-1,22.7,1,0
5A-1-B76,3,0,5A-1,82.4,3,2
5A-1-B77,3,1,5A-1,149.8,4,3
5A-1-B78,1,0,5A-1,52.3,2,1
5A-1-B79,30,0,5A-1,224.3,7,13
5A-1-B80,3,0,5A-1,60.9,2,0
5A-1-B81,21,1,5A-1,123.0,4,14
5A-1-B82,3,0,5A-1,38.0,1,4
5A-1-B83,9,0,5A-1,342.5,10,7
5A-1-B84,1,0,5A-1,25.8,1,1
5A-1-B85,2,0,5A-1,25.0,1,2
5A-1-B86,11,0,5A-1,227.6,8,17
5A-1-B87,7,1,5A-1,169.7,6,6
5A-1-B88,7,1,5A-1,194.5,7,9
5A-1-B89,3,0,5A-1,71.4,3,14
5A-1-B90,5,1,5A-1,96.7,3,2
5A-1-B91,23,2,5A-1,297.0,10,99
5A-1-B92.A,1,0,5A-1,42.8,2,0
5A-1-B92.B,7,0,5A-1,75.1,3,37
5A-1-B93,3,0,5A-1,78.0,3,6
5A-1-B94,9,0,5A-1,144.9,4,9
5A-1-B95,6,0,5A-1,66.7,3,3
5A-1-B96,2,1,5A-1,54.9,2,0
5A-1-B97,10,0,5A-1,120.3,4,5
5A-1-B98,5,1,5A-1,117.3,6,7
5A-1-B99,4,1,5A-1,39.1,1,3
5A-2-19,6,1,5A-2,98.3,4,3
5A-2-20,13,2,5A-2,232.2,8,3
5A-2-21,12,3,5A-2,264.6,9,4
5A-2-22,7,1,5A-2,389.3,15,2
5A-2-23,12,0,5A-2,197.5,7,6
5A-2-24,13,1,5A-2,379.0,14,2
5A-2-25,7,1,5A-2,366.5,13,2
5A-2-30,20,1,5A-2,227.7,6,11
5A-2-31,5,1,5A-2,332.9,13,4
5A-2-32,23,1,5A-2,176.7,6,8
5A-2-33,6,1,5A-2,138.4,4,4
5A-2-35,7,0,5A-2,166.1,5,5
5A-2-36,9,1,5A-2,163.2,5,8
5A-2-37,9,1,5A-2,205.1,7,6
5A-2-38,12,1,5A-2,353.3,11,9
5A-2-40,19,2,5A-2,148.5,5,9
5A-2-41,11,1,5A-2,71.0,2,3
5A-2-43,20,1,5A-2,200.5,7,10
5A-2-44,7,0,5A-2,225.2,8,3
5A-2-46,5,0,5A-2,120.8,4,3
5A-2-47,10,0,5A-2,69.8,3,4
5A-2-48,9,0,5A-2,190.8,8,5
5A-2-49,17,0,5A-2,250.7,9,5
5A-2-50,23,0,5A-2,223.0,9,9
5A-2-51,6,2,5A-2,100.8,4,0
5A-2-52,12,0,5A-2,104.9,4,8
5A-2-53,25,0,5A-2,248.3,8,15
5A-2-54,16,1,5A-2,402.2,14,8
5A-2-55,2,0,5A-2,49.5,2,2
5A-2-56,10,0,5A-2,77.3,3,5
5A-2-57,6,1,5A-2,71.3,3,0
5A-2-58,12,0,5A-2,186.2,7,9
5A-2-59,29,2,5A-2,265.4,8,10
5A-2-60,20,1,5A-2,291.9,10,3
5A-2-61,18,0,5A-2,243.8,8,17
5A-2-62,10,0,5A-2,99.4,5,9
5A-2-63,28,2,5A-2,916.4,27,8
5A-2-64,36,2,5A-2,642.1,24,28
5A-2-65,16,0,5A-2,231.4,8,9
5A-2-66,1,0,5A-2,96.2,3,2
5A-2-67,2,0,5A-2,33.1,1,0
5A-2-70,43,3,5A-2,565.1,18,29
5A-2-71,6,0,5A-2,49.6,2,4
5A-2-72,27,3,5A-2,500.0,17,11
5A-2-73,29,2,5A-2,486.9,13,31
5A-2-74,6,1,5A-2,77.5,2,2
5A-2-75,6,1,5A-2,77.9,2,3
5A-2-76,22,2,5A-2,283.5,9,12
5A-2-78,10,0,5A-2,81.0,2,20
5A-2-79,29,0,5A-2,264.6,10,14
5A-2-80,21,0,5A-2,336.3,11,10
5A-2-81,12,0,5A-2,140.8,4,3
5A-2-82,13,1,5A-2,182.5,7,3
5A-2-83,38,1,5A-2,562.1,20,21
5A-2-84,35,3,5A-2,325.5,11,2
5A-2-86,17,1,5A-2,174.6,7,6
