BR_ID,KM,PLOTS,PROPS,POP,Q_M3D,M_PER_PRP,M_PER_M3D,N_LIFT,LIFT_M,OUT_X,OUT_Y,OUT_Z,ROUTE_KM,VILLAGE
122,0.011,1,1.5,8,1.08,7.7,10.4,0,0.0,447122.0,2568719.9,345.6,16.58,-
922,0.011,0,0.0,0,0.0,11323428697.5,11323428697.5,0,0.0,453641.3,2577776.6,401.9,57.87,-
826,0.011,0,0.0,0,0.0,10773727183.8,10773727183.8,0,0.0,452623.0,2574385.6,388.5,53.43,-
537,0.011,0,0.0,0,0.0,11401754251.0,11401754251.0,0,0.0,449047.9,2573352.6,378.3,33.74,-
906,0.011,1,1.0,5,0.742,10.8,14.5,0,0.0,454620.7,2577927.4,407.0,57.21,-
1482,0.011,2,1.5,8,1.08,7.6,10.2,0,0.0,461843.3,2578528.4,426.3,80.11,AL DIREZ
907,0.011,1,1.0,5,0.742,10.8,14.5,0,0.0,454613.7,2577955.4,407.5,57.24,-
199,0.011,2,1.0,5,0.742,10.8,14.5,0,0.0,445924.6,2568446.4,344.2,19.89,HAJAR
1613,0.011,1,0.0,0,0.0,11401754251.0,11401754251.0,0,0.0,473441.4,2572507.7,487.1,89.94,BAT
117,0.011,0,0.0,0,0.0,11401754251.0,11401754251.0,0,0.0,448822.5,2570194.4,360.4,16.4,-
868,0.011,0,0.0,0,0.0,10542446911.5,10542446911.5,0,0.0,453794.9,2575707.7,396.0,55.05,-
82,0.01,0,0.0,0,0.0,9848857801.8,9848857801.8,0,0.0,448842.3,2568967.7,360.6,13.68,-
672,0.01,1,5.9,8,3.579,1.8,2.9,0,0.0,460052.1,2569263.4,385.6,42.87,-
555,0.01,0,0.0,0,0.0,9939221980.8,9939221980.8,0,0.0,449797.8,2573770.3,378.8,34.7,-
940,0.01,0,0.0,0,0.0,10000000000.0,10000000000.0,0,0.0,453668.7,2577272.4,399.2,59.67,-
227,0.01,1,2.0,11,1.483,5.1,6.9,0,0.0,450004.7,2568608.8,357.2,20.69,AL MALYNAH
637,0.01,7,9.4,11,8.44,1.0,1.2,0,0.0,454568.7,2571959.3,380.1,38.95,AL TAYYEB IND.(P.A.)
402,0.01,1,4.0,21,2.966,2.4,3.2,0,0.0,449224.5,2571049.7,366.4,29.88,-
