FEATUREID,PKG,TIER,props_up,len_up_m,qadf_m3d,pf,qpk_ls,od_built_mm,dn_our_rules,slope_built_pct,slope_req_pct,slope_ratio,dod_built,v_built_ms,surcharged,dod_limit,over_dod,under_self_cleansing,over_vmax,depth_ds_m
L012450,5A-5,lateral,7.0,38.6,6.02,3.57,0.25,160,200,0.596,0.5,1.19,0.102,0.262,0,0.65,0,1,0,1.879999999999995
L012475,5A-5,lateral,0.0,23.5,0.02,3.57,0.0,160,200,5.739,0.5,11.48,0.005,0.063,0,0.65,0,1,0,2.639999999999986
L011621,5A-5,lateral,2.0,24.4,1.73,3.57,0.07,160,200,0.575,0.5,1.15,0.058,0.171,0,0.65,0,1,0,2.539999999999964
L011622,5A-5,lateral,2.0,87.5,1.78,3.57,0.07,160,200,0.603,0.5,1.21,0.058,0.176,0,0.65,0,1,0,2.508999999999958
L012464,5A-5,lateral,0.0,25.1,0.02,3.57,0.0,160,200,0.598,0.5,1.2,0.008,0.032,0,0.65,0,1,0,1.870000000000005
L011789,5A-5,lateral,1.0,27.4,0.88,3.57,0.04,160,200,2.189,0.5,4.38,0.032,0.213,0,0.65,0,1,0,1.600000000000023
L011626,5A-5,lateral,4.0,60.1,3.47,3.57,0.14,160,200,0.599,0.5,1.2,0.079,0.219,0,0.65,0,1,0,0.409999999999968
L011995,5A-5,trunk_main,491.0,16893.5,432.7,2.93,14.69,200,200,0.209,0.5,0.42,,,1,0.65,0,0,0,2.668000000000006
L012462,5A-5,lateral,15.0,366.7,13.11,3.57,0.54,160,200,0.499,0.5,1.0,0.153,0.315,0,0.65,0,1,0,3.839999999999975
L011625,5A-5,lateral,15.0,327.2,13.08,3.57,0.54,160,200,0.498,0.5,1.0,0.153,0.314,0,0.65,0,1,0,5.272999999999968
L012458,5A-5,lateral,4.0,28.1,3.45,3.57,0.14,160,200,0.599,0.5,1.2,0.079,0.218,0,0.65,0,1,0,1.338000000000022
L011996,5A-5,trunk_main,490.0,16856.6,431.82,2.93,14.66,200,200,0.209,0.5,0.42,,,1,0.65,0,0,0,3.571000000000026
L012463,5A-5,lateral,14.0,301.5,12.21,3.57,0.5,160,200,0.497,0.5,0.99,0.148,0.307,0,0.65,0,1,0,4.714999999999975
L011997,5A-5,sub_main,472.0,12865.4,413.53,2.95,14.11,160,200,0.074,0.5,0.15,,,1,0.65,0,0,0,5.769999999999982
L012098,5A-5,sub_main,18.0,3957.2,18.27,3.57,0.75,160,200,0.321,0.5,0.64,0.2,0.298,0,0.65,0,1,0,5.769999999999982
L011646,5A-5,lateral,1.0,24.2,0.87,3.57,0.04,160,200,8.712,0.5,17.42,0.023,0.337,0,0.65,0,1,0,1.970000000000027
L012349,5A-5,lateral,10.0,171.4,8.69,3.57,0.36,160,200,0.497,0.5,0.99,0.126,0.276,0,0.65,0,1,0,1.410000000000025
L012341,5A-5,lateral,22.0,119.2,18.93,3.57,0.78,160,200,0.584,0.5,1.17,0.175,0.373,0,0.65,0,1,0,0.850000000000023
L012350,5A-5,lateral,8.0,139.3,6.95,3.57,0.29,160,200,0.517,0.5,1.03,0.112,0.261,0,0.65,0,1,0,1.029999999999973
L012345,5A-5,lateral,38.0,556.5,32.95,3.57,1.36,160,200,0.506,0.5,1.01,0.238,0.419,0,0.65,0,1,0,2.589999999999975
L012162,5A-5,lateral,15.0,95.3,12.92,3.57,0.53,160,200,0.622,0.5,1.24,0.144,0.338,0,0.65,0,1,0,1.189999999999998
L012720,5A-5,lateral,14.0,202.1,12.14,3.57,0.5,160,200,0.59,0.5,1.18,0.141,0.326,0,0.65,0,1,0,0.769999999999982
L012346,5A-5,lateral,22.0,316.8,19.07,3.57,0.79,160,200,0.486,0.5,0.97,0.184,0.35,0,0.65,0,1,0,2.0
L012342,5A-5,lateral,5.0,64.8,4.33,3.57,0.18,160,200,4.07,0.5,8.14,0.056,0.453,0,0.65,0,1,0,1.0
L012352,5A-5,lateral,13.0,171.6,11.26,3.57,0.46,160,200,0.424,0.5,0.85,0.148,0.283,0,0.65,0,1,0,0.75
L012347,5A-5,lateral,21.0,288.0,18.19,3.57,0.75,160,200,0.506,0.5,1.01,0.178,0.35,0,0.65,0,1,0,1.75
L012746,5A-5,lateral,11.0,117.0,9.51,3.57,0.39,160,200,0.507,0.5,1.01,0.131,0.286,0,0.65,0,1,0,3.28000000000003
