DEPTH_M,EXC_M,STATUS,MAXDEPTH_NOPS,recover_m,best_depth,q,diff
14.213,7.7,REBREACH,14.21,7.674239459328414,1.6,364.922858066553,0.0
14.336,63.2,REBREACH,14.89,63.23353415089528,1.6,261.0697950864436,0.0
14.38,533.9,REBREACH,19.26,533.9481790037726,1.65,718.5736745382658,0.0
14.383,207.2,REBREACH,16.69,207.1526104005353,1.6,381.784057554553,0.0
14.395,575.8,REBREACH,18.74,575.7582661458587,1.6,35.27187699923658,0.0
14.458,178.7,REBREACH,14.92,178.73271202096163,1.6,28.519277247999995,0.0
14.497,4.0,REBREACH,14.64,4.000000000053367,1.6,57.39457396644365,0.0
14.506,710.6,REBREACH,14.83,710.6174978481705,-7.780134070629515,5780.590191452319,0.0
14.511,330.2,CONVERGED,14.51,27.8930467436024,1.6,0.0,302.3
14.59,607.1,REBREACH,21.24,607.1070391056292,1.6,213.96642642306136,0.0
14.604,80.9,REBREACH,14.6,80.88654142276026,1.715,899.5274720677683,0.0
14.682,275.9,REBREACH,17.97,275.8977119410286,1.6,152.77832427456752,0.0
14.686,53.8,REBREACH,15.1,53.81512577369379,1.6,1.079781248,0.0
14.706,646.3,REBREACH,18.85,646.3431315533867,1.6,14.36446426323658,0.0
14.727,303.9,REBREACH,16.05,303.9070189322449,1.8,1330.8872462072782,0.0
14.728,657.0,REBREACH,16.45,656.9518514617423,1.6,83.07798985288727,0.0
14.731,499.8,REBREACH,16.46,499.7501930202658,1.6,0.0,0.0
14.775,115.3,REBREACH,16.33,115.30408216504615,1.6,93.56127843906422,0.0
14.84,2.7,REBREACH,14.85,2.7092518278696662,1.6,0.0,0.0
14.889,356.9,REBREACH,17.22,356.8855437609476,1.9,1856.5472397765704,0.0
14.936,32.4,REBREACH,15.15,32.41345123462104,1.65,606.3030946267403,0.0
14.97,505.9,REBREACH,20.63,505.94188953495626,1.6,38.563616,0.0
15.023,20.0,REBREACH,16.51,20.024585047674808,1.6,18.018107968,0.0
15.036,101.9,REBREACH,15.32,101.9483303556158,1.715,990.786620356396,0.0
15.037,211.7,REBREACH,17.35,211.69242681796325,1.6,2.966432,0.0
15.042,4.0,REBREACH,15.17,4.000000000116722,-53.27885756875179,0.0,0.0
15.064,76.3,REBREACH,16.21,76.28377264500259,-1.7597525288439897,258.4019467328068,0.0
15.068,86.5,REBREACH,16.38,86.50629822856487,1.6,236.3612878326501,0.0
15.103,71.4,REBREACH,15.93,71.35198739459094,1.6,59.0507959112366,0.0
15.349,227.0,REBREACH,17.43,226.99237930724917,1.6,3.9819522632365807,0.0
15.485,180.1,REBREACH,17.14,180.08220878933716,1.6,5.58810107341557,0.0
15.486,117.6,REBREACH,16.33,117.63407635158212,1.6,330.850338947849,0.0
15.69,36.1,REBREACH,15.69,36.09604730062432,1.6,4.787821248000001,0.0
15.766,222.8,REBREACH,16.76,222.84175055319187,1.6,122.8192189417896,0.0
15.831,76.8,REBREACH,20.63,76.77294736240349,1.6,2.5629972480000003,0.0
15.859,166.4,REBREACH,17.46,166.36688465897743,1.6,43.24464569599999,0.0
15.922,17.0,REBREACH,15.92,17.0431838505516,1.6,133.5036978216488,0.0
15.924,492.2,REBREACH,20.39,492.2326149203423,1.6,10.382512,0.0
16.07,123.1,REBREACH,17.01,123.1134026383211,1.6,168.02785362453668,0.0
16.171,989.4,REBREACH,16.17,989.3987231586829,1.6,327.159586309505,0.0
16.414,13.8,REBREACH,16.41,13.836162482506063,1.65,619.1408796075008,0.0
16.561,1146.0,REBREACH,27.45,1145.9957991952974,1.6,166.82678200445824,0.0
16.794,148.9,REBREACH,18.4,148.90524258333747,1.6,16.315376,0.0
16.87,779.3,REBREACH,17.55,779.2871911963705,1.6,35.90932262980105,0.0
17.008,4.0,REBREACH,17.02,4.000000000094519,1.6,8.157688000000002,0.0
