NODE_UID,NODE_KIND,TIER,GRD_M,INV_M,DEPTH_M,DROP_M,DROP_TYPE,VORTEX,MH_DIA,ARRIVING_EDGE
N0029401,junction,sub main,335.58856201171875,332.45424276970465,3.134319242014101,0.8641226005299814,backdrop,0,1.0,E0029723
N0015183,junction,lateral,355.9213562011719,353.49335170294444,2.4280044982274376,0.8626853650214343,backdrop,0,1.0,E0015237
N0000646,outfall,main,330.6973876953125,326.5305955140764,4.166792181236076,0.8622695392249966,backdrop,0,1.0,E0000602
N0000398,junction,main,374.60906982421875,370.7001052285867,3.9089645956320282,0.861348661474949,backdrop,0,1.0,E0002342
N0014744,junction,lateral,332.14239501953125,329.34806702252615,2.794327997005098,0.8611404093232409,backdrop,0,1.0,E0014833
N0041712,junction,lateral,403.2631530761719,400.5097778469287,2.7533752292431473,0.8609796159844905,backdrop,0,1.0,E0041579
N0042571,junction,lateral,425.669677734375,423.17550391163803,2.4941738227369683,0.8607273922619356,backdrop,0,1.0,E0042397
N0013599,junction,lateral,337.21124267578125,333.9828719108771,3.2283707649041276,0.8601115092070586,backdrop,0,1.0,E0013805
N0041402,junction,main,408.9910583496094,406.5841020112681,2.406956338341274,0.8552370931020619,backdrop,0,1.0,E0041287
N0048982,junction,lateral,483.0684509277344,480.64846364624333,2.4199872814910464,0.8548410705444098,backdrop,0,1.0,E0048848
N0001639,outfall,lateral,391.2116394042969,388.788415211566,2.4232241927308564,0.8540853439984062,backdrop,0,1.0,E0001483
N0044218,junction,main,425.5783996582031,422.9719763813214,2.606423276881742,0.8536578270976634,backdrop,0,1.0,E0044320
N0031955,junction,lateral,375.6008605957031,373.1957726087549,2.4050879869482173,0.8521450943472928,backdrop,0,1.0,E0032234
N0022616,junction,main,385.9424133300781,381.32565154661756,4.616761783460561,0.8518686765872872,backdrop,0,1.0,E0022761
N0049404,junction,main,499.1709289550781,496.10076806075597,3.070160894322157,0.8515414040475662,backdrop,0,1.0,E0049226
N0041692,junction,lateral,411.4065856933594,408.8917420220098,2.514843671349581,0.8513970348792554,backdrop,0,1.0,E0041567
N0005051,junction,lateral,318.76177978515625,316.3257656415697,2.436014143586533,0.8511844645172459,backdrop,0,1.0,E0005286
N0040252,junction,main,346.9522399902344,344.09568528558043,2.856554704653945,0.8506622388644587,backdrop,0,1.0,E0040139
N0016017,junction,main,323.1189270019531,320.21109745595527,2.9078295459978563,0.8503836760589252,backdrop,0,1.0,E0015918
N0018374,junction,lateral,361.36834716796875,358.9656889830426,2.4026581849261675,0.8498527681214796,backdrop,0,1.0,E0018351
N0049539,junction,lateral,507.9574890136719,504.8408785521502,3.1166104615217023,0.8487147809086082,backdrop,0,1.0,E0049316
N0046474,junction,main,437.0146484375,434.0165550043279,2.998093433172073,0.8468620193203265,backdrop,0,1.0,E0046357
N0021797,junction,sub main,363.5367431640625,360.9455292969576,2.591213867104898,0.8467046623929377,backdrop,0,1.0,E0021800
N0041822,junction,main,403.3327331542969,400.9272436023728,2.405489551924063,0.8455945540896437,backdrop,0,1.0,E0041742
N0039022,junction,main,342.5698547363281,339.95217902967033,2.617675706657792,0.8451660396622742,backdrop,0,1.0,E0038951
N0016396,junction,main,346.91253662109375,344.4028852419922,2.5096513791015695,0.8450452825173329,backdrop,0,1.0,E0016228
N0039709,junction,lateral,423.49359130859375,421.0945078038097,2.3990835047840733,0.8441654058962627,backdrop,0,1.0,E0039582
N0016996,junction,main,352.55712890625,348.25449870119985,4.30263020505015,0.843667400454251,backdrop,0,1.0,E0016909
N0020325,junction,sub main,362.2533264160156,359.7140062688001,2.5393201472155056,0.8435468438874523,backdrop,0,1.0,E0020316
N0030376,junction,main,367.9678955078125,365.3517218175271,2.616173690285393,0.8430892479078693,backdrop,0,1.0,E0030674
N0042635,junction,main,427.3002624511719,424.0713331906761,3.228929260495761,0.8428069194554269,backdrop,0,1.0,E0042448
N0018938,junction,lateral,362.7823181152344,360.290342774374,2.4919753408603924,0.8427525525069086,backdrop,0,1.0,E0018889
N0014329,junction,lateral,340.6846923828125,337.6285209534244,3.056171429388087,0.8421095361046582,backdrop,0,1.0,E0014424
N0016925,junction,main,360.42156982421875,357.97665026267657,2.4449195615421786,0.8417302678186047,backdrop,0,1.0,E0016760
N0013065,junction,main,402.4248352050781,399.86969748327,2.555137721808137,0.8416980648131585,backdrop,0,1.0,E0013261
N0043630,junction,main,430.4388427734375,427.95690640450084,2.4819363689366583,0.8411570505906525,backdrop,0,1.0,E0043547
N0040998,junction,lateral,347.2189025878906,344.7337743299446,2.4851282579460303,0.841031495191146,backdrop,0,1.0,E0040906
N0041141,junction,lateral,343.1898498535156,340.2545829490098,2.935266904505852,0.8405164138021632,backdrop,0,1.0,E0041049
N0029775,junction,lateral,369.59075927734375,366.67005957420344,2.920699703140315,0.8405103310454365,backdrop,0,1.0,E0030076
N0013961,junction,lateral,345.33685302734375,342.8157415466521,2.5211114806916726,0.8394416420634911,backdrop,0,1.0,E0014016
N0032682,junction,lateral,374.3992614746094,372.00944697067825,2.3898145039311203,0.8380588242947056,backdrop,0,1.0,E0032883
N0019925,junction,main,374.3310241699219,371.5010900026865,2.829934167235365,0.8377273697851138,backdrop,0,1.0,E0019875
N0040349,junction,lateral,400.9040832519531,398.0182319751261,2.8858512768269975,0.8376585194351946,backdrop,0,1.0,E0040255
N0012020,junction,lateral,421.8144226074219,419.3451512718529,2.469271335568976,0.8375420570991423,backdrop,0,1.0,E0012341
N0033349,junction,lateral,384.3227233886719,381.93195833048674,2.3907650581851385,0.8362328656139653,backdrop,0,1.0,E0033645
N0009654,junction,lateral,333.41192626953125,330.03363838095913,3.3782878885721175,0.8354468525102448,backdrop,0,1.0,E0009940
N0028816,junction,sub main,335.1068420410156,330.7147650882647,4.3920769527509265,0.8352675056108296,backdrop,0,1.0,E0029158
N0018789,junction,lateral,357.1397399902344,354.62190546428076,2.5178345259536172,0.8346739532919969,backdrop,0,1.0,E0018690
N0011512,junction,sub main,347.78448486328125,345.39064765180655,2.393837211474704,0.8346218997344863,backdrop,0,1.0,E0011699
N0031506,junction,lateral,376.4955749511719,373.95615661343874,2.5394183377331387,0.8341228318631693,backdrop,0,1.0,E0031811
N0031152,junction,lateral,395.8410949707031,393.3761966608981,2.4648983098050508,0.8333384709051757,backdrop,0,1.0,E0031477
N0030164,junction,main,380.339599609375,377.94144847770826,2.3981511316667365,0.8330332587028693,backdrop,0,1.0,E0030453
N0013918,junction,main,349.6964416503906,346.96073032099434,2.735711329396281,0.8323798127534019,backdrop,0,1.0,E0013971
N0014545,junction,lateral,353.0110778808594,350.61363269763245,2.397445183226921,0.8321772230916054,backdrop,0,1.0,E0014590
N0024730,junction,lateral,374.95758056640625,372.40781582598737,2.5497647404188797,0.831830911623797,backdrop,0,1.0,E0025052
N0023302,junction,lateral,380.38177490234375,377.99464501836667,2.3871298839770816,0.8314483993755744,backdrop,0,1.0,E0023487
N0028535,junction,lateral,372.0122375488281,369.6168986828166,2.395338866011514,0.8310490742762795,backdrop,0,1.0,E0028823
N0016427,junction,lateral,444.57000732421875,442.184830206005,2.3851771182137327,0.8300454810358247,backdrop,0,1.0,E0016257
N0006962,junction,main,342.6381530761719,339.34645966040364,3.2916934157682363,0.8295180121995713,backdrop,0,1.0,E0007221
N0047709,junction,lateral,477.0865478515625,474.6929122588526,2.393635592709927,0.8271033551032474,backdrop,0,1.0,E0047526
N0011533,junction,lateral,345.6984558105469,340.5769600823909,5.121495728155992,0.8265448039281864,backdrop,0,1.0,E0011750
N0024350,junction,lateral,349.26922607421875,346.1937102027661,3.0755158714526374,0.8257242103892963,backdrop,0,1.0,E0024690
N0023138,junction,sub main,379.9241638183594,371.9048758023042,8.019288016055157,0.8257158592180645,backdrop,0,1.0,E0023374
N0012327,junction,lateral,400.623291015625,397.72360342963043,2.8996875859945703,0.824667942733754,backdrop,0,1.0,E0012653
N0046994,junction,main,442.2471008300781,439.61378245715986,2.633318372918268,0.8245482364664554,backdrop,0,1.0,E0046891
N0014279,junction,lateral,345.36785888671875,342.52513048479585,2.8427284019228978,0.8244613119984479,backdrop,0,1.0,E0014404
N0034819,junction,lateral,395.10345458984375,391.6738881132582,3.429566476585535,0.8242605386963646,backdrop,0,1.0,E0035125
N0029049,junction,lateral,372.38580322265625,369.9782678360967,2.407535386559573,0.8230118136255555,backdrop,0,1.0,E0029396
N0010622,junction,sub main,437.7401123046875,435.13869271877303,2.6014195859144706,0.8225244748407476,backdrop,0,1.0,E0010836
N0043609,junction,main,437.42572021484375,433.6508092061279,3.774911008715833,0.8208293613156457,backdrop,0,1.0,E0043556
N0019584,junction,lateral,367.0142822265625,364.53536180614094,2.4789204204215594,0.8202783842837675,backdrop,0,1.0,E0019539
N0042073,junction,main,421.02093505859375,418.5810446636766,2.4398903949171427,0.8176628088294251,backdrop,0,1.0,E0041912
N0024952,junction,sub main,340.46014404296875,333.00220238914284,7.4579416538259125,0.817623469955663,backdrop,0,1.0,E0025238
N0022262,junction,main,365.21539306640625,360.2510691467414,4.964323919664878,0.8173238515117305,backdrop,0,1.0,E0022441
N0031048,junction,lateral,343.6270446777344,340.62308378370506,3.003960894029319,0.8172866421750768,backdrop,0,1.0,E0031392
N0032418,junction,lateral,385.8074645996094,383.2817479631059,2.525716636503489,0.8166017564246886,backdrop,0,1.0,E0032718
N0015772,junction,lateral,421.3332214355469,417.58811016729794,3.745111268248934,0.8164334558243809,backdrop,0,1.0,E0015724
N0016516,junction,main,441.3077697753906,437.2697852371911,4.03798453819951,0.8161543894200349,backdrop,0,1.0,E0016383
N0036692,junction,lateral,384.1073913574219,381.67621293749426,2.431178419927619,0.816023211708,backdrop,0,1.0,E0036782
N0011504,junction,lateral,345.72540283203125,342.37476923245066,3.35063359958059,0.8134731172827401,backdrop,0,1.0,E0011667
N0029013,junction,main,381.79779052734375,379.0181127793028,2.7796777480409673,0.8133260480482818,backdrop,0,1.0,E0029358
N0046537,junction,main,427.66375732421875,425.2166139511232,2.447143373095571,0.8132705508110121,backdrop,0,1.0,E0046390
N0034248,junction,lateral,340.5118713378906,337.65409600500584,2.857775332884785,0.8132528391105325,backdrop,0,1.0,E0034441
N0038908,junction,lateral,411.9659729003906,409.5962870401691,2.369685860221523,0.8129429693448174,backdrop,0,1.0,E0038834
N0005235,junction,trunk main,345.6234436035156,343.25615033015526,2.36729327336036,0.8121754091609432,backdrop,0,1.0,E0005427
N0018151,junction,trunk main,354.5125427246094,350.67808206077507,3.8344606638343066,0.8117647058823536,backdrop,0,1.0,E0018075
N0014988,junction,lateral,344.1936950683594,341.02682696345505,3.1668681049043244,0.8093101409874066,backdrop,0,1.0,E0015047
N0039295,junction,lateral,361.103759765625,358.5699718971927,2.5337878684322845,0.8072581123968803,backdrop,0,1.0,E0039199
N0027149,junction,main,380.05841064453125,375.51842955642053,4.539981088110721,0.8062172004019885,backdrop,0,1.0,E0027598
N0027465,junction,lateral,379.5798645019531,376.0649912989205,3.5148732030326073,0.8052077848448675,backdrop,0,1.0,E0027868
N0009533,junction,lateral,425.212158203125,421.74716006077733,3.4649981423476675,0.802811848673116,backdrop,0,1.0,E0009787
N0011555,junction,lateral,433.2400817871094,430.0932421342531,3.146839652856272,0.8005581446776091,backdrop,0,1.0,E0011765
N0041890,junction,main,421.08154296875,418.51033398555796,2.5712089831920366,0.7995645696128122,backdrop,0,1.0,E0041825
N0044612,junction,main,445.25836181640625,441.7306086204224,3.5277531959838484,0.7969435448471813,backdrop,0,1.0,E0044723
N0049366,junction,lateral,492.2939453125,489.6496443012806,2.6443010112193974,0.7963181554789571,backdrop,0,1.0,E0049187
N0010633,junction,lateral,429.6971435546875,427.29750992955957,2.399633625127933,0.7945306939965349,backdrop,0,1.0,E0010854
N0007439,junction,main,402.1445617675781,399.6791362505413,2.465425517036806,0.7933290789279113,backdrop,0,1.0,E0007975
N0040918,junction,lateral,417.6065673828125,415.25807794679497,2.3484894360175304,0.7931811625022647,backdrop,0,1.0,E0040811
N0026926,junction,main,376.8889465332031,374.4293021996227,2.4596443335803997,0.792328857053576,backdrop,0,1.0,E0027245
