PLOT_ID,SID,Q_AVG_M3D,N_PROP,IN_BND,SET_ID,NAME,SYSTEM,WORKS,BOTH
1104631,18,5.096377806443639,1.53,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104632,18,5.096377806443639,1.53,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104633,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104634,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104635,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104636,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104637,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104638,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104639,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104640,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104641,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104642,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104643,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104644,18,0.0,0.0,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104645,18,0.0,0.0,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104646,18,0.0,0.0,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104647,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104648,18,2.49873626323658,4.434,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104649,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104650,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104651,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104652,18,2.49873626323658,4.434,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104653,18,2.49873626323658,4.434,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104654,18,2.49873626323658,4.434,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104655,18,2.49873626323658,4.434,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104656,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104657,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104658,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104659,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104660,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104661,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104662,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104663,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104664,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104665,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104666,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104667,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104668,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104669,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104670,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104671,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104672,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104673,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104674,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104675,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104676,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104677,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104678,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104679,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104680,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104681,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104682,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104683,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104684,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104685,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104686,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104687,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104688,18,5.096377806443639,1.53,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104689,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104690,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104691,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104692,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104693,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104694,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104695,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104696,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104697,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104698,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104699,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104700,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104701,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104702,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104703,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104704,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104705,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104706,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104707,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104708,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104709,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104710,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104711,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104712,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104713,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104714,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104715,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104716,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104717,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104718,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104719,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104720,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104721,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
1104722,18,1.079781248,1.456,1,S018,AL TAYYEB (P.A.),central,central STP,0
