EDGE_UID,US_NODE,DS_NODE,TIER,LEN_M,SRC,CONFIDENCE,STAGE,QADF_M3D,N_PROP,QINF_LS,PF,PF_METH,QPK_LS,UPSTR_KM,ON_WADI_M,ON_DUAL_M,CROSS_ID,DN,MATERIAL,SLOPE_LAID,SLOPE_MIN,GRAD_BY,SIZED_BY,CLEAN_BY,TAU_PA,INV_UP,INV_DN,US_DEPTH,DS_DEPTH,COVER_US,COVER_DN,V_PK_MS,DOD_PK,RET_MIN,PAST_CAP,CAP_EXIT,CAP_LEN_M,TIE_TYPE,PACKAGE,PHASE
E0000027,N0000027,N0000028,trunk main,64.02705269499872,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.902319,1.6261,merrimack,1076.433562,1308.2782,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,315.9062802615281,315.8422532088331,13.448791759956293,13.038423060698165,12.198791759956293,11.788423060698165,1.1907586741805254,0.7453018733248191,0.8961660897839192,1,recovers_500m,129.03,none,P06,1
E0000028,N0000028,N0000029,trunk main,60.00000000002629,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.902852,1.6261,merrimack,1076.434096,1308.3423,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,315.8422532088331,315.7822532088331,13.038423060698165,12.810337123198167,11.788423060698165,11.560337123198167,1.1907587417080163,0.7453021898625156,0.8398006791586051,0,,0.0,none,P06,1
E0000029,N0000029,N0000030,trunk main,60.00000000002629,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.903352,1.6261,merrimack,1076.434596,1308.4023,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,315.7822532088331,315.7222532088331,12.810337123198167,12.568365687651294,11.560337123198167,11.318365687651294,1.1907588049357878,0.7453024862463422,0.8398006345662618,0,,0.0,none,P06,1
E0000030,N0000030,N0000031,trunk main,10.97294730494995,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.903852,1.6261,merrimack,1076.435096,1308.4623,0.0,0.0,,1200,GRP,0.4,0.075,table11,minimum,velocity,1.0,315.7222532088331,315.6783614196133,12.568365687651294,12.466078277652343,11.318365687651294,11.216078277652343,2.0687106119088163,0.46862828860965855,0.08840407838085773,0,,0.0,none,P06,1
E0000031,N0000031,N0000032,trunk main,35.210708124872035,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.903944,1.6261,merrimack,1076.435187,1308.4732,0.0,0.0,,1200,GRP,0.15,0.075,table11,dod,velocity,1.0,315.6783614196133,315.62554535742595,12.466078277652343,13.120487357417801,11.216078277652343,11.870487357417801,1.4125957072445894,0.638269004264435,0.41543743365837815,0,,0.0,none,P06,1
E0000032,N0000032,N0000033,trunk main,14.952354800218034,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.904237,1.6261,merrimack,1076.435481,1308.5084,0.0,0.0,,1200,GRP,0.3,0.075,table11,dod,velocity,1.0,315.62554535742595,315.5806882930253,13.120487357417801,13.14370745892785,11.870487357417801,11.89370745892785,1.8541689226257332,0.5104605470922461,0.13440302568768153,0,,0.0,none,P06,1
E0000033,N0000034,N0000035,trunk main,88.56622447759032,main_pipe,drafted,s5c_flows,290.8937,373.712,0.345808,3.077,merrimack,10.705685,41.4969,88.566,0.0,W11a-XG00001,200,PVC-U,0.5,0.5,table11,minimum,tractive,1.0,383.4683015362976,383.02547041390966,12.606832741046162,12.708202681793466,12.356832741046162,12.458202681793466,0.7310212608473653,0.5206228823327197,2.019235035082485,1,outfall_1000m,455.96,none,P05,1
E0000034,N0000036,N0000037,trunk main,15.000000000007306,main_pipe,drafted,s5c_flows,878.8644,981.678,0.519061,2.6917,merrimack,27.899442,62.2874,0.0,0.0,,315,HDPE,0.3,0.27,table11,dod,velocity,1.0,320.7277091596612,320.68270915966116,12.177838936041951,11.672393379401342,11.81283893604195,11.307393379401342,0.7643936932278501,0.522563886750167,0.32705659690156796,0,,0.0,none,P04,1
E0000035,N0000037,N0000038,trunk main,32.702402217887105,main_pipe,drafted,s5c_flows,878.8644,981.678,0.519186,2.6917,merrimack,27.899567,62.3024,0.0,0.0,,315,HDPE,0.3,0.27,table11,minimum,velocity,1.0,320.68270915966116,320.5846019530075,11.672393379401342,12.556023046992493,11.307393379401342,12.191023046992493,0.7643945198525569,0.5225652996260151,0.7130349875741092,1,outfall_1000m,384.75,none,P04,1
E0000036,N0000038,N0000039,trunk main,12.088387655958385,main_pipe,drafted,s5c_flows,878.8644,981.678,0.519459,2.6917,merrimack,27.899839,62.3351,0.0,0.0,,315,HDPE,0.35,0.27,table11,minimum,velocity,1.0,320.5846019530075,320.54229259621167,12.556023046992493,12.696446417460209,12.191023046992493,12.331446417460208,0.8105822715267348,0.498899729818152,0.24855358262379837,1,outfall_1000m,384.75,none,P04,1
E0000037,N0000039,N0000040,trunk main,26.559613186292545,main_pipe,drafted,s5c_flows,878.8644,981.678,0.51956,2.6917,merrimack,27.89994,62.3472,0.0,0.0,,315,HDPE,0.3,0.27,cover_max,minimum,velocity,1.0,320.54229259621167,320.4626137566528,12.696446417460209,12.654909436706589,12.331446417460208,12.289909436706589,0.7643969864761998,0.5225695156437691,0.5790972853152726,1,outfall_1000m,384.75,none,P04,1
E0000038,N0000040,N0000041,trunk main,69.99959915006941,main_pipe,drafted,s5c_flows,878.8644,981.678,0.519781,2.6917,merrimack,27.900161,62.3737,0.0,0.0,,315,HDPE,0.3,0.27,table11,minimum,velocity,1.0,320.4626137566528,320.25261495920256,12.654909436706589,12.792886749781815,12.289909436706589,12.427886749781814,0.764398447916874,0.5225720136033616,1.5262458852629186,1,outfall_1000m,384.75,none,P04,1
E0000039,N0000041,N0000042,trunk main,69.99999732812273,main_pipe,drafted,s5c_flows,878.8644,981.678,0.520364,2.6917,merrimack,27.900745,62.4437,0.0,0.0,,315,HDPE,0.3,0.27,table11,minimum,velocity,1.0,320.25261495920256,320.0426149672182,12.792886749781815,12.968920677313065,12.427886749781814,12.603920677313065,0.7644023097614925,0.5225786145368001,1.5262468561867641,1,outfall_1000m,384.75,none,P04,1
E0000040,N0000042,N0000043,trunk main,70.00000000005481,main_pipe,drafted,s5c_flows,878.8644,981.678,0.520948,2.6917,merrimack,27.901328,62.5137,0.0,0.0,,315,HDPE,0.3,0.27,table11,minimum,velocity,1.0,320.0426149672182,319.83261496721803,12.968920677313065,12.798854759344465,12.603920677313065,12.433854759344465,0.764406164903696,0.5225852041534405,1.5262392170981027,1,outfall_1000m,384.75,none,P04,1
E0000041,N0000043,N0000044,trunk main,69.99962984251232,main_pipe,drafted,s5c_flows,878.8644,981.678,0.521531,2.6917,merrimack,27.901911,62.5837,0.0,0.0,,315,HDPE,0.3,0.27,table11,minimum,velocity,1.0,319.83261496721803,319.6226160776905,12.798854759344465,12.811679576606366,12.433854759344465,12.446679576606366,0.7644100199563119,0.5225917937562656,1.526223449349713,1,outfall_1000m,384.75,none,P04,1
E0000042,N0000044,N0000045,trunk main,33.39598241792399,main_pipe,drafted,s5c_flows,878.8644,981.678,0.522114,2.6917,merrimack,27.902495,62.6537,0.0,0.0,,315,HDPE,0.3,0.27,table11,minimum,velocity,1.0,319.6226160776905,319.52242813043677,12.811679576606366,12.918978119563235,12.446679576606366,12.553978119563235,0.7644138815315515,0.5225983946481629,0.7281391931949445,1,outfall_1000m,384.75,none,P04,1
E0000043,N0000046,N0000047,trunk main,64.99999760450486,main_pipe,drafted,s5c_flows,738.8001,1095.736,0.086739,2.7489,merrimack,23.592121,10.4087,0.0,0.0,,250,PVC-U,0.4,0.375,table11,minimum,velocity,1.0,329.22012209130145,328.96012210088344,5.476105936042302,5.178671844429061,5.176105936042302,4.8786718444290615,0.8123691593103728,0.6334584696111414,1.3335480316954245,0,,0.0,none,P04,1
E0000044,N0000047,N0000048,trunk main,89.99993055310465,main_pipe,drafted,s5c_flows,738.8001,1095.736,0.08728,2.7489,merrimack,23.592663,10.4737,0.0,0.0,,250,PVC-U,0.4,0.375,table11,minimum,velocity,1.0,328.96012210088344,328.600122378671,5.178671844429061,5.778020931875858,4.8786718444290615,5.478020931875858,0.8123729459246325,0.6334684371821273,1.846441157447045,0,,0.0,none,P04,1
E0000045,N0000048,N0000049,trunk main,90.00000000015355,main_pipe,drafted,s5c_flows,738.8001,1095.736,0.08803,2.7489,merrimack,23.593413,10.5637,0.0,0.0,,250,PVC-U,0.4,0.375,table11,minimum,velocity,1.0,328.600122378671,328.2401223786704,5.778020931875858,6.373586117423372,5.478020931875858,6.073586117423372,0.8123781854421965,0.6334822300631113,1.8464306734012974,0,,0.0,none,P04,1
