Pipe,US manhole,DS manhole,US invert (m),DS invert (m),US depth (m),DS depth (m),Length (m),DN (mm),Material,Laid gradient (%),Minimum gradient (%),Gradient set by,Diameter set by,Peak factor,PF method,Qadf (m3/d),Qpeak (L/s),Velocity (m/s),d/D,Self-cleansing by,Tier,Package,Confidence
E0033741,N0033988,N0033989,390.082475,390.03968,1.792616,1.819481,8.559073,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,17.6157,0.739827,0.336869,0.132934,tractive,lateral,P428,provisional
E0033742,N0033989,N0033990,390.03968,389.63968,1.819481,1.897918,80.0,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,21.9348,0.920968,0.360629,0.147471,tractive,lateral,P428,provisional
E0033743,N0033990,N0033991,389.63968,389.23968,1.897918,1.917485,80.0,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,29.4933,1.238505,0.395099,0.169911,tractive,lateral,P428,provisional
E0033744,N0033991,N0033501,389.23968,389.151607,1.917485,2.038152,17.614666,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,33.8124,1.42024,0.411974,0.181508,tractive,lateral,P428,provisional
E0033745,N0033992,N0033518,374.605644,374.193243,5.596962,6.372614,82.480214,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,53.4849,2.247874,0.473114,0.227175,tractive,lateral,P384,provisional
E0033746,N0033993,N0033994,372.790146,372.390146,8.009048,8.355948,80.0,200,PVC-U,0.5,0.5,table11,minimum,3.5433,merrimack,90.6394,3.728302,0.548862,0.29293,tractive,main,P384,provisional
E0033747,N0033994,N0033995,372.390146,371.990146,8.355948,8.678524,80.0,200,PVC-U,0.5,0.5,table11,minimum,3.5186,merrimack,96.0383,3.922904,0.556964,0.30067,tractive,main,P384,provisional
E0033748,N0033995,N0033996,371.990146,371.590146,8.678524,9.033786,80.0,200,PVC-U,0.5,0.5,table11,minimum,3.4865,merrimack,103.5967,4.192889,0.567694,0.311158,tractive,main,P384,provisional
E0033749,N0033996,N0033518,371.590146,371.448468,9.033786,9.117389,28.335703,200,PVC-U,0.5,0.5,table11,minimum,3.4778,merrimack,105.7563,4.27006,0.57066,0.314106,tractive,main,P384,provisional
E0033750,N0033997,N0033998,384.031887,383.781887,11.195103,11.496281,50.0,200,PVC-U,0.5,0.5,table11,minimum,2.9924,merrimack,366.3269,12.800313,0.762549,0.581414,velocity,sub main,P431,drafted
E0033751,N0033998,N0033539,383.781887,383.522145,11.496281,11.708598,51.94833,200,PVC-U,0.5,0.5,table11,minimum,2.9924,merrimack,366.3269,12.80073,0.762554,0.581426,velocity,sub main,P431,drafted
E0033752,N0033999,N0034000,396.810474,396.410474,1.55,1.769977,80.0,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,0.0,0.0,0.0,0.0,tractive,lateral,P431,drafted
E0033753,N0034000,N0034001,396.410474,396.010474,1.769977,1.973413,80.0,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,0.0,0.000667,0.027077,0.006487,tractive,lateral,P431,drafted
E0033754,N0034001,N0034002,396.010474,395.610474,1.973413,1.923157,80.0,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,0.0,0.001333,0.036277,0.008472,tractive,lateral,P431,drafted
E0033755,N0034002,N0034003,395.610474,395.210474,1.923157,1.685767,80.0,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,0.0,0.002,0.042766,0.009952,tractive,lateral,P431,drafted
E0033756,N0034003,N0034004,395.210474,394.770474,1.685767,1.56287,80.0,200,PVC-U,0.55,0.5,ground,minimum,3.6221,held,0.0,0.002667,0.04948,0.010943,tractive,lateral,P431,drafted
E0033757,N0034004,N0034005,394.770474,394.632974,1.56287,1.606071,25.0,200,PVC-U,0.55,0.5,uniform,minimum,3.6221,held,0.0,0.003333,0.053979,0.011983,tractive,lateral,P431,drafted
E0033758,N0034005,N0034006,394.632974,394.412974,1.606071,1.837789,40.0,200,PVC-U,0.55,0.5,uniform,minimum,3.6221,held,0.0,0.003542,0.055265,0.012285,tractive,lateral,P431,drafted
E0033759,N0034006,N0034007,394.412974,394.192974,1.837789,2.665913,40.0,200,PVC-U,0.55,0.5,uniform,minimum,3.6221,held,0.0,0.003875,0.057212,0.012747,tractive,lateral,P431,drafted
E0033760,N0034007,N0034008,394.192974,394.110474,2.665913,2.861053,15.0,200,PVC-U,0.55,0.5,uniform,minimum,3.6221,held,0.0,0.004208,0.05905,0.013187,tractive,lateral,P431,drafted
E0033761,N0034008,N0034009,394.110474,394.06894,2.861053,2.670928,7.551482,200,PVC-U,0.55,0.5,table11,minimum,3.6221,held,0.0,0.004333,0.059715,0.013348,tractive,lateral,P431,drafted
E0033762,N0034009,N0034010,394.06894,393.615474,2.670928,3.071111,82.448518,200,PVC-U,0.55,0.5,uniform,minimum,3.6221,held,0.0,0.004396,0.060045,0.013428,tractive,lateral,P431,drafted
E0033763,N0034010,N0034011,393.615474,393.285474,3.071111,2.830157,60.0,200,PVC-U,0.55,0.5,uniform,minimum,3.6221,held,0.0,0.005083,0.063453,0.01426,tractive,lateral,P431,drafted
E0033764,N0034011,N0034012,393.285474,392.955474,2.830157,2.4339,60.0,200,PVC-U,0.55,0.5,uniform,minimum,3.6221,held,0.0,0.005583,0.065742,0.014828,tractive,lateral,P431,drafted
E0033765,N0034012,N0033539,392.955474,392.846427,2.4339,2.384316,19.826652,200,PVC-U,0.55,0.5,uniform,minimum,3.6221,held,0.0,0.006083,0.067896,0.015368,tractive,lateral,P431,drafted
E0033766,N0034013,N0034014,374.919826,374.519832,3.748326,4.437748,79.998762,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,25.9147,1.091074,0.380014,0.159889,tractive,main,P384,drafted
E0033767,N0034014,N0034015,374.519832,374.119832,4.437748,4.925578,80.0,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,25.9147,1.091741,0.380086,0.159936,tractive,main,P384,drafted
E0033768,N0034015,N0034016,374.119832,373.719832,4.925578,5.559922,80.0,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,25.9147,1.092407,0.380157,0.159983,tractive,main,P384,drafted
E0033769,N0034016,N0033502,373.719832,373.679342,5.559922,5.611521,5.398724,200,PVC-U,0.75,0.5,table11,minimum,3.6221,held,25.9147,1.093074,0.438279,0.145084,tractive,main,P384,drafted
E0033770,N0034017,N0034018,373.545691,373.144568,5.454645,5.983759,80.224651,200,PVC-U,0.5,0.5,table11,minimum,3.5223,merrimack,95.2165,3.892119,0.555704,0.299456,tractive,main,P384,drafted
E0033771,N0034018,N0034019,373.144568,372.844568,5.983759,6.252509,60.0,200,PVC-U,0.5,0.5,table11,minimum,3.5142,merrimack,97.0379,3.957981,0.558391,0.302048,tractive,main,P384,drafted
E0033772,N0034019,N0034020,372.844568,372.544568,6.252509,6.700641,60.0,200,PVC-U,0.5,0.5,table11,minimum,3.4807,merrimack,105.0272,4.242733,0.569614,0.313064,tractive,main,P384,drafted
E0033773,N0034020,N0033502,372.544568,372.502524,6.700641,6.788339,6.468281,200,PVC-U,0.65,0.5,table11,minimum,3.4807,merrimack,105.0272,4.243233,0.626049,0.292465,tractive,main,P384,drafted
E0033774,N0034021,N0034022,369.136951,368.941295,1.55,1.552754,11.18034,200,PVC-U,1.75,0.5,ground,minimum,3.6221,held,1.4832,0.06218,0.229902,0.032211,tractive,lateral,P379,provisional
E0033775,N0034022,N0033571,368.941295,368.873692,1.552754,1.758236,13.520639,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,1.4832,0.062273,0.150417,0.042876,tractive,lateral,P379,provisional
E0033776,N0034023,N0033587,395.94115,395.567626,1.55,1.561189,23.345235,200,PVC-U,1.6,0.5,ground,minimum,3.6221,held,0.0,0.0,0.0,0.0,tractive,lateral,P385,provisional
E0033777,N0034024,N0034025,395.619281,395.537275,1.55,1.853655,16.401219,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,0.0,0.0,0.0,0.0,tractive,lateral,P385,provisional
E0033778,N0034025,N0033587,395.537275,395.449811,1.853655,1.679004,17.492856,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,0.0,0.000137,0.012887,0.003702,tractive,lateral,P385,provisional
E0033779,N0034026,N0034027,403.194537,401.349537,1.55,1.551647,15.0,200,PVC-U,12.3,0.5,ground,minimum,3.6221,held,0.0,0.0,0.0,0.0,tractive,lateral,P385,provisional
E0033780,N0034027,N0033575,401.336585,398.550112,1.564599,1.565947,11.683328,200,PVC-U,23.85,0.5,cover_min,minimum,3.6221,held,0.0,0.000125,0.036583,0.001737,tractive,lateral,P385,provisional
E0033781,N0034028,N0033575,392.138937,392.098896,5.192728,8.017162,7.28011,200,PVC-U,0.55,0.5,table11,minimum,3.6221,held,0.0,0.000487,0.024321,0.005649,tractive,lateral,P385,provisional
E0033782,N0034029,N0034030,369.110352,368.785352,8.168182,8.472308,65.0,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,2.1596,0.092663,0.171986,0.051196,tractive,lateral,P403,provisional
E0033783,N0034030,N0033597,368.785352,368.609953,8.472308,10.031435,35.079968,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,2.1596,0.093205,0.172322,0.05133,tractive,lateral,P403,provisional
E0033784,N0034031,N0034032,381.235131,378.955131,1.593727,1.597756,15.0,200,PVC-U,15.2,0.5,cover_min,minimum,3.6221,held,0.0,0.0,0.0,0.0,tractive,lateral,P403,provisional
E0033785,N0034032,N0034033,378.955131,378.143635,1.597756,1.552989,12.202941,200,PVC-U,6.65,0.5,ground,minimum,3.6221,held,0.0,0.000125,0.026415,0.002158,tractive,lateral,P403,provisional
E0033786,N0034033,N0033597,378.028823,376.972713,1.667802,1.668675,13.453624,200,PVC-U,7.85,0.5,cover_min,minimum,3.6221,held,0.0,0.000227,0.037939,0.002523,tractive,lateral,P403,provisional
E0033787,N0034034,N0033603,372.786395,372.631154,1.55,2.498394,31.048349,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,0.0,0.0,0.0,0.0,tractive,lateral,P403,provisional
E0033788,N0034035,N0033603,373.69143,373.579252,1.562293,1.550295,5.09902,200,PVC-U,2.2,0.5,ground,minimum,3.6221,held,0.0,0.002738,0.078626,0.008173,tractive,main,P403,provisional
E0033789,N0034036,N0033590,366.511039,366.318703,2.098642,2.402946,38.467168,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,27.7371,1.18391,0.389675,0.166271,tractive,main,P452,provisional
E0033790,N0034037,N0033608,372.283221,372.125345,1.55,2.495291,31.575307,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,2.1596,0.090534,0.170652,0.050666,tractive,lateral,P403,provisional
E0033791,N0034038,N0033608,373.486983,373.056983,1.561266,1.563653,10.0,200,PVC-U,4.3,0.5,cover_min,minimum,3.6221,held,0.0,0.0,0.0,0.0,tractive,lateral,P403,provisional
E0033792,N0034039,N0034040,368.86661,368.61661,1.689207,1.759489,50.0,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,0.0,0.000463,0.023048,0.005661,tractive,lateral,P452,provisional
E0033793,N0034040,N0034041,368.61661,368.36661,1.759489,1.81262,50.0,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,0.0,0.00088,0.030498,0.007209,tractive,lateral,P452,provisional
E0033794,N0034041,N0033611,368.36661,368.303405,1.81262,1.757966,12.641023,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,0.0,0.001297,0.03587,0.008381,tractive,lateral,P452,provisional
E0033795,N0034042,N0033625,379.978893,379.928893,1.551044,1.637208,10.0,200,PVC-U,0.5,0.5,cover_min,minimum,3.6221,held,0.0,0.0,0.0,0.0,tractive,lateral,P398,provisional
E0033796,N0034043,N0034044,366.404352,366.347783,3.594428,3.588283,11.313708,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,5.3989,0.232341,0.23289,0.077627,tractive,main,P452,provisional
E0033797,N0034044,N0034045,366.347783,366.254375,3.588283,3.608021,18.681542,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,6.4787,0.277703,0.246739,0.084242,tractive,main,P452,provisional
E0033798,N0034045,N0034046,366.254375,366.151784,3.608021,3.68806,20.518285,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,7.5585,0.323125,0.25908,0.090327,tractive,main,P452,provisional
E0033799,N0034046,N0034047,366.151784,366.071006,3.68806,3.909859,16.155494,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,8.6382,0.368564,0.270245,0.095989,tractive,main,P452,provisional
E0033800,N0034047,N0033611,366.071006,365.985859,3.909859,4.075511,17.029386,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,8.6382,0.368698,0.270276,0.096005,tractive,main,P452,provisional
E0033801,N0034048,N0034049,365.259666,364.928742,4.23417,4.49765,60.167982,200,PVC-U,0.55,0.5,uniform,minimum,3.6221,held,59.0498,2.48843,0.504441,0.233269,tractive,main,P452,drafted
E0033802,N0034049,N0034050,364.928742,364.598742,4.49765,4.852369,60.0,200,PVC-U,0.55,0.5,uniform,minimum,3.6221,held,62.2891,2.624733,0.512482,0.239532,tractive,main,P452,drafted
