Pipe,US manhole,DS manhole,US invert (m),DS invert (m),US depth (m),DS depth (m),Length (m),DN (mm),Material,Laid gradient (%),Minimum gradient (%),Gradient set by,Diameter set by,Peak factor,PF method,Qadf (m3/d),Qpeak (L/s),Velocity (m/s),d/D,Self-cleansing by,Tier,Package,Confidence
E0000607,N0000332,N0000334,388.1614807128913,387.76148071289134,12.068194580077432,11.899133300780534,99.99999999999989,250,PVC-U,0.4,0.375,table11,capacity,2.7523315475451446,merrimack,731.1547478436664,23.474807855713163,0.8115458238218174,0.6313026846031831,velocity,trunk main,,drafted
E0000608,N0000334,N0000336,387.76148071289134,387.36148071289136,11.899133300780534,11.935882568358636,100.00000000000125,250,PVC-U,0.4,0.375,table11,capacity,2.748558795833724,merrimack,739.49046939411,23.710002659588312,0.8131889792614572,0.6356280407652501,velocity,trunk main,,drafted
E0000609,N0000336,N0000338,387.29648071289137,386.9964807128911,12.000882568358634,11.659769287108873,100.00000000008394,315,GRP,0.3,0.27,table11,dod,2.734627326241173,merrimack,771.20756033811,24.599699400938253,0.7410609070200679,0.4849688088661266,tractive,trunk main,,drafted
E0000610,N0000338,N0000340,386.9964807128911,386.696480712891,11.659769287108873,11.400931396483998,100.00000000003507,315,GRP,0.3,0.27,table11,dod,2.724466662467389,merrimack,795.3019215613466,25.272824507500317,0.746076849411849,0.4926964673910794,tractive,trunk main,,drafted
E0000611,N0000340,N0000342,386.696480712891,386.39648071289156,11.400931396483998,11.685825195311565,99.99999999981597,315,GRP,0.3,0.27,table11,dod,2.6973918414714135,merrimack,863.7315749373467,27.16992677470598,0.75949849860553,0.5143065339575028,velocity,trunk main,,drafted
E0000612,N0000342,N0000344,386.39648071289156,386.0964807128912,11.685825195311565,12.110214843749418,100.00000000011923,315,GRP,0.3,0.27,table11,dod,2.6929378319024333,merrimack,875.6091686653467,27.49802227463418,0.7617177361300179,0.5180232238455482,velocity,trunk main,,drafted
E0000613,N0000344,N0000346,386.0964807128912,385.79648071289114,12.110214843749418,11.795682373046361,100.00000000001724,315,GRP,0.3,0.27,table11,dod,2.6929378319024333,merrimack,875.6091686653467,27.498855607967513,0.7617233358410977,0.5180326574518548,velocity,trunk main,,drafted
E0000614,N0000346,N0000348,385.79648071289114,385.4964807128911,11.795682373046361,12.147989501952623,100.00000000000205,315,GRP,0.3,0.27,table11,dod,2.6929378319024333,merrimack,875.6091686653467,27.49968894130085,0.7617289353658603,0.518042091026421,velocity,trunk main,,drafted
E0000615,N0000348,N0000350,385.4964807128911,385.1964807128916,12.147989501952623,12.268240966795872,99.99999999983913,315,GRP,0.3,0.27,table11,dod,2.691334589189153,merrimack,879.9292941765833,27.619421371436385,0.7625315359954707,0.5193971705823304,velocity,trunk main,,drafted
E0000616,N0000350,N0000352,385.1964807128916,384.89648071289105,12.268240966795872,11.893222656249577,100.00000000018844,315,GRP,0.3,0.27,table11,dod,2.6883311106826526,merrimack,888.0869821765833,27.84458041472202,0.764030495781445,0.5219437241906308,velocity,trunk main,,drafted
E0000617,N0000352,N0000354,384.89648071289105,384.5964807128911,11.893222656249577,11.492783203124532,99.99999999998003,315,GRP,0.3,0.27,table11,dod,2.67714126781158,merrimack,919.2345181765833,28.699670686808286,0.7696021649517162,0.5315969224795507,velocity,trunk main,,drafted
