PLOT_ID,X,Y,REACH,STATION_M,SHORT_BY_M,CH_REQ,ISSUE
1110798,461330.263090458,2569466.4051143634,E0035562,36.38,5.13,R00495,beyond the 45 m tertiary run
1110801,461328.42550742987,2569358.9424513835,E0031006,10.01,5.72,R00417,beyond the 45 m tertiary run
1110806,461081.04895781056,2569424.609431224,E0034530,38.15,36.45,R00472,beyond the 45 m tertiary run
1110878,461333.85459338257,2569140.015733854,E0029909,38.07,35.49,R00388,beyond the 45 m tertiary run
1111078,461074.7964587227,2568808.1675154995,E0029905,21.94,20.05,R00387,beyond the 45 m tertiary run
1111247,459781.16976185713,2569714.370596481,E0029317,26.18,22.04,R00372,beyond the 45 m tertiary run
1111249,459859.9790842203,2569682.5233756388,E0029316,21.18,16.89,R00371,beyond the 45 m tertiary run
1111285,460300.42090507055,2569506.0053104456,E0030989,64.4,17.34,R00415,beyond the 45 m tertiary run
1111287,460323.70664464985,2569496.909598918,E0030989,39.4,35.92,R00414,beyond the 45 m tertiary run
1111332,460086.3438117371,2569480.29117296,E0029861,30.7,28.74,R00383,beyond the 45 m tertiary run
1111390,460914.2452416023,2569260.362434174,E0033159,7.65,5.03,R00440,beyond the 45 m tertiary run
1111393,460822.0651971132,2569113.791821519,E0032640,47.26,30.74,R00436,beyond the 45 m tertiary run
1111404,460885.79446541663,2569272.32655597,E0033159,38.51,0.65,R00440,beyond the 45 m tertiary run
1111484,460481.1464364346,2568874.756895292,E0030970,63.53,18.25,R00412,beyond the 45 m tertiary run
1111498,460368.65982218017,2569104.1410584794,E0030396,10.62,9.51,R00398,beyond the 45 m tertiary run
1111503,460428.94531260245,2569079.83546389,E0030395,25.62,24.46,R00397,beyond the 45 m tertiary run
1111506,460479.1134333659,2568923.244814738,E0030959,39.96,37.46,R00409,beyond the 45 m tertiary run
1111508,460365.1847810277,2568921.3249061257,E0029849,19.47,16.49,R00378,beyond the 45 m tertiary run
1111512,460253.5169827593,2569047.08705755,E0029853,15.98,13.98,R00380,beyond the 45 m tertiary run
1111609,460365.5341958626,2568635.4710084046,E0027568,10.31,9.79,R00339,beyond the 45 m tertiary run
1111622,460352.7548847908,2568602.8881177967,E0027568,45.31,34.47,R00340,beyond the 45 m tertiary run
