LABEL,DIA_MM,SLOPE_PMIL,OUR_Q_LS,OUR_V_MS,OUR_DOD,SG_Q_LS,SG_V_MS,SG_DOD,DQ_PCT,DV_PCT
P-0108,200,5.0,0.0,0.043,0.01,,,,,
P-0109,200,5.0,15.12,0.79,0.65,,,,,
P-0110,250,3.75,15.29,0.717,0.493,,,,,
P-0111,250,3.75,15.73,0.722,0.501,,,,,
P-0112,250,3.75,16.69,0.732,0.519,,,,,
P-0113,250,3.75,16.81,0.734,0.521,,,,,
P-0114,250,3.75,16.89,0.735,0.523,,,,,
P-0115,250,3.75,16.89,0.735,0.523,,,,,
P-0116,200,5.0,0.11,0.182,0.055,,,,,
P-0117,200,19.932,0.32,0.416,0.065,,,,,
P-0118,200,5.0,0.0,0.025,0.006,,,,,
P-0119,200,5.0,0.0,0.038,0.009,,,,,
P-0120,200,8.14,0.0,0.048,0.009,,,,,
P-0121,200,10.704,0.0,0.033,0.005,,,,,
P-0122,200,5.0,7.34,0.663,0.419,,,,,
P-0123,200,5.0,7.42,0.665,0.422,,,,,
P-0124,200,22.373,0.0,0.057,0.006,,,,,
P-0125,200,5.0,1.95,0.453,0.212,,,,,
P-0126,200,5.0,0.07,0.157,0.046,,,,,
P-0127,200,5.0,2.03,0.459,0.216,,,,,
P-0128,200,5.0,1.82,0.444,0.205,,,,,
P-0129,200,5.0,0.07,0.157,0.046,,,,,
P-0130,200,5.0,0.14,0.198,0.062,,,,,
P-0131,200,5.0,2.63,0.496,0.246,,,,,
P-0132,200,5.0,0.07,0.158,0.046,,,,,
P-0133,200,5.0,0.71,0.333,0.131,,,,,
P-0134,200,5.0,0.11,0.181,0.055,,,,,
P-0135,200,5.0,0.14,0.199,0.062,,,,,
P-0136,200,5.0,0.0,0.025,0.006,,,,,
P-0137,200,8.341,0.04,0.149,0.03,,,,,
P-0138,200,5.0,0.46,0.29,0.107,,,,,
P-0139,200,5.0,0.11,0.181,0.055,,,,,
P-0140,200,7.64,0.0,0.022,0.004,,,,,
P-0141,200,5.0,4.48,0.578,0.322,,,,,
P-0142,200,5.0,5.19,0.603,0.348,,,,,
P-0143,200,5.0,5.28,0.606,0.351,,,,,
P-0144,200,5.0,5.46,0.612,0.357,,,,,
P-0145,200,5.0,5.52,0.613,0.359,,,,,
P-0146,200,5.0,0.07,0.158,0.046,,,,,
P-0147,200,5.0,0.57,0.31,0.118,,,,,
P-0148,200,5.0,1.31,0.402,0.175,,,,,
P-0149,200,6.293,1.35,0.44,0.167,,,,,
P-0150,200,5.0,0.82,0.347,0.139,,,,,
P-0151,200,5.0,1.03,0.373,0.155,,,,,
P-0152,200,5.0,0.0,0.033,0.008,,,,,
P-0153,200,10.073,0.14,0.252,0.053,,,,,
P-0154,200,5.0,0.36,0.267,0.094,,,,,
P-0155,200,5.0,0.36,0.267,0.095,,,,,
P-0156,200,13.224,0.89,0.5,0.115,,,,,
P-0157,200,6.338,1.2,0.426,0.158,,,,,
P-0158,200,5.0,1.38,0.409,0.179,,,,,
P-0159,200,5.0,0.18,0.213,0.069,,,,,
P-0160,200,5.0,0.14,0.198,0.062,,,,,
P-0161,200,5.0,4.04,0.562,0.305,,,,,
P-0162,200,5.0,7.81,0.674,0.434,,,,,
P-0163,200,5.0,8.0,0.679,0.44,,,,,
P-0164,200,5.0,8.42,0.688,0.453,,,,,
P-0165,200,5.0,8.95,0.699,0.469,,,,,
P-0166,600,1.25,87.98,0.725,0.444,,,,,
P-0167,600,1.25,87.98,0.725,0.444,,,,,
P-0168,400,7.049,87.98,1.402,0.5,,,,,
P-0169,200,5.0,0.71,0.333,0.13,,,,,
P-0170,200,5.0,0.71,0.333,0.13,,,,,
P-0171,200,11.771,0.53,0.409,0.093,,,,,
P-0172,200,16.416,0.57,0.468,0.089,,,,,
P-0173,200,18.543,0.0,0.043,0.005,,,,,
P-0174,200,16.487,0.0,0.054,0.007,,,,,
P-0175,200,16.428,0.11,0.272,0.042,,,,,
P-0176,200,13.21,0.14,0.277,0.05,,,,,
P-0177,200,5.0,1.96,0.454,0.212,,,,,
P-0178,200,5.0,1.96,0.454,0.212,,,,,
P-0179,200,5.0,9.77,0.715,0.493,,,,,
P-0180,200,5.0,0.82,0.348,0.14,,,,,
P-0181,200,5.0,0.29,0.249,0.085,,,,,
P-0182,200,18.221,1.03,0.586,0.114,,,,,
P-0183,200,9.305,1.1,0.474,0.138,,,,,
P-0184,200,10.538,0.5,0.385,0.093,,,,,
P-0185,200,7.221,0.53,0.345,0.104,,,,,
P-0186,200,5.0,0.82,0.347,0.139,,,,,
P-0187,200,5.0,4.02,0.561,0.304,,,,,
P-0188,200,5.0,4.08,0.563,0.307,,,,,
P-0189,200,5.0,4.08,0.563,0.307,,,,,
P-0190,200,9.357,2.56,0.614,0.207,,,,,
P-0191,200,14.768,2.57,0.722,0.185,,,,,
P-0192,200,16.5,2.6,0.754,0.182,,,,,
P-0193,200,5.0,1.42,0.412,0.182,,,,,
P-0194,200,5.0,1.38,0.409,0.179,,,,,
P-0195,200,5.0,10.01,0.719,0.5,,,,,
P-0196,200,5.0,3.52,0.54,0.284,,,,,
P-0197,200,5.0,3.68,0.547,0.291,,,,,
P-0198,200,5.0,3.83,0.553,0.297,,,,,
P-0199,200,5.0,6.93,0.653,0.406,,,,,
P-0200,200,5.0,6.93,0.653,0.406,,,,,
P-0201,200,5.0,0.0,0.022,0.005,,,,,
P-0202,200,5.0,0.39,0.275,0.099,,,,,
P-0203,200,5.0,1.06,0.377,0.158,,,,,
P-0204,200,5.0,0.15,0.2,0.063,,,,,
P-0205,200,5.0,0.15,0.2,0.063,,,,,
P-0206,200,5.0,0.15,0.2,0.063,,,,,
P-0207,200,5.0,0.07,0.159,0.046,,,,,
P-0208,200,5.0,0.11,0.182,0.055,,,,,
P-0209,200,10.585,2.17,0.61,0.186,,,,,
P-0210,200,7.902,0.72,0.391,0.117,,,,,
P-0211,200,8.336,0.72,0.398,0.116,,,,,
P-0212,200,8.453,0.0,0.042,0.007,,,,,
P-0213,200,5.0,6.87,0.652,0.404,,,,,
P-0214,200,5.0,6.87,0.652,0.404,,,,,
P-0215,200,12.407,1.35,0.558,0.142,,,,,
P-0216,200,10.931,0.68,0.43,0.106,,,,,
P-0217,200,5.0,0.92,0.361,0.148,,,,,
P-0218,200,5.0,3.3,0.53,0.275,,,,,
P-0219,200,6.561,0.71,0.366,0.123,,,,,
P-0220,200,10.464,0.71,0.431,0.11,,,,,
P-0221,200,7.006,0.71,0.375,0.121,,,,,
P-0222,200,5.0,0.0,0.02,0.005,,,,,
P-0223,200,5.0,0.28,0.249,0.085,,,,,
P-0224,250,3.75,22.2,0.782,0.621,,,,,
P-0225,250,3.75,20.3,0.767,0.586,,,,,
P-0226,250,3.75,20.5,0.769,0.59,,,,,
P-0227,250,3.75,21.09,0.773,0.601,,,,,
P-0228,200,14.289,0.36,0.384,0.074,,,,,
P-0229,200,5.0,0.07,0.158,0.046,,,,,
P-0230,200,5.0,15.09,0.79,0.649,,,,,
P-0231,200,5.0,12.5,0.758,0.573,,,,,
P-0232,200,5.0,12.63,0.76,0.576,,,,,
P-0233,200,5.0,0.28,0.249,0.085,,,,,
P-0234,200,5.527,0.04,0.129,0.033,,,,,
P-0235,200,5.0,0.89,0.356,0.145,,,,,
P-0236,200,5.0,6.65,0.646,0.397,,,,,
P-0237,200,5.0,6.82,0.65,0.403,,,,,
P-0238,200,7.302,0.0,0.018,0.004,,,,,
P-0239,200,13.52,2.66,0.708,0.193,,,,,
P-0240,200,13.101,2.66,0.7,0.194,,,,,
P-0241,200,21.255,2.66,0.829,0.173,,,,,
P-0242,200,7.325,0.85,0.402,0.13,,,,,
P-0243,200,5.0,1.49,0.418,0.186,,,,,
P-0244,200,5.0,1.6,0.427,0.192,,,,,
P-0245,200,5.0,1.67,0.433,0.196,,,,,
P-0246,200,42.602,0.0,0.056,0.004,,,,,
P-0247,200,5.0,0.04,0.126,0.034,,,,,
P-0248,200,5.0,0.43,0.283,0.103,,,,,
P-0249,200,5.0,0.85,0.352,0.142,,,,,
P-0250,200,5.0,1.03,0.373,0.155,,,,,
P-0251,200,5.0,1.1,0.381,0.161,,,,,
P-0252,200,19.279,1.7,0.699,0.143,,,,,
P-0253,200,16.169,1.92,0.682,0.158,,,,,
P-0254,200,5.0,1.92,0.451,0.21,,,,,
P-0255,200,8.308,1.92,0.54,0.185,,,,,
P-0256,200,5.0,0.0,0.024,0.006,,,,,
P-0257,200,5.0,0.0,0.031,0.007,,,,,
P-0258,200,5.0,0.0,0.037,0.009,,,,,
P-0259,200,5.0,0.0,0.041,0.01,,,,,
P-0260,200,5.0,0.0,0.047,0.011,,,,,
P-0261,200,5.0,0.0,0.047,0.011,,,,,
P-0262,200,5.0,0.0,0.037,0.009,,,,,
P-0263,200,5.0,0.04,0.126,0.034,,,,,
P-0264,200,5.0,0.0,0.024,0.006,,,,,
P-0265,200,5.0,0.0,0.031,0.007,,,,,
P-0266,200,5.0,0.0,0.017,0.004,,,,,
P-0267,200,5.0,1.03,0.373,0.155,,,,,
P-0268,200,5.0,1.31,0.402,0.175,,,,,
P-0269,200,5.0,0.57,0.31,0.117,,,,,
P-0270,200,5.0,0.21,0.227,0.075,,,,,
P-0271,200,5.0,0.39,0.275,0.099,,,,,
P-0272,200,5.0,0.71,0.333,0.13,,,,,
P-0273,200,56.521,0.0,0.035,0.003,,,,,
P-0274,200,5.0,0.82,0.347,0.139,,,,,
P-0275,200,5.0,0.32,0.258,0.09,,,,,
P-0276,200,5.0,0.57,0.31,0.117,,,,,
P-0277,200,22.352,0.0,0.042,0.005,,,,,
P-0278,200,15.28,0.0,0.038,0.005,,,,,
P-0279,200,5.0,0.92,0.361,0.148,,,,,
P-0280,200,5.0,1.03,0.373,0.155,,,,,
P-0281,200,5.0,0.82,0.347,0.139,,,,,
P-0282,200,5.0,7.5,0.667,0.424,,,,,
P-0283,200,5.0,1.24,0.396,0.17,,,,,
P-0284,200,7.026,0.0,0.028,0.006,,,,,
P-0285,200,5.0,1.74,0.438,0.2,,,,,
P-0286,200,5.0,0.0,0.052,0.012,,,,,
P-0287,200,5.0,0.0,0.018,0.005,,,,,
P-0288,200,5.0,0.0,0.054,0.013,,,,,
P-0289,200,5.0,3.26,0.528,0.274,,,,,
P-0290,200,5.0,4.26,0.57,0.314,,,,,
P-0291,200,8.916,0.0,0.03,0.005,,,,,
P-0292,200,5.0,0.04,0.125,0.034,,,,,
P-0293,200,5.0,0.04,0.125,0.034,,,,,
P-0294,200,5.0,4.26,0.57,0.314,,,,,
P-0295,200,5.0,4.26,0.57,0.314,,,,,
P-0296,200,7.53,0.71,0.383,0.118,,,,,
P-0297,200,5.0,4.41,0.576,0.319,,,,,
P-0298,200,5.0,5.01,0.597,0.341,,,,,
P-0299,200,10.418,0.04,0.159,0.028,,,,,
P-0300,200,5.0,5.92,0.626,0.373,,,,,
P-0301,200,5.552,0.0,0.061,0.013,,,,,
P-0302,200,5.0,0.22,0.227,0.075,,,,,
P-0303,200,5.0,0.0,0.061,0.014,,,,,
P-0304,200,5.0,0.04,0.13,0.036,,,,,
P-0305,200,5.0,0.21,0.227,0.075,,,,,
P-0306,200,8.345,0.0,0.033,0.006,,,,,
P-0307,200,14.441,0.0,0.042,0.006,,,,,
P-0308,200,5.0,0.5,0.297,0.11,,,,,
P-0309,200,5.0,0.5,0.297,0.11,,,,,
P-0310,200,5.0,0.14,0.198,0.062,,,,,
P-0311,200,5.0,0.0,0.025,0.006,,,,,
P-0312,200,5.0,0.21,0.227,0.075,,,,,
P-0313,200,5.0,0.0,0.023,0.006,,,,,
P-0314,200,5.0,0.18,0.213,0.069,,,,,
P-0315,200,5.0,0.04,0.131,0.036,,,,,
P-0316,200,5.0,0.04,0.132,0.036,,,,,
P-0317,200,5.0,0.08,0.162,0.047,,,,,
P-0318,200,5.0,0.11,0.184,0.056,,,,,
P-0319,200,10.476,0.0,0.034,0.006,,,,,
P-0320,200,8.405,0.0,0.036,0.006,,,,,
P-0321,200,10.227,0.0,0.023,0.004,,,,,
P-0322,200,5.0,0.07,0.158,0.046,,,,,
P-0323,200,5.0,0.43,0.283,0.103,,,,,
P-0324,200,13.858,0.78,0.488,0.107,,,,,
P-0325,200,5.0,0.82,0.347,0.139,,,,,
P-0326,200,5.0,0.89,0.357,0.145,,,,,
P-0327,200,5.0,1.13,0.384,0.163,,,,,
P-0328,200,5.0,0.0,0.017,0.004,,,,,
P-0329,200,26.532,1.13,0.687,0.109,,,,,
P-0330,250,8.393,33.93,1.177,0.629,,,,,
P-0331,315,2.7,33.06,0.763,0.601,,,,,
P-0332,315,2.7,34.21,0.769,0.615,,,,,
P-0333,315,2.7,34.0,0.768,0.612,,,,,
P-0334,315,2.7,32.97,0.763,0.6,,,,,
P-0335,200,11.851,0.0,0.03,0.005,,,,,
P-0336,200,7.978,0.0,0.035,0.006,,,,,
P-0337,200,15.085,0.0,0.034,0.005,,,,,
P-0338,200,38.905,0.21,0.456,0.047,,,,,
P-0339,315,2.7,32.95,0.762,0.6,,,,,
P-0340,200,5.0,0.61,0.316,0.121,,,,,
P-0341,200,5.0,0.39,0.276,0.099,,,,,
P-0342,200,5.0,0.53,0.304,0.114,,,,,
P-0343,200,8.063,0.04,0.147,0.03,,,,,
P-0344,315,2.7,32.51,0.76,0.594,,,,,
P-0345,200,5.0,0.32,0.259,0.09,,,,,
P-0346,315,2.7,32.51,0.76,0.594,,,,,
P-0347,200,5.0,6.64,0.646,0.397,,,,,
P-0348,200,15.44,0.14,0.292,0.048,,,,,
P-0349,200,5.0,0.0,0.016,0.004,,,,,
P-0350,200,10.442,0.04,0.16,0.028,,,,,
P-0351,200,5.0,0.96,0.366,0.151,,,,,
P-0352,200,5.0,0.11,0.18,0.055,,,,,
P-0353,200,5.0,0.81,0.347,0.139,,,,,
P-0354,200,5.0,0.0,0.024,0.006,,,,,
P-0355,200,5.0,0.0,0.032,0.008,,,,,
P-0356,315,2.7,32.51,0.76,0.594,,,,,
P-0357,200,5.0,0.18,0.214,0.069,,,,,
P-0358,200,5.0,1.24,0.396,0.17,,,,,
P-0359,200,5.0,7.64,0.67,0.429,,,,,
P-0360,200,5.0,6.54,0.643,0.394,,,,,
P-0361,200,5.0,5.41,0.61,0.355,,,,,
P-0362,200,43.049,0.0,0.036,0.003,,,,,
P-0363,200,5.0,5.35,0.608,0.353,,,,,
P-0364,200,5.0,0.0,0.02,0.005,,,,,
P-0365,200,5.0,0.0,0.024,0.006,,,,,
P-0366,200,5.0,0.04,0.126,0.034,,,,,
P-0367,200,5.0,0.04,0.126,0.034,,,,,
P-0368,200,5.0,0.0,0.01,0.003,,,,,
P-0369,200,22.787,0.0,0.048,0.005,,,,,
P-0370,200,5.0,0.68,0.328,0.127,,,,,
P-0371,200,5.0,0.68,0.328,0.127,,,,,
P-0372,200,5.0,0.18,0.214,0.069,,,,,
P-0373,200,5.0,0.29,0.249,0.085,,,,,
P-0374,200,5.0,0.0,0.025,0.006,,,,,
P-0375,200,5.0,0.14,0.199,0.062,,,,,
P-0376,200,5.0,4.29,0.572,0.315,,,,,
P-0377,200,5.0,0.04,0.125,0.034,,,,,
P-0378,200,5.0,0.36,0.267,0.094,,,,,
P-0379,200,5.0,0.36,0.267,0.094,,,,,
P-0380,200,5.0,0.07,0.157,0.046,,,,,
P-0381,200,5.0,4.33,0.573,0.316,,,,,
P-0382,200,11.458,4.45,0.777,0.259,,,,,
P-0383,200,5.0,3.9,0.556,0.3,,,,,
P-0384,200,5.0,0.21,0.227,0.075,,,,,
P-0385,200,5.0,0.18,0.213,0.069,,,,,
P-0386,200,5.0,0.0,0.018,0.005,,,,,
P-0387,200,5.0,0.11,0.18,0.055,,,,,
P-0388,200,5.0,0.43,0.283,0.103,,,,,
P-0389,200,5.0,0.85,0.352,0.142,,,,,
P-0390,200,16.434,0.57,0.468,0.089,,,,,
P-0391,200,7.73,0.11,0.209,0.049,,,,,
P-0392,200,5.0,0.14,0.199,0.062,,,,,
P-0393,200,5.0,0.0,0.02,0.005,,,,,
P-0394,200,5.0,0.0,0.026,0.006,,,,,
P-0395,200,5.0,0.0,0.021,0.005,,,,,
P-0396,200,5.0,0.89,0.356,0.145,,,,,
P-0397,200,44.524,0.0,0.046,0.004,,,,,
P-0398,200,5.0,0.11,0.181,0.055,,,,,
P-0399,200,5.0,0.5,0.297,0.11,,,,,
P-0400,200,5.0,0.0,0.021,0.005,,,,,
P-0401,200,7.765,0.0,0.021,0.004,,,,,
P-0402,200,12.647,0.0,0.033,0.005,,,,,
P-0403,200,5.0,0.53,0.304,0.114,,,,,
P-0404,315,2.7,31.66,0.756,0.584,,,,,
P-0405,200,5.0,0.32,0.259,0.09,,,,,
P-0406,200,5.0,0.39,0.276,0.099,,,,,
P-0407,200,5.0,0.0,0.016,0.004,,,,,
P-0408,200,5.0,12.3,0.756,0.567,,,,,
P-0409,200,5.0,12.32,0.756,0.568,,,,,
P-0410,200,5.0,0.97,0.366,0.151,,,,,
P-0411,200,5.0,0.97,0.366,0.151,,,,,
P-0412,200,5.0,1.43,0.413,0.182,,,,,
P-0413,200,22.901,0.0,0.023,0.003,,,,,
P-0414,200,5.0,7.69,0.672,0.43,,,,,
P-0415,200,7.151,0.0,0.008,0.002,,,,,
P-0416,200,5.0,0.25,0.238,0.08,,,,,
P-0417,200,5.0,14.06,0.778,0.618,,,,,
P-0418,200,5.0,5.26,0.605,0.35,,,,,
P-0419,200,20.526,0.21,0.368,0.054,,,,,
P-0420,200,10.357,0.21,0.292,0.063,,,,,
P-0421,200,5.0,13.41,0.771,0.599,,,,,
P-0422,315,2.7,26.38,0.724,0.522,,,,,
P-0423,200,66.786,0.04,0.296,0.019,,,,,
P-0424,200,5.0,4.54,0.581,0.324,,,,,
P-0425,200,5.0,0.14,0.199,0.062,,,,,
P-0426,200,5.0,0.14,0.199,0.062,,,,,
P-0427,200,8.513,0.07,0.189,0.04,,,,,
P-0428,200,46.572,0.0,0.047,0.004,,,,,
P-0429,200,5.0,4.48,0.578,0.322,,,,,
P-0430,200,5.0,0.07,0.158,0.046,,,,,
P-0431,200,5.0,0.85,0.352,0.142,,,,,
P-0432,200,5.0,0.14,0.199,0.062,,,,,
P-0433,200,5.0,0.21,0.227,0.075,,,,,
P-0434,200,11.838,0.21,0.305,0.061,,,,,
P-0435,200,5.343,0.25,0.244,0.079,,,,,
P-0436,200,10.471,0.28,0.321,0.072,,,,,
P-0437,200,5.0,0.67,0.327,0.127,,,,,
P-0438,200,7.664,0.07,0.183,0.041,,,,,
P-0439,200,5.0,0.0,0.018,0.005,,,,,
P-0440,200,23.898,0.07,0.268,0.032,,,,,
P-0441,200,5.0,0.39,0.275,0.099,,,,,
P-0442,200,5.0,0.18,0.213,0.069,,,,,
P-0443,200,5.0,0.0,0.017,0.004,,,,,
P-0444,200,5.0,0.0,0.016,0.004,,,,,
P-0445,200,5.0,1.21,0.392,0.168,,,,,
P-0446,200,5.0,0.28,0.249,0.085,,,,,
P-0447,200,5.0,0.28,0.249,0.085,,,,,
P-0448,200,5.0,0.21,0.227,0.075,,,,,
P-0449,200,5.0,0.86,0.353,0.142,,,,,
P-0450,200,8.327,0.32,0.308,0.08,,,,,
P-0451,200,15.881,0.14,0.294,0.048,,,,,
P-0452,200,5.0,0.21,0.227,0.075,,,,,
P-0453,200,12.864,0.86,0.49,0.114,,,,,
P-0454,200,12.495,0.07,0.215,0.037,,,,,
P-0455,200,5.0,8.76,0.695,0.463,,,,,
P-0456,200,5.0,4.71,0.587,0.331,,,,,
P-0457,200,5.0,4.71,0.587,0.331,,,,,
P-0458,200,5.0,14.12,0.779,0.62,,,,,
P-0459,200,5.0,14.04,0.778,0.618,,,,,
P-0460,200,5.0,3.55,0.541,0.286,,,,,
P-0461,200,5.0,3.83,0.553,0.297,,,,,
P-0462,200,5.275,0.07,0.161,0.045,,,,,
P-0463,200,5.0,0.0,0.025,0.006,,,,,
P-0464,200,5.0,14.04,0.778,0.618,,,,,
P-0465,200,13.297,0.04,0.173,0.027,,,,,
P-0466,200,14.598,0.0,0.025,0.004,,,,,
P-0467,200,5.0,0.04,0.125,0.034,,,,,
P-0468,200,5.0,0.29,0.249,0.085,,,,,
P-0469,200,5.0,0.04,0.125,0.034,,,,,
P-0470,200,5.0,0.25,0.239,0.08,,,,,
P-0471,200,5.0,0.18,0.214,0.069,,,,,
P-0472,200,5.0,0.36,0.267,0.094,,,,,
P-0473,200,5.0,0.39,0.276,0.099,,,,,
P-0474,200,5.0,0.07,0.158,0.046,,,,,
P-0475,200,5.0,8.48,0.689,0.455,,,,,
P-0476,200,5.0,0.0,0.02,0.005,,,,,
P-0477,200,14.403,0.11,0.259,0.043,,,,,
P-0478,200,10.188,0.0,0.024,0.004,,,,,
P-0479,200,5.0,0.14,0.199,0.062,,,,,
P-0480,200,5.0,0.21,0.226,0.075,,,,,
P-0481,200,5.0,0.0,0.017,0.004,,,,,
P-0482,200,5.0,0.18,0.213,0.069,,,,,
P-0483,200,5.0,0.0,0.018,0.005,,,,,
P-0484,200,5.0,14.02,0.778,0.617,,,,,
P-0485,200,5.0,14.02,0.778,0.617,,,,,
P-0486,200,5.0,0.5,0.297,0.11,,,,,
P-0487,200,5.0,0.57,0.31,0.117,,,,,
P-0488,200,5.0,0.57,0.31,0.117,,,,,
P-0489,200,5.0,0.43,0.283,0.103,,,,,
P-0490,200,5.0,0.18,0.214,0.069,,,,,
P-0491,200,5.0,0.0,0.024,0.006,,,,,
P-0492,200,12.215,0.11,0.245,0.044,,,,,
P-0493,200,40.48,0.0,0.03,0.003,,,,,
