CROSS_ID,N_REACH,LEN_M,ANGLE_DEG,SQUARE_ENOUGH,CHAMBERS_ON_WADI,MIN_COVER_M,MEETS_1P50,H1A_OK,WHY
X000168,7,200.52,14.5,0,8,12.16,1,0,runs ALONG the wadi - H1a condition 1 fails
X000169,11,281.3,1.7,0,12,14.34,1,0,runs ALONG the wadi - H1a condition 1 fails
X000170,4,73.02,16.0,0,5,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000171,2,35.27,75.1,1,3,3.62,1,0,crossing
X000172,5,132.06,10.2,0,6,8.92,1,0,runs ALONG the wadi - H1a condition 1 fails
X000173,5,138.61,18.5,0,6,4.53,1,0,runs ALONG the wadi - H1a condition 1 fails
X000174,2,55.28,75.5,1,3,1.3,0,0,crossing
X000175,1,27.76,54.4,0,2,2.04,1,0,runs ALONG the wadi - H1a condition 1 fails
X000176,2,56.18,73.4,1,3,4.17,1,0,crossing
X000177,6,160.46,0.7,0,7,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000178,2,54.15,81.2,1,3,1.31,0,0,crossing
X000179,38,991.39,15.7,0,39,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000180,23,570.7,88.5,1,24,1.3,0,0,crossing
X000181,14,377.43,42.0,0,15,6.92,1,0,runs ALONG the wadi - H1a condition 1 fails
X000182,4,119.08,83.4,1,5,1.3,0,0,crossing
X000183,3,85.38,63.6,0,4,9.67,1,0,runs ALONG the wadi - H1a condition 1 fails
X000184,5,143.09,16.9,0,6,2.17,1,0,runs ALONG the wadi - H1a condition 1 fails
X000185,40,1143.55,35.1,0,41,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000186,49,1365.07,18.2,0,50,2.96,1,0,runs ALONG the wadi - H1a condition 1 fails
X000187,18,503.63,41.4,0,19,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000188,5,147.7,57.7,0,6,6.6,1,0,runs ALONG the wadi - H1a condition 1 fails
X000189,3,89.11,69.3,1,4,6.57,1,0,crossing
X000190,3,83.71,45.0,0,4,1.68,1,0,runs ALONG the wadi - H1a condition 1 fails
X000191,4,96.69,44.1,0,5,2.6,1,0,runs ALONG the wadi - H1a condition 1 fails
X000192,16,433.88,33.8,0,17,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000193,1,22.38,57.3,0,2,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000194,1,29.63,22.6,0,2,15.13,1,0,runs ALONG the wadi - H1a condition 1 fails
X000195,1,25.52,26.0,0,2,4.09,1,0,runs ALONG the wadi - H1a condition 1 fails
X000196,1,28.61,40.0,0,2,3.19,1,0,runs ALONG the wadi - H1a condition 1 fails
X000197,4,96.54,19.8,0,5,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000198,3,74.01,72.7,1,4,5.22,1,0,crossing
X000199,2,47.57,14.5,0,3,3.22,1,0,runs ALONG the wadi - H1a condition 1 fails
X000200,3,51.69,27.9,0,4,2.78,1,0,runs ALONG the wadi - H1a condition 1 fails
X000201,7,175.74,23.7,0,8,3.87,1,0,runs ALONG the wadi - H1a condition 1 fails
X000202,1,24.42,9.6,0,2,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000203,2,58.08,76.9,1,3,10.98,1,0,crossing
X000204,3,69.07,48.6,0,4,2.92,1,0,runs ALONG the wadi - H1a condition 1 fails
X000205,1,26.83,64.6,0,2,8.84,1,0,runs ALONG the wadi - H1a condition 1 fails
X000206,4,88.67,89.0,1,5,3.48,1,0,crossing
X000207,1,24.02,2.5,0,2,1.78,1,0,runs ALONG the wadi - H1a condition 1 fails
X000208,1,22.82,69.6,1,2,4.01,1,0,crossing
X000209,2,48.72,1.7,0,3,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000210,1,27.75,64.7,0,2,1.8,1,0,runs ALONG the wadi - H1a condition 1 fails
X000211,2,37.69,83.3,1,3,1.3,0,0,crossing
X000212,4,90.66,75.5,1,5,1.3,0,0,crossing
X000213,2,58.85,52.0,0,3,2.07,1,0,runs ALONG the wadi - H1a condition 1 fails
X000214,6,134.45,27.6,0,7,6.68,1,0,runs ALONG the wadi - H1a condition 1 fails
X000215,7,131.58,6.3,0,8,7.54,1,0,runs ALONG the wadi - H1a condition 1 fails
X000216,1,21.94,60.2,0,2,7.57,1,0,runs ALONG the wadi - H1a condition 1 fails
X000217,9,196.81,27.4,0,10,2.13,1,0,runs ALONG the wadi - H1a condition 1 fails
X000218,1,23.3,18.3,0,2,11.47,1,0,runs ALONG the wadi - H1a condition 1 fails
X000219,16,412.52,49.6,0,17,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000220,1,25.65,33.2,0,2,4.59,1,0,runs ALONG the wadi - H1a condition 1 fails
X000221,1,28.26,40.4,0,2,3.08,1,0,runs ALONG the wadi - H1a condition 1 fails
X000222,2,49.79,30.2,0,3,6.27,1,0,runs ALONG the wadi - H1a condition 1 fails
X000223,8,184.0,79.4,1,9,9.92,1,0,crossing
X000224,1,24.19,89.2,1,2,1.45,0,0,crossing
X000225,1,24.09,20.7,0,2,6.02,1,0,runs ALONG the wadi - H1a condition 1 fails
X000226,7,161.81,11.9,0,8,1.42,0,0,runs ALONG the wadi - H1a condition 1 fails
X000227,2,42.54,28.5,0,3,15.32,1,0,runs ALONG the wadi - H1a condition 1 fails
X000228,14,362.64,24.5,0,15,3.02,1,0,runs ALONG the wadi - H1a condition 1 fails
X000229,4,92.51,41.2,0,5,6.66,1,0,runs ALONG the wadi - H1a condition 1 fails
X000230,4,94.08,72.9,1,5,4.28,1,0,crossing
X000231,13,287.7,18.4,0,14,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000232,5,118.41,85.6,1,6,1.3,0,0,crossing
X000233,1,15.04,83.8,1,2,2.59,1,0,crossing
X000234,2,42.51,78.1,1,3,2.6,1,0,crossing
X000235,12,310.32,4.0,0,13,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000236,7,146.38,46.0,0,8,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000237,6,163.35,49.5,0,7,7.38,1,0,runs ALONG the wadi - H1a condition 1 fails
X000238,5,118.47,88.5,1,6,1.42,0,0,crossing
X000239,3,78.57,47.5,0,4,1.46,0,0,runs ALONG the wadi - H1a condition 1 fails
X000240,1,27.67,85.9,1,2,7.1,1,0,crossing
X000241,4,97.6,68.2,1,5,1.3,0,0,crossing
X000242,1,26.5,43.1,0,2,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000243,14,354.97,22.6,0,15,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000244,1,24.9,86.5,1,2,1.3,0,0,crossing
X000245,6,162.33,29.1,0,7,2.49,1,0,runs ALONG the wadi - H1a condition 1 fails
X000246,2,49.17,86.1,1,3,1.3,0,0,crossing
X000247,6,146.91,56.3,0,7,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000248,6,171.06,15.1,0,7,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000249,2,56.58,56.7,0,3,3.37,1,0,runs ALONG the wadi - H1a condition 1 fails
X000250,1,22.18,89.1,1,2,2.78,1,0,crossing
X000251,8,216.15,17.5,0,9,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000252,8,200.77,19.7,0,9,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000253,6,80.11,32.6,0,7,1.63,1,0,runs ALONG the wadi - H1a condition 1 fails
X000254,14,308.36,75.4,1,15,1.69,1,0,crossing
X000255,14,276.65,35.1,0,15,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000256,6,104.89,48.5,0,7,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000257,3,48.71,79.2,1,4,3.15,1,0,crossing
X000258,5,107.19,85.0,1,6,1.3,0,0,crossing
X000259,3,80.34,74.4,1,4,1.3,0,0,crossing
X000260,8,210.66,38.3,0,9,2.56,1,0,runs ALONG the wadi - H1a condition 1 fails
X000261,7,183.88,16.8,0,8,1.74,1,0,runs ALONG the wadi - H1a condition 1 fails
X000262,13,321.33,3.6,0,14,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000263,2,53.81,14.7,0,3,1.63,1,0,runs ALONG the wadi - H1a condition 1 fails
X000264,3,87.22,9.8,0,4,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000265,4,83.21,14.5,0,5,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000266,3,66.32,32.5,0,4,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000267,9,239.24,15.9,0,10,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000268,2,50.75,80.2,1,3,1.77,1,0,crossing
X000269,13,336.98,42.4,0,14,3.55,1,0,runs ALONG the wadi - H1a condition 1 fails
X000270,1,26.06,3.2,0,2,4.95,1,0,runs ALONG the wadi - H1a condition 1 fails
X000271,4,88.33,4.1,0,5,4.51,1,0,runs ALONG the wadi - H1a condition 1 fails
X000272,5,129.11,76.5,1,6,1.3,0,0,crossing
X000273,6,161.98,30.5,0,7,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000274,7,185.14,2.8,0,8,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000275,1,24.19,40.7,0,2,1.58,1,0,runs ALONG the wadi - H1a condition 1 fails
X000276,3,64.58,79.7,1,4,1.3,0,0,crossing
X000277,1,28.2,9.0,0,2,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000278,2,56.59,67.2,1,3,1.76,1,0,crossing
X000279,1,29.33,89.9,1,2,6.15,1,0,crossing
X000280,2,58.65,35.3,0,3,6.01,1,0,runs ALONG the wadi - H1a condition 1 fails
X000281,8,234.54,13.3,0,9,5.62,1,0,runs ALONG the wadi - H1a condition 1 fails
X000282,4,117.16,12.4,0,5,6.32,1,0,runs ALONG the wadi - H1a condition 1 fails
X000283,3,89.41,16.8,0,4,7.77,1,0,runs ALONG the wadi - H1a condition 1 fails
X000284,8,211.4,36.9,0,9,1.51,1,0,runs ALONG the wadi - H1a condition 1 fails
X000285,1,25.96,39.0,0,2,4.29,1,0,runs ALONG the wadi - H1a condition 1 fails
X000286,5,117.76,43.6,0,6,4.04,1,0,runs ALONG the wadi - H1a condition 1 fails
X000287,6,173.1,47.9,0,7,2.41,1,0,runs ALONG the wadi - H1a condition 1 fails
X000288,1,29.49,37.7,0,2,2.29,1,0,runs ALONG the wadi - H1a condition 1 fails
X000289,3,73.09,86.8,1,4,4.41,1,0,crossing
X000290,1,27.94,41.5,0,2,2.13,1,0,runs ALONG the wadi - H1a condition 1 fails
X000291,2,49.21,33.3,0,3,3.08,1,0,runs ALONG the wadi - H1a condition 1 fails
X000292,1,25.05,78.6,1,2,5.92,1,0,crossing
X000293,1,29.53,57.9,0,2,6.27,1,0,runs ALONG the wadi - H1a condition 1 fails
X000294,3,82.78,52.2,0,4,3.42,1,0,runs ALONG the wadi - H1a condition 1 fails
X000295,1,22.51,13.7,0,2,3.11,1,0,runs ALONG the wadi - H1a condition 1 fails
X000296,3,62.66,77.2,1,4,2.21,1,0,crossing
X000297,17,483.86,6.5,0,18,12.26,1,0,runs ALONG the wadi - H1a condition 1 fails
X000298,8,231.92,22.2,0,9,7.28,1,0,runs ALONG the wadi - H1a condition 1 fails
X000299,18,475.38,32.0,0,19,7.34,1,0,runs ALONG the wadi - H1a condition 1 fails
X000300,2,53.67,13.1,0,3,4.57,1,0,runs ALONG the wadi - H1a condition 1 fails
X000301,1,27.56,74.5,1,2,1.78,1,0,crossing
X000302,3,76.09,48.7,0,4,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000303,5,144.34,8.0,0,6,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000304,3,84.89,25.2,0,4,3.2,1,0,runs ALONG the wadi - H1a condition 1 fails
X000305,3,86.4,4.7,0,4,1.52,1,0,runs ALONG the wadi - H1a condition 1 fails
X000306,1,29.99,40.8,0,2,7.77,1,0,runs ALONG the wadi - H1a condition 1 fails
X000307,8,227.24,17.3,0,9,3.33,1,0,runs ALONG the wadi - H1a condition 1 fails
X000308,2,56.81,17.3,0,3,3.24,1,0,runs ALONG the wadi - H1a condition 1 fails
X000309,11,315.74,50.5,0,12,2.37,1,0,runs ALONG the wadi - H1a condition 1 fails
X000310,2,57.14,48.9,0,3,4.21,1,0,runs ALONG the wadi - H1a condition 1 fails
X000311,5,144.66,41.6,0,6,4.94,1,0,runs ALONG the wadi - H1a condition 1 fails
X000312,12,349.42,1.1,0,13,10.65,1,0,runs ALONG the wadi - H1a condition 1 fails
X000313,2,52.24,83.0,1,3,1.7,1,0,crossing
X000314,6,156.45,39.0,0,7,2.09,1,0,runs ALONG the wadi - H1a condition 1 fails
X000315,1,26.18,80.7,1,2,1.31,0,0,crossing
X000316,2,49.56,22.6,0,3,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000317,27,640.53,46.6,0,28,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000318,1,26.09,47.7,0,2,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000319,1,26.29,75.6,1,2,1.62,1,0,crossing
X000320,28,734.54,78.1,1,29,2.02,1,0,crossing
X000321,13,376.82,20.4,0,14,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000322,15,397.45,16.0,0,16,2.79,1,0,runs ALONG the wadi - H1a condition 1 fails
X000323,11,302.0,22.6,0,12,1.78,1,0,runs ALONG the wadi - H1a condition 1 fails
X000324,57,1618.4,32.4,0,58,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000325,10,222.21,90.0,1,11,1.3,0,0,crossing
X000326,2,52.7,84.6,1,3,1.3,0,0,crossing
X000327,4,112.37,82.5,1,5,1.32,0,0,crossing
X000328,17,451.45,49.4,0,18,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000329,7,163.4,85.2,1,8,1.31,0,0,crossing
X000330,6,152.19,33.8,0,7,1.84,1,0,runs ALONG the wadi - H1a condition 1 fails
X000331,2,30.52,84.7,1,3,1.3,0,0,crossing
X000332,1,14.47,64.8,0,2,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000333,2,47.83,66.5,1,3,2.04,1,0,crossing
X000334,6,118.59,67.6,1,7,1.3,0,0,crossing
X000335,7,166.44,41.8,0,8,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000336,4,93.19,69.4,1,5,1.56,1,0,crossing
X000337,5,142.37,31.7,0,6,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000338,1,28.15,13.0,0,2,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000339,4,113.85,61.2,0,5,2.16,1,0,runs ALONG the wadi - H1a condition 1 fails
X000340,4,99.39,29.8,0,5,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000341,4,101.51,53.7,0,5,2.55,1,0,runs ALONG the wadi - H1a condition 1 fails
X000342,19,539.31,60.4,0,20,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000343,1,14.8,44.1,0,2,1.45,0,0,runs ALONG the wadi - H1a condition 1 fails
X000344,1,28.87,86.9,1,2,1.8,1,0,crossing
X000345,2,48.8,34.0,0,3,1.43,0,0,runs ALONG the wadi - H1a condition 1 fails
X000346,19,520.49,3.5,0,20,1.83,1,0,runs ALONG the wadi - H1a condition 1 fails
X000347,7,173.45,21.9,0,8,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000348,2,49.85,26.0,0,3,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000349,7,170.04,78.3,1,8,3.55,1,0,crossing
X000350,1,29.98,84.2,1,2,1.31,0,0,crossing
X000351,1,13.81,29.0,0,2,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000352,7,141.06,63.3,0,8,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000353,2,50.14,56.7,0,3,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000354,5,116.64,41.4,0,6,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000355,1,26.82,72.5,1,2,2.45,1,0,crossing
X000356,2,58.57,88.5,1,3,1.3,0,0,crossing
X000357,14,373.62,31.2,0,15,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000358,1,29.45,24.4,0,2,2.35,1,0,runs ALONG the wadi - H1a condition 1 fails
X000359,12,318.66,39.2,0,13,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000360,1,21.38,37.7,0,2,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000361,2,51.76,74.4,1,3,1.31,0,0,crossing
