NODE,BREACH,HOPS_UP,STEPPED_OFF_DROP,COVER_M,BREACH_COVER_M,ON_UPHILL,UPHILL_M,UPHILL_RISE_M,GRD_M,SUBNET
N0035621,N0035622,1,0,9.195943035375024,15.740398619359382,0,0.0,0.0,425.116943359375,S012
N0035913,N0035914,1,0,6.9452778490156675,14.407757200578146,0,0.0,0.0,344.68896484375,S005
N0035944,N0035945,1,0,6.576251878390508,13.639825370578023,0,0.0,0.0,350.9208679199219,S005
N0036315,N0036316,1,0,10.162854976671838,16.09699317589059,0,0.0,0.0,343.3658142089844,S016
N0036323,N0036324,1,0,8.013929330828205,14.055945922625085,0,0.0,0.0,337.6407775878906,S016
N0036369,N0036370,1,0,10.838750158375035,16.704892289234408,1,22.904632000000003,0.139984130859375,340.70306396484375,S016
N0036382,N0036383,1,0,11.928058076171908,17.22617194726564,0,0.0,0.0,340.86431884765625,S016
N0036547,N0036548,1,0,8.178883232421867,14.605160263671848,0,0.0,0.0,328.3298645019531,S004
N0036598,N0036599,1,0,7.999310725656245,15.768831850656227,1,58.42179399999999,0.920745849609375,335.6753234863281,S016
N0000528,N0036645,1,0,11.81852198062478,12.196467676484133,1,26.107938,0.247406005859375,331.20458984375,S016
N0036828,N0036829,1,0,10.445485135906381,13.458136303875108,0,0.0,0.0,361.1150207519531,S002
N0036954,N0036955,1,0,11.664105892422015,17.178620011562657,0,0.0,0.0,343.3702697753906,S003
N0037077,N0037078,1,0,7.342766086250208,14.206344781562734,0,0.0,0.0,334.86309814453125,S003
N0037093,N0037094,1,0,7.295926153874973,14.317382440984375,0,0.0,0.0,335.0790100097656,S003
N0037353,N0037354,1,0,6.555469113609263,12.966602644859279,0,0.0,0.0,320.64910888671875,S004
N0037718,N0037719,1,0,8.169300287187525,13.005926656328143,1,18.937692,0.102203369140625,379.2360534667969,S006
N0038177,N0038178,1,0,6.864539134765664,12.520448148437538,1,22.10618,0.129364013671875,379.0404968261719,S001
