LABEL,DIA_MM,SLOPE_PMIL,OUR_Q_LS,OUR_V_MS,OUR_DOD,SG_Q_LS,SG_V_MS,SG_DOD,DQ_PCT,DV_PCT
P-0039,200,5.0,0.13,0.192,0.059,,,,,
P-0040,200,5.0,0.0,0.028,0.007,,,,,
P-0041,200,5.0,0.21,0.225,0.074,,,,,
P-0042,200,5.0,0.17,0.209,0.067,,,,,
P-0043,200,5.0,0.13,0.19,0.059,,,,,
P-0044,200,5.0,0.55,0.306,0.115,,,,,
P-0045,200,5.0,0.38,0.272,0.097,,,,,
P-0046,200,14.898,0.0,0.046,0.006,,,,,
P-0047,200,6.146,0.0,0.032,0.007,,,,,
P-0048,200,5.0,0.0,0.026,0.006,,,,,
P-0049,200,5.0,0.0,0.034,0.008,,,,,
P-0050,200,5.0,1.17,0.389,0.166,,,,,
P-0051,200,5.0,0.59,0.315,0.12,,,,,
P-0052,200,5.0,0.59,0.314,0.12,,,,,
P-0053,200,5.0,0.59,0.314,0.12,,,,,
P-0054,200,5.0,0.13,0.192,0.06,,,,,
P-0055,200,5.0,0.13,0.192,0.059,,,,,
P-0056,200,5.0,0.0,0.031,0.007,,,,,
P-0057,200,5.0,0.08,0.167,0.049,,,,,
P-0058,200,7.528,0.0,0.028,0.005,,,,,
P-0059,200,5.0,0.38,0.272,0.097,,,,,
P-0060,200,5.0,0.0,0.025,0.006,,,,,
P-0061,200,5.0,7.67,0.671,0.43,,,,,
P-0062,200,13.579,0.13,0.268,0.047,,,,,
P-0063,200,5.412,0.5,0.306,0.109,,,,,
P-0064,200,5.0,0.13,0.193,0.06,,,,,
P-0065,200,5.0,0.04,0.133,0.037,,,,,
P-0066,200,5.0,0.04,0.134,0.037,,,,,
P-0067,200,5.0,0.13,0.191,0.059,,,,,
P-0068,200,5.0,0.04,0.131,0.036,,,,,
P-0069,200,5.0,0.04,0.132,0.036,,,,,
P-0070,200,9.164,0.04,0.162,0.031,,,,,
P-0071,200,5.0,0.04,0.132,0.036,,,,,
P-0072,200,5.0,0.67,0.326,0.127,,,,,
P-0073,200,5.0,0.79,0.344,0.137,,,,,
P-0074,200,5.0,1.33,0.404,0.176,,,,,
P-0075,200,5.0,1.62,0.429,0.194,,,,,
P-0076,200,5.0,2.92,0.511,0.259,,,,,
P-0077,200,5.0,3.05,0.518,0.264,,,,,
P-0078,200,5.0,1.83,0.445,0.206,,,,,
P-0079,200,5.0,1.88,0.448,0.208,,,,,
P-0080,200,7.976,0.63,0.376,0.11,,,,,
P-0081,200,7.366,0.67,0.373,0.116,,,,,
P-0082,200,5.0,4.83,0.591,0.335,,,,,
P-0083,200,5.0,5.01,0.597,0.341,,,,,
P-0084,200,5.0,0.96,0.365,0.151,,,,,
P-0085,200,5.0,1.05,0.375,0.157,,,,,
P-0086,200,5.0,0.08,0.167,0.049,,,,,
P-0087,200,5.0,0.33,0.262,0.092,,,,,
P-0088,200,5.0,0.88,0.355,0.144,,,,,
P-0089,200,5.0,1.0,0.37,0.154,,,,,
P-0090,200,5.0,1.17,0.388,0.165,,,,,
P-0091,200,5.0,0.58,0.313,0.119,,,,,
P-0092,200,5.0,0.75,0.338,0.134,,,,,
P-0093,200,5.0,0.42,0.281,0.102,,,,,
P-0094,200,5.0,0.46,0.29,0.106,,,,,
P-0095,200,5.0,0.5,0.298,0.111,,,,,
P-0096,200,5.0,8.55,0.691,0.457,,,,,
P-0097,200,5.0,4.91,0.594,0.338,,,,,
P-0098,200,5.0,4.99,0.596,0.341,,,,,
P-0099,200,5.0,5.41,0.61,0.356,,,,,
P-0100,200,5.0,0.71,0.333,0.13,,,,,
P-0101,200,13.756,0.04,0.187,0.029,,,,,
P-0102,200,18.196,0.04,0.204,0.027,,,,,
P-0103,200,13.956,0.08,0.236,0.039,,,,,
P-0104,200,5.0,4.46,0.578,0.321,,,,,
P-0105,200,5.0,4.31,0.572,0.316,,,,,
P-0106,200,5.0,4.35,0.574,0.317,,,,,
P-0107,200,21.218,0.21,0.369,0.053,,,,,
P-0108,200,5.0,0.21,0.225,0.074,,,,,
P-0109,200,21.264,0.71,0.549,0.092,,,,,
P-0110,200,5.0,0.33,0.262,0.092,,,,,
P-0111,200,13.055,0.42,0.392,0.081,,,,,
P-0112,200,5.461,2.58,0.509,0.238,,,,,
P-0113,200,5.0,2.0,0.457,0.214,,,,,
P-0114,200,5.0,2.33,0.478,0.231,,,,,
P-0115,200,5.0,7.67,0.671,0.43,,,,,
P-0116,200,5.0,7.77,0.673,0.433,,,,,
P-0117,200,5.0,2.29,0.476,0.229,,,,,
P-0118,200,5.0,2.38,0.481,0.233,,,,,
P-0119,200,5.0,0.75,0.338,0.134,,,,,
P-0120,200,5.0,1.04,0.375,0.156,,,,,
P-0121,200,5.0,0.46,0.29,0.106,,,,,
P-0122,200,5.0,0.92,0.36,0.147,,,,,
P-0123,200,10.983,0.0,0.022,0.004,,,,,
P-0124,200,5.0,0.0,0.014,0.004,,,,,
P-0125,200,6.133,0.0,0.018,0.004,,,,,
P-0126,200,6.432,0.0,0.02,0.004,,,,,
P-0127,200,6.433,0.0,0.021,0.005,,,,,
P-0128,200,6.433,0.04,0.143,0.034,,,,,
P-0129,200,5.0,0.04,0.132,0.036,,,,,
P-0130,200,16.399,0.0,0.025,0.004,,,,,
P-0131,200,5.0,0.54,0.305,0.115,,,,,
P-0132,200,5.0,0.83,0.349,0.141,,,,,
P-0133,200,5.0,1.12,0.384,0.162,,,,,
P-0134,200,5.0,0.46,0.29,0.106,,,,,
P-0135,200,5.0,3.21,0.526,0.271,,,,,
P-0136,200,10.791,0.04,0.171,0.03,,,,,
P-0137,200,5.0,0.96,0.365,0.15,,,,,
P-0138,200,5.0,4.32,0.572,0.316,,,,,
P-0139,200,26.994,0.08,0.295,0.033,,,,,
P-0140,200,5.0,0.33,0.262,0.092,,,,,
P-0141,200,5.0,3.01,0.515,0.263,,,,,
P-0142,200,5.0,3.84,0.554,0.297,,,,,
P-0143,200,5.0,8.82,0.696,0.465,,,,,
P-0144,200,5.0,8.88,0.697,0.467,,,,,
P-0145,200,5.0,9.48,0.709,0.485,,,,,
P-0146,200,5.0,0.76,0.34,0.135,,,,,
P-0147,200,5.0,0.76,0.34,0.135,,,,,
P-0148,200,5.0,3.26,0.528,0.273,,,,,
P-0149,200,6.435,0.04,0.144,0.034,,,,,
P-0150,200,5.0,0.04,0.132,0.036,,,,,
P-0151,200,5.0,0.04,0.133,0.036,,,,,
P-0152,200,5.0,0.04,0.134,0.037,,,,,
P-0153,200,5.0,0.04,0.134,0.037,,,,,
P-0154,200,5.0,0.09,0.168,0.05,,,,,
P-0155,200,5.0,0.09,0.169,0.05,,,,,
P-0156,200,5.0,0.09,0.169,0.05,,,,,
P-0157,200,5.0,0.09,0.17,0.05,,,,,
P-0158,200,5.0,0.09,0.17,0.051,,,,,
P-0159,200,5.0,0.09,0.171,0.051,,,,,
P-0160,200,5.0,0.09,0.171,0.051,,,,,
P-0161,200,5.0,0.09,0.172,0.051,,,,,
P-0162,200,5.0,9.56,0.711,0.487,,,,,
P-0163,200,5.0,0.0,0.033,0.008,,,,,
P-0164,200,5.0,0.22,0.227,0.075,,,,,
P-0165,200,5.0,0.22,0.227,0.075,,,,,
P-0166,200,5.0,0.3,0.253,0.087,,,,,
P-0167,200,26.481,0.75,0.604,0.09,,,,,
P-0168,200,15.064,0.25,0.349,0.062,,,,,
P-0169,200,5.0,0.0,0.059,0.014,,,,,
P-0170,200,5.0,0.01,0.062,0.015,,,,,
P-0171,200,5.0,0.25,0.239,0.08,,,,,
P-0172,200,5.0,0.25,0.239,0.08,,,,,
P-0173,200,5.0,0.33,0.262,0.092,,,,,
P-0174,200,5.0,0.42,0.282,0.102,,,,,
P-0175,200,5.0,0.46,0.29,0.107,,,,,
P-0176,500,1.55,69.18,0.743,0.48,,,,,
P-0177,200,5.0,0.79,0.344,0.137,,,,,
P-0178,200,5.0,0.04,0.132,0.036,,,,,
P-0179,200,5.0,0.25,0.239,0.08,,,,,
P-0180,200,5.0,0.5,0.298,0.111,,,,,
P-0181,200,5.0,0.67,0.326,0.127,,,,,
P-0182,200,5.0,1.96,0.454,0.212,,,,,
P-0183,200,5.0,0.04,0.132,0.036,,,,,
P-0184,200,5.0,0.33,0.262,0.092,,,,,
P-0185,200,5.0,9.14,0.703,0.474,,,,,
P-0186,200,5.0,7.5,0.667,0.424,,,,,
P-0187,200,5.0,7.57,0.669,0.426,,,,,
P-0188,200,5.0,0.0,0.012,0.004,,,,,
P-0189,200,6.858,0.08,0.185,0.046,,,,,
P-0190,200,5.0,2.04,0.46,0.217,,,,,
P-0191,200,13.39,1.17,0.548,0.13,,,,,
P-0192,200,30.238,0.83,0.653,0.092,,,,,
P-0193,200,27.087,0.38,0.486,0.065,,,,,
P-0194,200,18.117,1.92,0.71,0.153,,,,,
P-0195,200,8.182,1.96,0.54,0.188,,,,,
P-0196,200,13.353,2.04,0.65,0.17,,,,,
P-0197,200,11.894,4.39,0.785,0.255,,,,,
P-0198,200,14.768,4.39,0.848,0.241,,,,,
P-0199,200,16.5,4.43,0.884,0.236,,,,,
P-0200,200,5.0,1.46,0.416,0.184,,,,,
P-0201,200,5.0,1.13,0.384,0.162,,,,,
P-0202,200,5.0,0.25,0.239,0.08,,,,,
P-0203,200,27.684,0.21,0.404,0.05,,,,,
P-0204,200,5.0,0.25,0.239,0.08,,,,,
P-0205,200,5.0,3.64,0.545,0.289,,,,,
P-0206,200,5.0,0.04,0.131,0.036,,,,,
P-0207,200,5.0,0.04,0.131,0.036,,,,,
P-0208,200,5.0,3.55,0.541,0.286,,,,,
P-0209,200,5.0,3.63,0.545,0.289,,,,,
P-0210,200,5.0,3.46,0.537,0.282,,,,,
P-0211,200,5.0,2.51,0.489,0.24,,,,,
P-0212,200,9.887,0.88,0.451,0.122,,,,,
P-0213,200,5.0,0.83,0.35,0.141,,,,,
P-0214,200,5.0,0.92,0.36,0.147,,,,,
P-0215,200,6.086,0.25,0.256,0.077,,,,,
P-0216,200,5.0,0.29,0.251,0.086,,,,,
P-0217,200,5.0,0.42,0.281,0.102,,,,,
P-0218,200,6.222,0.25,0.257,0.076,,,,,
P-0219,200,5.0,0.17,0.209,0.067,,,,,
P-0220,200,5.0,0.08,0.166,0.049,,,,,
P-0221,250,3.75,18.69,0.753,0.556,,,,,
P-0222,250,3.75,18.69,0.753,0.556,,,,,
P-0223,200,10.668,0.29,0.326,0.072,,,,,
P-0224,200,5.0,1.29,0.4,0.174,,,,,
P-0225,200,5.0,0.79,0.344,0.137,,,,,
P-0226,200,5.0,0.79,0.344,0.137,,,,,
P-0227,200,5.0,0.46,0.29,0.106,,,,,
P-0228,200,5.0,0.17,0.209,0.067,,,,,
P-0229,200,5.0,1.25,0.396,0.171,,,,,
P-0230,200,5.0,0.71,0.332,0.13,,,,,
P-0231,200,5.0,0.29,0.251,0.086,,,,,
P-0232,200,5.0,0.13,0.19,0.059,,,,,
P-0233,200,5.0,1.09,0.379,0.159,,,,,
P-0234,200,5.0,1.13,0.384,0.162,,,,,
P-0235,200,5.0,0.08,0.166,0.049,,,,,
P-0236,200,5.0,1.25,0.396,0.171,,,,,
P-0237,200,5.0,0.59,0.314,0.12,,,,,
P-0238,200,5.0,0.51,0.299,0.112,,,,,
P-0239,200,5.0,0.13,0.19,0.059,,,,,
P-0240,200,5.0,0.13,0.19,0.059,,,,,
P-0241,200,5.0,0.17,0.209,0.067,,,,,
P-0242,200,6.631,0.17,0.231,0.063,,,,,
P-0243,200,14.664,0.08,0.24,0.038,,,,,
P-0244,200,14.293,0.21,0.323,0.058,,,,,
P-0245,200,14.419,0.17,0.301,0.052,,,,,
P-0246,200,10.805,0.0,0.055,0.008,,,,,
P-0247,200,10.781,0.0,0.063,0.01,,,,,
P-0248,200,10.708,0.0,0.07,0.011,,,,,
P-0249,200,5.0,0.38,0.273,0.097,,,,,
P-0250,200,5.0,0.38,0.273,0.097,,,,,
P-0251,200,13.643,1.92,0.642,0.164,,,,,
P-0252,200,13.101,1.92,0.633,0.166,,,,,
P-0253,200,21.255,1.92,0.75,0.148,,,,,
P-0254,200,6.911,0.75,0.379,0.124,,,,,
P-0255,200,26.388,0.17,0.369,0.046,,,,,
P-0256,200,9.938,0.5,0.378,0.094,,,,,
P-0257,200,16.438,0.67,0.493,0.095,,,,,
P-0258,200,5.0,1.79,0.442,0.203,,,,,
P-0259,315,2.7,33.98,0.767,0.612,,,,,
P-0260,315,2.7,34.01,0.768,0.612,,,,,
P-0261,200,10.669,1.79,0.577,0.169,,,,,
P-0262,200,13.141,2.04,0.646,0.171,,,,,
P-0263,200,5.0,2.25,0.473,0.227,,,,,
P-0264,200,7.268,2.29,0.543,0.209,,,,,
P-0265,200,5.0,1.41,0.411,0.181,,,,,
P-0266,200,5.0,1.29,0.4,0.173,,,,,
P-0267,200,5.0,1.3,0.401,0.174,,,,,
P-0268,200,5.0,1.46,0.416,0.184,,,,,
P-0269,200,5.0,1.59,0.426,0.192,,,,,
P-0270,200,5.0,1.72,0.436,0.199,,,,,
P-0271,200,5.0,1.05,0.375,0.157,,,,,
P-0272,200,15.243,1.09,0.56,0.122,,,,,
P-0273,200,5.0,1.09,0.38,0.16,,,,,
P-0274,200,34.314,0.96,0.713,0.095,,,,,
P-0275,200,5.0,1.05,0.375,0.157,,,,,
P-0276,200,5.0,7.03,0.655,0.409,,,,,
P-0277,200,5.0,0.37,0.272,0.097,,,,,
P-0278,200,6.669,0.58,0.346,0.111,,,,,
P-0279,200,5.0,6.41,0.639,0.389,,,,,
P-0280,200,5.0,3.71,0.548,0.292,,,,,
P-0281,200,5.0,3.96,0.558,0.302,,,,,
P-0282,200,5.0,0.75,0.338,0.134,,,,,
P-0283,200,6.836,0.54,0.341,0.107,,,,,
P-0284,200,5.0,0.5,0.298,0.111,,,,,
P-0285,200,6.668,0.38,0.3,0.09,,,,,
P-0286,200,5.0,0.08,0.166,0.049,,,,,
P-0287,200,5.0,0.25,0.239,0.08,,,,,
P-0288,200,5.0,0.13,0.19,0.059,,,,,
P-0289,200,10.234,0.0,0.029,0.005,,,,,
P-0290,200,5.0,0.21,0.225,0.074,,,,,
P-0291,200,5.0,0.29,0.251,0.086,,,,,
P-0292,200,5.0,3.55,0.541,0.286,,,,,
P-0293,200,5.0,0.62,0.319,0.123,,,,,
P-0294,200,5.0,0.96,0.365,0.15,,,,,
P-0295,200,5.0,1.58,0.426,0.191,,,,,
P-0296,200,5.0,0.04,0.131,0.036,,,,,
P-0297,200,5.0,0.13,0.19,0.059,,,,,
P-0298,200,5.0,0.33,0.262,0.092,,,,,
P-0299,200,5.0,0.46,0.29,0.106,,,,,
P-0300,200,5.0,2.25,0.473,0.227,,,,,
P-0301,200,5.0,2.08,0.463,0.219,,,,,
P-0302,200,5.0,1.21,0.392,0.168,,,,,
P-0303,200,5.0,2.75,0.502,0.251,,,,,
P-0304,200,14.506,1.79,0.643,0.157,,,,,
P-0305,200,10.567,0.75,0.439,0.112,,,,,
P-0306,200,12.074,0.38,0.369,0.079,,,,,
P-0307,200,5.0,0.96,0.365,0.15,,,,,
P-0308,200,18.644,0.17,0.328,0.049,,,,,
P-0309,200,10.188,1.5,0.538,0.157,,,,,
P-0310,200,5.0,1.67,0.433,0.196,,,,,
P-0311,200,5.0,4.89,0.593,0.337,,,,,
P-0312,200,5.0,4.39,0.575,0.319,,,,,
P-0313,200,5.0,4.5,0.579,0.323,,,,,
P-0314,200,17.265,0.17,0.319,0.05,,,,,
P-0315,200,10.289,0.29,0.322,0.073,,,,,
P-0316,200,5.0,0.5,0.298,0.111,,,,,
P-0317,200,5.431,0.58,0.322,0.117,,,,,
P-0318,200,20.522,0.67,0.532,0.091,,,,,
P-0319,200,5.0,0.75,0.339,0.134,,,,,
P-0320,200,5.0,0.58,0.313,0.119,,,,,
P-0321,200,21.633,0.79,0.572,0.097,,,,,
P-0322,200,5.0,0.92,0.36,0.147,,,,,
P-0323,200,5.0,1.04,0.375,0.156,,,,,
P-0324,200,13.5,1.33,0.572,0.138,,,,,
P-0325,200,5.0,3.08,0.519,0.266,,,,,
P-0326,200,5.0,2.67,0.498,0.247,,,,,
P-0327,200,7.491,2.37,0.555,0.211,,,,,
P-0328,200,5.0,2.58,0.493,0.243,,,,,
P-0329,200,5.0,7.55,0.668,0.426,,,,,
P-0330,200,5.0,4.99,0.596,0.341,,,,,
P-0331,200,5.0,3.3,0.53,0.275,,,,,
P-0332,200,5.0,3.39,0.534,0.279,,,,,
P-0333,200,5.0,3.47,0.538,0.282,,,,,
P-0334,200,5.0,3.6,0.543,0.288,,,,,
P-0335,200,5.0,1.67,0.432,0.196,,,,,
P-0336,200,10.66,1.51,0.547,0.155,,,,,
P-0337,200,10.418,1.51,0.543,0.156,,,,,
P-0338,200,5.0,0.67,0.326,0.127,,,,,
P-0339,200,5.0,0.83,0.35,0.141,,,,,
P-0340,200,5.0,0.17,0.209,0.067,,,,,
P-0341,200,5.0,0.33,0.262,0.092,,,,,
P-0342,200,5.0,0.42,0.281,0.102,,,,,
P-0343,200,5.0,0.67,0.326,0.126,,,,,
P-0344,200,5.0,0.08,0.166,0.049,,,,,
P-0345,200,5.0,0.0,0.017,0.004,,,,,
P-0346,200,5.0,0.08,0.166,0.049,,,,,
P-0347,200,5.0,0.0,0.011,0.003,,,,,
P-0348,200,6.781,0.0,0.015,0.004,,,,,
P-0349,200,6.748,0.04,0.145,0.034,,,,,
P-0350,200,5.0,0.13,0.191,0.059,,,,,
P-0351,200,5.0,10.67,0.73,0.52,,,,,
P-0352,200,5.0,10.67,0.73,0.52,,,,,
P-0353,200,5.0,10.67,0.73,0.52,,,,,
P-0354,200,5.0,10.51,0.728,0.515,,,,,
P-0355,200,5.0,0.17,0.209,0.067,,,,,
P-0356,200,5.0,0.42,0.281,0.102,,,,,
P-0357,200,5.0,0.62,0.319,0.123,,,,,
P-0358,200,5.0,0.71,0.332,0.13,,,,,
P-0359,200,5.0,2.79,0.505,0.253,,,,,
P-0360,200,5.0,2.92,0.511,0.259,,,,,
P-0361,200,5.0,2.42,0.483,0.236,,,,,
P-0362,200,6.001,0.33,0.279,0.088,,,,,
P-0363,200,5.0,0.63,0.32,0.123,,,,,
P-0364,200,5.0,4.39,0.575,0.319,,,,,
P-0365,200,5.0,4.46,0.578,0.321,,,,,
P-0366,200,13.062,0.05,0.187,0.03,,,,,
P-0367,200,7.266,1.21,0.448,0.154,,,,,
P-0368,200,5.0,0.38,0.272,0.097,,,,,
P-0369,200,5.0,0.46,0.29,0.106,,,,,
P-0370,200,6.594,0.5,0.328,0.104,,,,,
P-0371,200,5.0,0.58,0.313,0.119,,,,,
P-0372,200,5.0,0.55,0.306,0.115,,,,,
P-0373,200,5.0,0.05,0.136,0.037,,,,,
P-0374,200,5.0,0.17,0.211,0.068,,,,,
P-0375,200,10.814,0.25,0.313,0.068,,,,,
P-0376,200,5.0,9.59,0.711,0.488,,,,,
P-0377,200,5.0,9.63,0.712,0.489,,,,,
P-0378,600,1.459,76.6,0.741,0.394,,,,,
P-0379,200,18.012,0.46,0.451,0.079,,,,,
P-0380,200,16.893,0.25,0.362,0.06,,,,,
P-0381,200,13.741,0.71,0.472,0.102,,,,,
P-0382,200,74.479,0.04,0.324,0.02,,,,,
P-0383,200,5.0,1.08,0.379,0.159,,,,,
P-0384,200,5.0,0.25,0.238,0.08,,,,,
P-0385,200,5.0,0.33,0.262,0.092,,,,,
P-0386,200,6.705,0.08,0.184,0.046,,,,,
P-0387,200,33.262,0.04,0.249,0.023,,,,,
P-0388,200,23.223,0.29,0.425,0.06,,,,,
P-0389,200,8.927,0.08,0.202,0.043,,,,,
P-0390,200,23.435,0.25,0.405,0.056,,,,,
P-0391,200,9.127,0.0,0.027,0.005,,,,,
P-0392,200,5.0,0.59,0.313,0.119,,,,,
P-0393,200,9.396,0.08,0.207,0.043,,,,,
P-0394,200,21.771,0.0,0.046,0.005,,,,,
P-0395,200,16.934,0.04,0.2,0.028,,,,,
P-0396,200,14.992,0.0,0.022,0.003,,,,,
P-0397,400,5.759,76.44,1.254,0.488,,,,,
P-0398,200,24.325,0.0,0.056,0.006,,,,,
P-0399,600,1.25,76.44,0.699,0.41,,,,,
P-0400,200,8.448,0.04,0.157,0.032,,,,,
P-0401,200,11.121,0.0,0.018,0.003,,,,,
P-0402,200,14.179,0.0,0.033,0.005,,,,,
P-0403,500,1.55,69.21,0.743,0.48,,,,,
P-0404,500,1.55,69.21,0.743,0.48,,,,,
P-0405,200,12.065,0.04,0.177,0.03,,,,,
P-0406,500,1.63,68.6,0.756,0.47,,,,,
P-0407,500,2.704,69.19,0.916,0.409,,,,,
P-0408,200,5.0,0.04,0.133,0.036,,,,,
P-0409,200,5.0,0.84,0.351,0.141,,,,,
P-0410,200,5.0,0.84,0.351,0.141,,,,,
P-0411,200,5.0,0.13,0.19,0.059,,,,,
P-0412,500,1.55,68.32,0.741,0.476,,,,,
P-0413,200,5.0,0.08,0.167,0.049,,,,,
P-0414,315,2.7,29.39,0.743,0.557,,,,,
P-0415,315,2.7,29.39,0.743,0.557,,,,,
P-0416,315,2.7,29.39,0.743,0.557,,,,,
P-0417,315,2.7,29.38,0.743,0.557,,,,,
P-0418,315,2.7,29.38,0.743,0.557,,,,,
P-0419,400,2.05,44.46,0.742,0.482,,,,,
P-0420,400,2.05,44.3,0.741,0.481,,,,,
P-0421,200,10.935,0.04,0.171,0.03,,,,,
P-0422,200,5.0,0.04,0.132,0.036,,,,,
P-0423,200,5.0,0.21,0.225,0.074,,,,,
P-0424,400,2.05,40.0,0.722,0.453,,,,,
P-0425,200,7.732,0.04,0.152,0.032,,,,,
P-0426,200,5.0,5.99,0.628,0.375,,,,,
P-0427,200,5.0,5.92,0.626,0.373,,,,,
P-0428,200,27.243,0.08,0.295,0.033,,,,,
P-0429,200,13.469,0.25,0.335,0.064,,,,,
P-0430,200,5.0,5.5,0.613,0.359,,,,,
P-0431,200,5.0,5.5,0.613,0.359,,,,,
P-0432,200,5.0,5.39,0.61,0.355,,,,,
P-0433,200,5.0,5.22,0.604,0.349,,,,,
P-0434,400,2.05,39.99,0.722,0.453,,,,,
P-0435,400,2.05,39.99,0.722,0.453,,,,,
P-0436,400,2.05,39.99,0.722,0.453,,,,,
P-0437,200,5.0,5.63,0.617,0.363,,,,,
P-0438,200,5.0,5.52,0.614,0.359,,,,,
P-0439,200,5.0,5.45,0.611,0.357,,,,,
P-0440,200,5.0,0.75,0.339,0.134,,,,,
P-0441,200,5.0,0.71,0.333,0.131,,,,,
P-0442,200,5.0,0.71,0.333,0.131,,,,,
P-0443,200,5.0,0.71,0.333,0.131,,,,,
P-0444,200,5.0,0.42,0.281,0.102,,,,,
P-0445,200,5.0,2.67,0.498,0.248,,,,,
P-0446,200,5.0,0.34,0.262,0.092,,,,,
P-0447,200,5.0,0.13,0.19,0.059,,,,,
P-0448,200,5.0,0.29,0.251,0.086,,,,,
P-0449,200,5.0,0.17,0.209,0.067,,,,,
P-0450,200,31.808,0.33,0.494,0.06,,,,,
P-0451,200,5.0,0.04,0.132,0.036,,,,,
P-0452,200,5.0,0.25,0.239,0.081,,,,,
P-0453,200,5.0,0.25,0.239,0.081,,,,,
P-0454,200,5.0,0.0,0.017,0.004,,,,,
P-0455,200,5.0,9.92,0.717,0.498,,,,,
P-0456,200,66.179,0.12,0.455,0.032,,,,,
P-0457,200,5.0,0.25,0.238,0.08,,,,,
P-0458,200,5.0,0.37,0.272,0.097,,,,,
P-0459,200,5.0,0.67,0.326,0.126,,,,,
P-0460,200,5.0,0.96,0.365,0.15,,,,,
P-0461,200,5.0,5.94,0.626,0.374,,,,,
P-0462,200,5.0,0.33,0.262,0.092,,,,,
P-0463,200,5.0,0.08,0.166,0.049,,,,,
P-0464,200,5.0,0.08,0.166,0.049,,,,,
P-0465,200,5.0,4.88,0.593,0.337,,,,,
P-0466,200,5.0,4.84,0.591,0.335,,,,,
P-0467,200,5.0,0.0,0.01,0.003,,,,,
P-0468,200,5.0,0.63,0.32,0.123,,,,,
P-0469,200,5.0,0.5,0.298,0.111,,,,,
P-0470,200,12.765,0.5,0.412,0.089,,,,,
P-0471,200,15.093,0.08,0.242,0.038,,,,,
P-0472,200,21.61,0.13,0.313,0.042,,,,,
P-0473,200,5.0,4.9,0.593,0.337,,,,,
P-0474,400,2.05,39.72,0.721,0.451,,,,,
P-0475,200,5.0,0.38,0.272,0.097,,,,,
P-0476,200,5.0,0.0,0.021,0.005,,,,,
P-0477,200,8.024,0.13,0.224,0.053,,,,,
P-0478,200,6.365,0.25,0.26,0.076,,,,,
P-0479,200,5.0,0.25,0.239,0.08,,,,,
P-0480,200,5.0,0.29,0.251,0.086,,,,,
P-0481,200,5.0,0.0,0.027,0.006,,,,,
P-0482,200,5.0,0.46,0.29,0.106,,,,,
P-0483,200,5.0,2.55,0.491,0.242,,,,,
P-0484,400,2.05,39.72,0.721,0.451,,,,,
P-0485,200,5.0,0.54,0.306,0.115,,,,,
P-0486,200,5.419,0.08,0.171,0.048,,,,,
P-0487,200,5.0,0.71,0.333,0.131,,,,,
P-0488,200,5.0,0.21,0.225,0.074,,,,,
P-0489,200,44.148,0.17,0.439,0.041,,,,,
P-0490,200,53.817,0.08,0.371,0.029,,,,,
P-0491,200,5.0,0.13,0.19,0.059,,,,,
P-0492,200,53.773,0.04,0.293,0.021,,,,,
P-0493,200,15.211,0.08,0.243,0.038,,,,,
