fid,tariff,x,y,lon,lat,plot_name,plot_class,moh_class,build_st
23023,CRT Seasonal,56.5,23.2,56.458481,23.216264,CRT Seasonal,Residential,0,EXisting
23024,CRT Seasonal,56.5,23.2,56.458481,23.216264,CRT Seasonal,Residential,0,EXisting
23039,CRT Seasonal,56.4,23.3,56.388551,23.272447,CRT Seasonal,Residential,0,EXisting
23085,CRT Seasonal,56.6,23.3,56.616719,23.318665,CRT Seasonal,Residential,0,EXisting
23097,CRT Seasonal,56.6,23.3,56.608361,23.32007,CRT Seasonal,Agricultural,4,EXisting
23098,CRT Seasonal,56.6,23.3,56.552877,23.29049,CRT Time of Use,Agricultural,4,EXisting
23108,CRT Seasonal,56.5,23.2,56.518929,23.238715,CRT Seasonal,Residential,0,EXisting
23232,CRT Seasonal,56.5,23.2,56.467967,23.164503,CRT Seasonal,Industrial,7,EXisting
23398,CRT Seasonal,56.5,23.2,56.458439,23.21709,CRT Seasonal,Residential,0,EXisting
23400,CRT Seasonal,56.5,23.2,56.459445,23.217235,CRT Seasonal,Residential,0,EXisting
23401,CRT Seasonal,56.5,23.2,56.459873,23.217362,CRT Seasonal,Residential,0,EXisting
23523,CRT Time of Use,56.5,23.2,56.492982,23.221479,Additional Account Tariff,Residential,0,EXisting
23525,CRT Time of Use,56.5,23.2,56.504815,23.231795,CRT Time of Use,Residential,99,EXisting
23526,CRT Time of Use,56.5,23.2,56.504815,23.231795,CRT Time of Use,Residential,99,EXisting
23527,CRT Time of Use,56.5,23.2,56.504815,23.231795,CRT Time of Use,Residential,99,EXisting
23528,CRT Time of Use,56.5,23.2,56.504815,23.231795,CRT Time of Use,Residential,99,EXisting
23636,CRT Time of Use,56.5,23.2,56.513384,23.205287,Commercial,Residential,5,EXisting
23665,CRT Seasonal,56.5,23.2,56.513385,23.205263,Commercial,Residential,5,EXisting
23745,CRT Time of Use,56.5,23.2,56.513571,23.249843,Primary Account Tariff,Residential,0,EXisting
23750,CRT Seasonal,56.5,23.2,56.500412,23.237943,CRT Seasonal,Residential,0,EXisting
23758,CRT Fixed Rate,56.5,23.2,56.529417,23.231303,CRT Fixed Rate,Residential,99,EXisting
23869,CRT Seasonal,56.5,23.3,56.484477,23.258143,CRT Seasonal,Agricultural,4,EXisting
23998,CRT Time of Use,56.5,23.2,56.466708,23.198971,Commercial,Residential,1,EXisting
24523,CRT Seasonal,56.6,23.2,56.576373,23.229119,Commercial,Agricultural,4,EXisting
24577,CRT Seasonal,56.7,23.2,56.653115,23.210956,CRT Seasonal,Residential,0,EXisting
24609,CRT Seasonal,56.7,23.2,56.721178,23.1699,Government,Residential,5,EXisting
24699,CRT Fixed Rate,56.5,23.2,56.487219,23.208072,Commercial,Residential,0,EXisting
24756,CRT Seasonal,56.5,23.2,56.487255,23.208178,Primary Account Tariff,Residential,0,EXisting
25123,CRT Seasonal,56.5,23.3,56.549865,23.283223,Commercial,Residential,1,EXisting
25795,CRT Seasonal,56.5,23.2,56.481856,23.217068,Primary Account Tariff,Residential-Commercial,2,EXisting
25920,CRT Seasonal,56.5,23.2,56.466807,23.159573,CRT Seasonal,Industrial,7,EXisting
26046,CRT Seasonal,56.5,23.2,56.526432,23.213447,CRT Seasonal,Residential,0,EXisting
26076,CRT Seasonal,56.5,23.2,56.478243,23.215876,Commercial,Residential,0,EXisting
26077,CRT Seasonal,56.5,23.2,56.478243,23.215876,Commercial,Residential,0,EXisting
26387,CRT Seasonal,56.5,23.2,56.495624,23.220789,Primary Account Tariff,Residential,0,EXisting
26616,CRT Seasonal,56.5,23.2,56.484802,23.217651,CRT Seasonal,Residential,0,EXisting
26748,CRT Time of Use,56.5,23.2,56.494991,23.223387,Commercial,Residential,99,EXisting
27008,CRT Time of Use,56.6,23.3,56.555874,23.261862,CRT Time of Use,Industrial,7,EXisting
27119,CRT Seasonal,56.5,23.2,56.519033,23.240575,CRT Seasonal,Residential,0,EXisting
27274,CRT Seasonal,56.5,23.2,56.519857,23.212888,Additional Account Tariff,Residential,1,EXisting
27276,CRT Seasonal,56.5,23.2,56.519857,23.212888,Additional Account Tariff,Residential,1,EXisting
27278,CRT Seasonal,56.5,23.2,56.519857,23.212888,Additional Account Tariff,Residential,1,EXisting
27279,CRT Seasonal,56.5,23.2,56.519857,23.212888,Additional Account Tariff,Residential,1,EXisting
27281,CRT Seasonal,56.5,23.2,56.519857,23.212888,Additional Account Tariff,Residential,1,EXisting
27465,CRT Seasonal,56.5,23.2,56.521098,23.211096,CRT Seasonal,Agricultural,4,EXisting
27811,CRT Seasonal,56.5,23.2,56.513388,23.205307,Commercial,Residential,5,EXisting
27927,CRT Time of Use,56.4,23.2,56.42917,23.227666,Commercial,Agricultural,4,EXisting
27928,CRT Time of Use,56.4,23.3,56.376367,23.281234,CRT Time of Use,Residential,0,EXisting
27929,CRT Time of Use,56.4,23.3,56.376367,23.281234,CRT Time of Use,Residential,0,EXisting
27930,CRT Time of Use,56.4,23.3,56.376367,23.281234,CRT Time of Use,Residential,0,EXisting
27931,CRT Time of Use,56.4,23.3,56.376367,23.281234,CRT Time of Use,Residential,0,EXisting
27932,CRT Time of Use,56.4,23.3,56.376367,23.281234,CRT Time of Use,Residential,0,EXisting
27933,CRT Time of Use,56.4,23.3,56.376367,23.281234,CRT Time of Use,Residential,0,EXisting
27934,CRT Time of Use,56.4,23.3,56.376367,23.281234,CRT Time of Use,Residential,0,EXisting
27935,CRT Time of Use,56.4,23.3,56.376367,23.281234,CRT Time of Use,Residential,0,EXisting
27936,CRT Time of Use,56.4,23.3,56.376367,23.281234,CRT Time of Use,Residential,0,EXisting
27937,CRT Time of Use,56.4,23.3,56.38004,23.272361,CRT Seasonal,Residential,0,EXisting
27938,CRT Time of Use,56.4,23.3,56.38004,23.272361,CRT Seasonal,Residential,0,EXisting
27939,CRT Time of Use,56.4,23.3,56.38004,23.272361,CRT Seasonal,Residential,0,EXisting
27940,CRT Time of Use,56.4,23.3,56.383117,23.275622,CRT Seasonal,Residential,0,EXisting
27941,CRT Time of Use,56.4,23.3,56.383117,23.275622,CRT Seasonal,Residential,0,EXisting
27942,CRT Time of Use,56.4,23.3,56.383117,23.275622,CRT Seasonal,Residential,0,EXisting
27943,CRT Time of Use,56.4,23.3,56.383117,23.275622,CRT Seasonal,Residential,0,EXisting
27944,CRT Time of Use,56.4,23.3,56.378681,23.272788,CRT Seasonal,Residential,0,EXisting
27945,CRT Time of Use,56.4,23.3,56.378681,23.272788,CRT Seasonal,Residential,0,EXisting
27946,CRT Time of Use,56.4,23.3,56.37711,23.275114,CRT Seasonal,Residential,0,EXisting
27947,CRT Time of Use,56.5,23.2,56.456641,23.219102,CRT Time of Use,Residential-Commercial,2,EXisting
27948,CRT Time of Use,56.5,23.2,56.495054,23.218071,Commercial,Residential,99,EXisting
27950,CRT Seasonal,56.4,23.2,56.445442,23.224925,Commercial,Residential,5,EXisting
