kind,key,lat,lon,name,category,type,display,suburb,road
cl,156,23.235376,56.493543125,,highway,residential,"صناعية عبري, Al Orobah, Ibri Province, Ad Dhahirah Governorate, Oman",Al Orobah,
cl,157,23.237945,56.49387066666667,,highway,residential,"Al Orobah, Ibri Province, Ad Dhahirah Governorate, Oman",Al Orobah,
cl,175,23.273713,56.727773,MAYSA national shopping,shop,supermarket,"MAYSA national shopping, Maqniyat Road, Bat, Ibri Province, Ad Dhahirah Governorate, Oman",Bat,Maqniyat Road
pt,1260,23.147847,56.476833,A9,highway,trunk,"A9, Tanaam, Ibri Province, Ad Dhahirah Governorate, Oman",Tanaam,A9
pt,2153,23.272852,56.534175,,highway,tertiary,"Aynayn, Ibri Province, Ad Dhahirah Governorate, Oman",Aynayn,
pt,3400,23.278926,56.544673,,highway,tertiary,"Aynayn, Ibri Province, Ad Dhahirah Governorate, Oman",Aynayn,
pt,3465,23.261807,56.555965,,highway,residential,"صناعية الطيب, Al Ghabbi, Ibri Province, Ad Dhahirah Governorate, Oman",Al Ghabbi,
pt,4460,23.278734,56.544245,,highway,tertiary,"Aynayn, Ibri Province, Ad Dhahirah Governorate, Oman",Aynayn,
pt,4611,23.219172,56.514041,,amenity,parking,"Al Musannah - Al Rustaq - Maskin - Ibri Road, AL Murtafa, Ibri Province, Ad Dhahirah Governorate, Oman",AL Murtafa,Al Musannah - Al Rustaq - Maskin - Ibri Road
pt,5023,23.217451,56.511372,,highway,residential,"AL Modhar, Ibri Province, Ad Dhahirah Governorate, Oman",AL Modhar,
pt,5025,23.217451,56.511372,,highway,residential,"AL Modhar, Ibri Province, Ad Dhahirah Governorate, Oman",AL Modhar,
pt,6969,23.143052,56.474698,A9,highway,trunk,"A9, Tanaam, Ibri Province, Ad Dhahirah Governorate, Oman",Tanaam,A9
pt,7832,23.229354,56.516854,مدرسة عمــار بن ياسر للتعليم الاساسي للبنين5-8,amenity,school,"مدرسة عمــار بن ياسر للتعليم الاساسي للبنين5-8, Al Musannah - Al Rustaq - Maskin - Ibri Road, AL Murtafa, Ibri Province, Ad Dhahirah Governorate, Oman",AL Murtafa,Al Musannah - Al Rustaq - Maskin - Ibri Road
pt,7849,23.318452,56.605195,,highway,unclassified,"Ad Dariz, Ibri Province, Ad Dhahirah Governorate, Oman",Ad Dariz,
pt,8221,23.323851,56.611168,,highway,residential,"Ad Dariz, Ibri Province, Ad Dhahirah Governorate, Oman",Ad Dariz,
pt,8437,23.240766,56.511491,Al Musannah - Al Rustaq - Maskin - Ibri Road,highway,trunk,"Al Musannah - Al Rustaq - Maskin - Ibri Road, Silmi, Ibri Province, Ad Dhahirah Governorate, Oman",Silmi,Al Musannah - Al Rustaq - Maskin - Ibri Road
pt,8872,23.297401,56.558695,,highway,tertiary,"Aynayn, Ibri Province, Ad Dhahirah Governorate, Oman",Aynayn,
pt,9093,23.246161,56.418773,,leisure,stadium,"Sultan Thuwaini bin Said Road, سيح المسرات, Ibri Province, Ad Dhahirah Governorate, Oman",سيح المسرات,Sultan Thuwaini bin Said Road
pt,9094,23.246161,56.418773,,leisure,stadium,"Sultan Thuwaini bin Said Road, سيح المسرات, Ibri Province, Ad Dhahirah Governorate, Oman",سيح المسرات,Sultan Thuwaini bin Said Road
pt,9389,23.224416,56.44256,,highway,residential,"Al Jahli, Ibri Province, Ad Dhahirah Governorate, Oman",Al Jahli,
pt,10501,23.258018,56.499849,,highway,unclassified,"Silmi, Ibri Province, Ad Dhahirah Governorate, Oman",Silmi,
pt,11658,23.255389,56.499016,,highway,residential,"Rayibah, Ibri Province, Ad Dhahirah Governorate, Oman",Rayibah,
pt,13030,23.161742,56.468894,,highway,residential,"صناعية تنعم, Al Mukhtobiyah, Ibri Province, Ad Dhahirah Governorate, Oman",Al Mukhtobiyah,
pt,13476,23.224243,56.4687,,highway,secondary,"Al Akhdar, Ibri Province, Ad Dhahirah Governorate, Oman",Al Akhdar,
pt,13477,23.224283,56.468669,,highway,secondary,"Al Akhdar, Ibri Province, Ad Dhahirah Governorate, Oman",Al Akhdar,
pt,13512,23.24143,56.511372,Al Musannah - Al Rustaq - Maskin - Ibri Road,highway,trunk,"Al Musannah - Al Rustaq - Maskin - Ibri Road, Silmi, Ibri Province, Ad Dhahirah Governorate, Oman",Silmi,Al Musannah - Al Rustaq - Maskin - Ibri Road
pt,13757,23.16501,56.468181,,highway,residential,"صناعية تنعم, Al Mukhtobiyah, Ibri Province, Ad Dhahirah Governorate, Oman",Al Mukhtobiyah,
pt,13795,23.158477,56.4654,,highway,residential,"صناعية تنعم, Al Mukhtobiyah, Ibri Province, Ad Dhahirah Governorate, Oman",Al Mukhtobiyah,
pt,13804,23.162329,56.46918,,highway,residential,"صناعية تنعم, Al Mukhtobiyah, Ibri Province, Ad Dhahirah Governorate, Oman",Al Mukhtobiyah,
pt,16354,23.223774,56.446261,,highway,residential,"Al Jahli, Ibri Province, Ad Dhahirah Governorate, Oman",Al Jahli,
pt,17152,23.274439,56.724228,,amenity,school,"Maqniyat Road, Bat, Ibri Province, Ad Dhahirah Governorate, Oman",Bat,Maqniyat Road
